DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Belgium,2019,15.6,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Belgium,2020,14.8,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Belgium,2021,16.3,b,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Belgium,2022,12.3,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Belgium,2023,13.3,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Bulgaria,2017,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Bulgaria,2018,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Switzerland,2014,22.6,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Switzerland,2015,22.7,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Switzerland,2016,23.0,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Switzerland,2017,28.7,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Switzerland,2018,24.5,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Switzerland,2019,22.8,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Switzerland,2020,26.3,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Switzerland,2021,28.7,b,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Switzerland,2022,24.4,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Switzerland,2023,21.9,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Cyprus,2014,3.1,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Cyprus,2015,3.7,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Cyprus,2016,2.9,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Cyprus,2017,2.4,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Cyprus,2018,2.1,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Cyprus,2019,1.8,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Cyprus,2020,2.7,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Cyprus,2021,2.5,b,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Cyprus,2022,1.8,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Cyprus,2023,1.6,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Czechia,2014,1.9,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Czechia,2015,1.1,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Czechia,2016,1.5,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Czechia,2017,1.0,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Czechia,2018,1.0,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Czechia,2019,1.4,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Czechia,2020,0.9,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Czechia,2021,0.6,bu,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Czechia,2022,1.0,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Czechia,2023,1.2,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Germany,2014,58.9,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Germany,2015,63.6,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Germany,2016,58.0,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Germany,2017,56.8,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Germany,2018,54.3,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Germany,2019,55.2,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Germany,2020,66.6,b,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Germany,2021,61.0,b,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Germany,2022,59.2,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Germany,2023,57.4,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Denmark,2014,5.3,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Denmark,2015,5.1,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Denmark,2016,4.8,b,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Denmark,2017,4.0,bu,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Denmark,2018,5.7,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Denmark,2019,3.5,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Denmark,2020,3.6,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Denmark,2021,3.2,bu,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Denmark,2022,4.0,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Denmark,2023,3.9,bu,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2014,391.8,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2015,379.7,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2016,353.3,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2017,322.2,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2018,315.9,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2019,307.4,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2020,336.2,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2021,340.0,b,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2022,305.2,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2023,284.0,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Estonia,2014,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Estonia,2015,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Estonia,2016,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Estonia,2017,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Estonia,2018,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Estonia,2019,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Estonia,2020,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Estonia,2021,,bu,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Estonia,2022,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Estonia,2023,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Greece,2014,10.9,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Greece,2015,8.6,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Greece,2016,10.0,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Greece,2017,7.7,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Greece,2018,6.8,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Greece,2019,7.2,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Greece,2020,8.7,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Greece,2021,6.5,b,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Greece,2022,5.0,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Greece,2023,2.5,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Spain,2014,144.8,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Spain,2015,125.8,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Spain,2016,115.6,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Spain,2017,101.9,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Spain,2018,94.9,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Spain,2019,90.1,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Spain,2020,114.1,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Spain,2021,103.4,bd,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Spain,2022,94.5,d,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Spain,2023,80.6,d,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2014,407.6,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2015,393.3,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2016,365.3,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2017,333.5,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2018,327.0,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2019,318.8,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2020,351.1,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2021,353.3,b,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2022,317.1,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2023,295.7,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Finland,2014,2.5,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Finland,2015,2.6,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Finland,2016,2.4,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Finland,2017,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Finland,2018,2.5,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Finland,2019,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Finland,2020,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Finland,2021,4.5,b,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Finland,2022,3.4,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Finland,2023,3.5,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,France,2014,34.6,b,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,France,2015,35.8,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,France,2016,32.1,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,France,2017,26.7,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,France,2018,31.8,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,France,2019,28.3,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,France,2020,22.7,,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,France,2021,27.4,bd,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,France,2022,27.2,d,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,France,2023,22.5,d,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Croatia,2015,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Croatia,2016,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Croatia,2018,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Croatia,2021,,bu,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Croatia,2023,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Hungary,2014,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Hungary,2015,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Hungary,2016,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Hungary,2017,,u,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Hungary,2018,,bu,
ESTAT:LFSA_UGAN(1.0),13/03/25 23:00:00,Annual,Thousand persons,Females,From 15 to 74 years,EU27 countries (from 2020) except reporting country,Hungary,2019,,u,
