STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,citizen,Country of citizenship,age,Age class,wstatus,Labour force and employment status,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BA,Bosnia and Herzegovina,2023,,,,u,low reliability,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BA,Bosnia and Herzegovina,2024,,,,u,low reliability,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BE,Belgium,2014,,186.9,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BE,Belgium,2015,,204.0,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BE,Belgium,2016,,200.7,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BE,Belgium,2017,,211.9,,b,break in time series,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BE,Belgium,2018,,214.6,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BE,Belgium,2019,,225.0,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BE,Belgium,2020,,218.8,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BE,Belgium,2021,,234.2,,b,break in time series,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BE,Belgium,2022,,269.7,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BE,Belgium,2023,,275.9,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BE,Belgium,2024,,285.5,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BG,Bulgaria,2014,,,,u,low reliability,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BG,Bulgaria,2015,,,,u,low reliability,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BG,Bulgaria,2016,,,,u,low reliability,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BG,Bulgaria,2017,,,,u,low reliability,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BG,Bulgaria,2018,,,,u,low reliability,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BG,Bulgaria,2019,,,,bu,"break in time series, low reliability",,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BG,Bulgaria,2020,,,,u,low reliability,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BG,Bulgaria,2021,,,,bu,"break in time series, low reliability",,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BG,Bulgaria,2022,,,,u,low reliability,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BG,Bulgaria,2023,,,,u,low reliability,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,BG,Bulgaria,2024,,,,u,low reliability,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CH,Switzerland,2014,,447.4,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CH,Switzerland,2015,,464.8,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CH,Switzerland,2016,,484.9,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CH,Switzerland,2017,,484.4,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CH,Switzerland,2018,,500.3,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CH,Switzerland,2019,,517.1,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CH,Switzerland,2020,,523.9,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CH,Switzerland,2021,,523.2,,b,break in time series,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CH,Switzerland,2022,,537.1,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CH,Switzerland,2023,,566.5,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CH,Switzerland,2024,,582.5,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CY,Cyprus,2014,,42.1,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CY,Cyprus,2015,,40.3,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CY,Cyprus,2016,,37.6,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CY,Cyprus,2017,,38.6,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CY,Cyprus,2018,,39.2,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CY,Cyprus,2019,,46.7,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CY,Cyprus,2020,,48.3,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CY,Cyprus,2021,,49.2,,b,break in time series,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CY,Cyprus,2022,,52.4,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CY,Cyprus,2023,,60.5,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CY,Cyprus,2024,,61.8,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CZ,Czechia,2014,,38.6,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CZ,Czechia,2015,,42.5,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CZ,Czechia,2016,,40.8,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CZ,Czechia,2017,,52.1,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CZ,Czechia,2018,,52.1,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CZ,Czechia,2019,,57.1,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CZ,Czechia,2020,,62.7,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CZ,Czechia,2021,,64.9,,b,break in time series,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CZ,Czechia,2022,,66.2,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CZ,Czechia,2023,,95.4,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,CZ,Czechia,2024,,107.8,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DE,Germany,2014,,1515.3,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DE,Germany,2015,,1602.2,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DE,Germany,2016,,1754.3,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DE,Germany,2017,,1856.4,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DE,Germany,2018,,1995.3,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DE,Germany,2019,,2099.0,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DE,Germany,2020,,2022.2,,b,break in time series,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DE,Germany,2021,,2057.3,,b,break in time series,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DE,Germany,2022,,2360.9,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DE,Germany,2023,,2527.2,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DE,Germany,2024,,2646.8,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DK,Denmark,2014,,76.5,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DK,Denmark,2015,,81.1,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DK,Denmark,2016,,76.5,,b,break in time series,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DK,Denmark,2017,,79.8,,b,break in time series,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DK,Denmark,2018,,82.0,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DK,Denmark,2019,,83.4,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DK,Denmark,2020,,87.4,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DK,Denmark,2021,,91.0,,b,break in time series,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DK,Denmark,2022,,92.3,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DK,Denmark,2023,,93.7,,b,break in time series,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,DK,Denmark,2024,,108.2,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,EE,Estonia,2014,,33.4,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,EE,Estonia,2015,,33.2,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,EE,Estonia,2016,,34.3,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,EE,Estonia,2017,,33.3,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,EE,Estonia,2018,,32.6,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,EE,Estonia,2019,,36.0,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,EE,Estonia,2020,,35.2,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,EE,Estonia,2021,,34.5,,b,break in time series,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,EE,Estonia,2022,,32.8,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,EE,Estonia,2023,,40.7,,,,,
dataflow,ESTAT:LFSA_PGANWS(1.0),"Population by sex, age, citizenship and labour status (1 000)",A,Annual,THS_PER,Thousand persons,F,Females,FOR,Foreign country,Y15-64,From 15 to 64 years,EMP,Employed persons,EE,Estonia,2024,,45.2,,,,,
