DATAFLOW,LAST UPDATE,freq,leg_stat,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2014,30894,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2015,29969,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2016,28462,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2017,28745,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2018,26034,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2019,25650,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2020,22222,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2021,22427,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Austria,2022,23067,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2008,16236,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2009,17062,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2010,16631,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2011,15429,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2012,17501,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2013,18333,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2014,17904,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2015,17180,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2016,16299,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2017,14790,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2018,14258,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2019,13434,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2020,10521,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2021,11184,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bosnia and Herzegovina,2022,10604,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Belgium,2010,138790,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Belgium,2011,140220,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Belgium,2012,160706,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Belgium,2013,138276,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Belgium,2014,114020,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Belgium,2015,127952,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Belgium,2017,230637,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Belgium,2018,222101,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Belgium,2019,196620,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Belgium,2020,154749,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2008,33173,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2009,37749,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2010,36376,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2011,38267,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2012,35684,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2013,32233,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2014,30216,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2015,26544,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2016,27193,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2017,24648,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2018,22974,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2019,22366,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2020,21015,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2021,23158,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Bulgaria,2022,23135,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2008,86881,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2009,89088,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2010,92827,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2011,89956,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2012,97933,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2013,100241,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2014,102272,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2015,102365,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2016,101873,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2017,98861,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2018,99682,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2019,89262,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2020,89262,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2021,90272,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Switzerland,2022,93694,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Cyprus,2008,62971,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Cyprus,2009,61631,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Cyprus,2010,74899,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Cyprus,2011,86143,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Cyprus,2012,70970,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Cyprus,2013,60371,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Cyprus,2014,68433,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Cyprus,2015,53791,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Cyprus,2016,45049,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Cyprus,2017,43126,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Cyprus,2018,39235,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Cyprus,2019,39663,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Cyprus,2020,35206,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Cyprus,2021,33300,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2008,72967,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2009,71059,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2010,68262,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2011,67957,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2012,69285,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2013,75993,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2014,71232,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2015,64166,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2016,60096,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2017,54474,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2018,53170,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2019,54273,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2020,47448,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2021,48515,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Czechia,2022,49198,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2008,812475,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2009,783620,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2010,757878,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2011,756490,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2012,728917,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2013,716420,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2014,713970,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2015,708146,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2016,708253,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2017,687565,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2018,683333,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2019,700569,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2020,674537,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2021,640637,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Germany,2022,626886,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2008,151360,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2009,160948,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2010,171001,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2011,184777,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2012,195390,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2013,194337,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2014,195651,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2015,189538,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2016,184704,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2017,173369,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2018,177888,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2019,47835,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2020,52077,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2021,49120,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Denmark,2022,49007,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Greece,2021,5426,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Greece,2022,4765,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2008,224640,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2009,237613,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2010,228613,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2011,238314,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2012,237294,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2013,230306,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2014,218827,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2015,222862,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2016,271526,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2017,285336,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2018,286637,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2019,286931,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2020,221437,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2021,282210,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Spain,2022,308624,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2008,226313,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2009,194087,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2010,193858,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2011,191021,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2012,180889,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2013,173683,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2014,164611,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2015,172962,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2016,148635,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2017,78952,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2018,79761,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2019,79793,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2020,77451,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2021,77207,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Finland,2022,73995,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,France,2008,645728,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,France,2009,646008,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,France,2010,628558,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,France,2011,611286,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,France,2012,626708,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,France,2013,617571,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,France,2014,533925,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,France,2015,530692,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,France,2016,437123,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,France,2017,435565,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,France,2018,504974,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,France,2019,508567,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,France,2020,427470,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,France,2021,492684,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2008,24168,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2009,25368,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2010,24430,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2011,23389,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2012,20548,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2013,16617,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2014,14888,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2015,12552,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2016,13412,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2017,12091,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2018,11866,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2019,13002,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2020,11634,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2021,12286,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Croatia,2022,12355,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Hungary,2008,78223,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Hungary,2009,80618,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Hungary,2010,82789,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Hungary,2011,79270,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Hungary,2012,70195,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Hungary,2013,65145,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Hungary,2014,70911,,
ESTAT:CRIM_JUST_AGE(1.0),23/04/24 23:00:00,Annual,Convicted person,Adult,Number,Hungary,2015,67169,,
