DATAFLOW,LAST UPDATE,freq,citizen,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Belgium,2021,4706,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Belgium,2022,4730,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Bulgaria,2013,253,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Bulgaria,2014,232,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Bulgaria,2015,242,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Bulgaria,2016,215,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Bulgaria,2017,186,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Bulgaria,2018,161,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Bulgaria,2019,137,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Bulgaria,2020,154,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Bulgaria,2021,159,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Bulgaria,2022,134,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Switzerland,2013,4857,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Switzerland,2014,4673,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Switzerland,2015,4514,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Switzerland,2016,4599,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Switzerland,2017,4615,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Switzerland,2018,4679,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Switzerland,2019,4478,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Switzerland,2020,4340,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Switzerland,2021,4230,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Switzerland,2022,4396,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Cyprus,2013,306,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Cyprus,2014,239,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Cyprus,2015,214,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Cyprus,2016,237,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Cyprus,2017,151,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Cyprus,2018,276,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Cyprus,2019,372,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Cyprus,2020,260,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Cyprus,2021,417,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Cyprus,2022,531,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Czechia,2013,1523,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Czechia,2014,1549,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Czechia,2015,1670,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Czechia,2016,1807,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Czechia,2017,1814,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Czechia,2018,1768,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Czechia,2019,1794,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Czechia,2020,1534,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Czechia,2021,1396,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Czechia,2022,1459,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Denmark,2013,1098,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Denmark,2014,1002,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Denmark,2015,865,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Denmark,2016,954,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Denmark,2017,968,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Denmark,2018,1039,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Denmark,2019,1137,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Denmark,2020,1171,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Denmark,2021,1074,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Denmark,2022,1145,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Estonia,2013,1192,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Estonia,2014,1226,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Estonia,2015,1096,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Estonia,2016,1060,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Estonia,2017,996,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Estonia,2018,916,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Estonia,2019,837,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Estonia,2020,799,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Estonia,2021,725,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Estonia,2022,686,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Greece,2013,7623,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Greece,2014,6882,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Greece,2015,5289,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Greece,2016,5195,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Greece,2017,5291,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Greece,2018,5822,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Greece,2019,6314,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Greece,2020,6799,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Greece,2021,6499,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Greece,2022,6022,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Spain,2013,21116,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Spain,2014,19697,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Spain,2015,17870,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Spain,2016,17130,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Spain,2017,16549,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Spain,2018,16536,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Spain,2019,16470,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Spain,2020,15918,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Spain,2021,16272,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Spain,2022,16758,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Finland,2013,458,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Finland,2014,483,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Finland,2015,489,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Finland,2016,531,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Finland,2017,555,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Finland,2018,503,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Finland,2019,502,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Finland,2020,474,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Finland,2021,421,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Finland,2022,461,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,France,2013,13843,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,France,2014,13814,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,France,2015,14071,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,France,2016,14964,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,France,2017,15418,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,France,2018,16151,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,France,2019,16414,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,France,2020,15357,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,France,2021,17447,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,France,2022,18068,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Croatia,2013,275,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Croatia,2014,231,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Croatia,2015,197,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Croatia,2016,197,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Croatia,2017,225,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Croatia,2018,313,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Croatia,2019,481,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Croatia,2020,381,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Croatia,2021,467,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Croatia,2022,423,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Hungary,2013,653,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Hungary,2014,700,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Hungary,2015,906,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Hungary,2016,878,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Hungary,2017,861,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Hungary,2018,753,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Hungary,2019,805,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Hungary,2020,998,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Hungary,2021,1879,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Hungary,2022,2893,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Ireland,2013,420,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Ireland,2014,371,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Ireland,2015,342,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Ireland,2018,520,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Ireland,2019,615,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Ireland,2020,592,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Ireland,2021,575,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Ireland,2022,651,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Iceland,2013,25,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Iceland,2014,22,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Iceland,2015,29,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Iceland,2016,26,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Iceland,2017,31,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Iceland,2018,31,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Iceland,2019,32,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Iceland,2020,34,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Iceland,2021,32,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Iceland,2022,39,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Italy,2013,22344,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Italy,2014,17856,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Italy,2015,17799,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Italy,2016,19149,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Italy,2017,20307,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Italy,2018,20774,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Italy,2019,20352,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Italy,2020,17741,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Italy,2021,17429,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Italy,2022,18138,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Liechtenstein,2013,51,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Liechtenstein,2014,41,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Liechtenstein,2015,42,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Liechtenstein,2016,62,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Liechtenstein,2017,61,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Liechtenstein,2018,54,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Liechtenstein,2019,36,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Liechtenstein,2020,38,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Liechtenstein,2022,53,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Lithuania,2013,149,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Lithuania,2014,159,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Lithuania,2015,128,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Lithuania,2016,111,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Lithuania,2017,114,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Lithuania,2018,125,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Lithuania,2019,128,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Lithuania,2020,102,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Lithuania,2021,167,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Lithuania,2022,166,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Luxembourg,2013,454,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Luxembourg,2014,465,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Luxembourg,2015,516,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Luxembourg,2016,543,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Luxembourg,2017,493,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Luxembourg,2018,491,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Luxembourg,2019,439,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Luxembourg,2020,407,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Luxembourg,2021,447,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Luxembourg,2022,549,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Latvia,2013,68,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Latvia,2014,87,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Latvia,2015,106,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Latvia,2016,142,,
ESTAT:CRIM_PRIS_CTZ$DEFAULTVIEW(1.0),,Annual,Foreign country,Number,Latvia,2017,94,,
