DATAFLOW,LAST UPDATE,freq,citizen,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Poland,2022,47.1,ep,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Poland,2023,46.6,ep,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Poland,2024,46.1,ep,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Portugal,2022,46.0,bp,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Portugal,2023,46.3,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Portugal,2024,45.7,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Romania,2022,34.2,e,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Romania,2023,70.7,e,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Romania,2024,55.0,e,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Sweden,2022,50.8,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Sweden,2023,50.7,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Sweden,2024,50.6,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Slovenia,2022,43.8,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Slovenia,2023,43.6,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Slovenia,2024,45.5,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Slovakia,2022,36.8,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Slovakia,2023,39.0,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Slovakia,2024,38.5,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Austria,2022,47.0,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Austria,2023,46.9,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Austria,2024,47.2,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Belgium,2022,47.9,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Belgium,2023,47.3,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Belgium,2024,47.3,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Bulgaria,2022,72.8,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Bulgaria,2023,67.2,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Bulgaria,2024,66.9,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Switzerland,2022,51.9,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Switzerland,2023,51.6,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Switzerland,2024,51.9,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Cyprus,2022,52.2,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Cyprus,2023,52.3,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Cyprus,2024,46.4,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Czechia,2022,68.9,b,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Czechia,2023,68.0,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Czechia,2024,67.6,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Germany,2022,45.5,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Germany,2023,45.6,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Germany,2024,45.4,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Denmark,2022,41.9,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Denmark,2023,41.8,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Denmark,2024,41.7,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Estonia,2022,76.7,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Estonia,2023,75.1,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Estonia,2024,73.1,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Greece,2022,37.1,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Greece,2023,37.4,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Greece,2024,37.4,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Spain,2022,48.8,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Spain,2023,48.6,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Spain,2024,48.5,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,European Union - 27 countries (from 2020),2022,46.6,bep,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Finland,2022,60.9,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Finland,2023,61.1,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Finland,2024,61.1,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,France,2021,46.2,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,France,2022,45.3,p,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,France,2023,47.3,p,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,France,2024,45.2,p,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Croatia,2022,54.7,b,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Croatia,2023,54.6,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Croatia,2024,53.8,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Hungary,2022,44.1,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Hungary,2023,43.9,b,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Hungary,2024,43.3,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Ireland,2022,48.7,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Ireland,2023,47.9,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Ireland,2024,48.6,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Iceland,2022,45.8,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Iceland,2023,44.7,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Iceland,2024,43.3,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Italy,2022,42.3,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Italy,2023,42.4,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Italy,2024,42.9,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Liechtenstein,2022,51.1,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Liechtenstein,2023,51.0,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Liechtenstein,2024,50.9,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Lithuania,2022,70.9,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Lithuania,2023,72.1,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Luxembourg,2022,51.1,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Luxembourg,2023,51.2,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Luxembourg,2024,51.6,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Latvia,2022,71.0,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Latvia,2023,73.8,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Latvia,2024,71.2,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Malta,2022,61.2,p,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Malta,2023,58.8,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Malta,2024,57.8,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Netherlands,2022,44.7,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Netherlands,2023,44.5,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Netherlands,2024,44.8,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Norway,2022,51.0,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Norway,2023,51.1,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Norway,2024,51.3,,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Poland,2022,52.9,ep,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Poland,2023,53.4,ep,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Poland,2024,53.9,ep,
ESTAT:DEMO_POPPCCTZ(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Portugal,2022,54.0,bp,
