DATAFLOW,LAST UPDATE,freq,sex,age,citizen,lev_perc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Bulgaria,2020,,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Bulgaria,2021,4.1,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Bulgaria,2022,14.0,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Bulgaria,2023,,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Bulgaria,2024,10.5,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Switzerland,2015,4.6,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Switzerland,2016,5.0,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Switzerland,2017,2.5,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Switzerland,2018,4.7,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Switzerland,2019,4.4,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Switzerland,2020,4.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Switzerland,2021,3.6,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Switzerland,2022,4.8,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Switzerland,2023,4.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Cyprus,2015,2.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Cyprus,2016,1.7,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Cyprus,2017,2.0,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Cyprus,2018,3.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Cyprus,2019,2.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Cyprus,2020,3.7,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Cyprus,2021,1.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Cyprus,2022,1.9,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Cyprus,2023,2.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Cyprus,2024,1.0,b,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Czechia,2015,1.4,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Czechia,2016,5.7,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Czechia,2017,4.6,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Czechia,2018,3.7,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Czechia,2019,2.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Czechia,2020,3.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Czechia,2021,10.0,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Czechia,2022,10.9,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Czechia,2023,2.6,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Czechia,2024,2.9,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Germany,2015,6.5,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Germany,2016,6.2,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Germany,2017,4.7,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Germany,2018,4.8,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Germany,2019,6.0,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Germany,2020,6.6,b,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Germany,2021,6.8,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Germany,2022,6.0,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Germany,2023,5.4,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Germany,2024,6.7,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Denmark,2015,5.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Denmark,2016,8.6,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Denmark,2017,2.6,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Denmark,2018,12.0,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Denmark,2019,3.6,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Denmark,2020,3.9,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Denmark,2021,4.5,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Denmark,2022,8.4,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Denmark,2023,6.3,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Denmark,2024,5.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2015,6.5,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2016,6.6,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2017,5.0,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,5.2,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,5.8,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,5.5,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,5.8,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area - 18 countries (2014),2015,6.5,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area - 18 countries (2014),2016,6.6,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area - 18 countries (2014),2017,5.0,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area - 18 countries (2014),2018,5.2,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area - 18 countries (2014),2019,5.8,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area - 18 countries (2014),2020,5.5,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area - 19 countries  (2015-2022),2015,6.5,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area - 19 countries  (2015-2022),2016,6.6,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area - 19 countries  (2015-2022),2017,5.0,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area - 19 countries  (2015-2022),2018,5.2,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area - 19 countries  (2015-2022),2019,5.8,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area - 19 countries  (2015-2022),2020,5.5,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area - 19 countries  (2015-2022),2021,5.8,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area – 20 countries (from 2023),2015,6.5,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area – 20 countries (from 2023),2016,6.6,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area – 20 countries (from 2023),2017,5.0,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area – 20 countries (from 2023),2018,5.2,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area – 20 countries (from 2023),2019,5.8,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area – 20 countries (from 2023),2020,5.5,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area – 20 countries (from 2023),2021,5.8,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area – 20 countries (from 2023),2022,5.6,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Euro area – 20 countries (from 2023),2023,6.0,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Estonia,2015,20.9,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Estonia,2016,1.9,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Estonia,2017,20.1,u,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Estonia,2018,12.3,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Estonia,2019,5.6,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Estonia,2020,1.7,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Estonia,2021,7.9,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Estonia,2022,2.6,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Estonia,2023,4.9,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Estonia,2024,7.9,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Greece,2015,3.2,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Greece,2016,2.8,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Greece,2017,3.2,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Greece,2018,2.6,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Greece,2019,0.5,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Greece,2020,2.9,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Greece,2021,3.2,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Greece,2022,3.7,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Greece,2023,3.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Spain,2015,4.2,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Spain,2016,6.9,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Spain,2017,5.2,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Spain,2018,5.0,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Spain,2019,3.7,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Spain,2020,4.1,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Spain,2021,4.3,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Spain,2022,4.0,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Spain,2023,4.0,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,Spain,2024,4.6,,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2015,6.0,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,5.9,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,4.8,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,4.7,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,5.2,e,
ESTAT:HLTH_SILC_24(1.0),21/03/25 23:00:00,Annual,Total,16 years or over,EU27 countries (from 2020) except reporting country,Bad,Percentage,European Union - 27 countries (2007-2013),2015,6.0,e,
