DATAFLOW,LAST UPDATE,freq,hhtyp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Austria,2023,30.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Belgium,2015,33.5,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Belgium,2016,33.5,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Belgium,2017,33.6,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Belgium,2018,33.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Belgium,2019,33.2,b,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Belgium,2020,31.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Belgium,2021,31.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Belgium,2022,32.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Belgium,2023,29.6,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Belgium,2024,28.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Bulgaria,2015,80.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Bulgaria,2016,80.0,b,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Bulgaria,2017,78.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Bulgaria,2018,74.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Bulgaria,2019,72.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Bulgaria,2020,71.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Bulgaria,2021,64.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Bulgaria,2022,61.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Bulgaria,2023,64.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Bulgaria,2024,60.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Switzerland,2015,23.7,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Switzerland,2016,22.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Switzerland,2017,22.5,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Switzerland,2018,23.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Switzerland,2019,22.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Switzerland,2020,22.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Switzerland,2021,22.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Switzerland,2022,21.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Switzerland,2023,20.6,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Cyprus,2015,63.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Cyprus,2016,61.6,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Cyprus,2017,52.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Cyprus,2018,47.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Cyprus,2019,46.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Cyprus,2020,41.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Cyprus,2021,40.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Cyprus,2022,43.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Cyprus,2023,42.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Cyprus,2024,40.2,b,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Czechia,2015,49.5,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Czechia,2016,45.5,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Czechia,2017,42.7,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Czechia,2018,36.0,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Czechia,2019,31.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Czechia,2020,30.5,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Czechia,2021,28.0,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Czechia,2022,28.6,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Czechia,2023,29.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Czechia,2024,26.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Germany,2015,43.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Germany,2016,42.6,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Germany,2017,40.7,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Germany,2018,39.7,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Germany,2019,37.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Germany,2020,44.6,b,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Germany,2021,40.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Germany,2022,40.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Germany,2023,42.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Germany,2024,39.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Denmark,2015,32.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Denmark,2016,30.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Denmark,2017,33.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Denmark,2018,31.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Denmark,2019,32.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Denmark,2020,30.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Denmark,2021,30.5,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Denmark,2022,30.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Denmark,2023,31.6,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Denmark,2024,29.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2015,42.1,e,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2016,41.9,e,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2017,40.6,e,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,39.5,e,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,37.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,39.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,37.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area - 17 countries (2011-2013),2015,40.5,e,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area - 18 countries (2014),2015,41.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area - 18 countries (2014),2016,41.6,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area - 18 countries (2014),2017,40.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area - 18 countries (2014),2018,39.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area - 18 countries (2014),2019,37.7,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area - 18 countries (2014),2020,39.6,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area - 19 countries  (2015-2022),2015,42.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area - 19 countries  (2015-2022),2016,41.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area - 19 countries  (2015-2022),2017,40.6,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area - 19 countries  (2015-2022),2018,39.5,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area - 19 countries  (2015-2022),2019,37.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area - 19 countries  (2015-2022),2020,39.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area - 19 countries  (2015-2022),2021,37.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area – 20 countries (from 2023),2015,42.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area – 20 countries (from 2023),2016,42.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area – 20 countries (from 2023),2017,40.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area – 20 countries (from 2023),2018,39.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area – 20 countries (from 2023),2019,38.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area – 20 countries (from 2023),2020,40.0,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area – 20 countries (from 2023),2021,37.6,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area – 20 countries (from 2023),2022,38.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Euro area – 20 countries (from 2023),2023,37.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Estonia,2015,46.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Estonia,2016,44.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Estonia,2017,50.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Estonia,2018,46.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Estonia,2019,44.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Estonia,2020,41.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Estonia,2021,42.0,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Estonia,2022,44.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Estonia,2023,41.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Estonia,2024,42.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Greece,2015,60.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Greece,2016,60.0,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Greece,2017,59.0,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Greece,2018,59.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Greece,2019,55.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Greece,2020,64.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Greece,2021,56.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Greece,2022,63.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Greece,2023,56.0,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Spain,2015,43.0,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Spain,2016,40.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Spain,2017,42.5,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Spain,2018,39.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Spain,2019,38.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Spain,2020,41.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Spain,2021,38.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Spain,2022,39.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Spain,2023,39.8,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Spain,2024,38.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2015,44.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,43.5,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,41.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,40.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,38.7,e,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 15 countries (1995-2004),2015,40.4,e,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 27 countries (2007-2013),2015,44.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 27 countries (2007-2013),2016,43.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 27 countries (2007-2013),2017,41.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 27 countries (2007-2013),2018,40.0,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 27 countries (2007-2013),2019,38.5,e,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 27 countries (from 2020),2015,44.7,e,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 27 countries (from 2020),2016,43.9,e,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 27 countries (from 2020),2017,42.4,e,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 27 countries (from 2020),2018,41.0,e,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 27 countries (from 2020),2019,39.3,e,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 27 countries (from 2020),2020,40.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 27 countries (from 2020),2021,38.7,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 27 countries (from 2020),2022,39.1,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 27 countries (from 2020),2023,38.9,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 28 countries (2013-2020),2015,44.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 28 countries (2013-2020),2016,43.5,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 28 countries (2013-2020),2017,41.3,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 28 countries (2013-2020),2018,40.2,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,European Union - 28 countries (2013-2020),2019,38.7,e,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Finland,2015,42.7,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Finland,2016,41.6,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Finland,2017,38.6,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Finland,2018,38.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Finland,2019,35.5,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Finland,2020,35.4,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Finland,2021,32.7,,
ESTAT:ILC_MDES04$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Single person,Total,Percentage,Finland,2022,32.4,,
