DATAFLOW,LAST UPDATE,freq,c_birth,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Italy,2024,53.8,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Liechtenstein,2022,48.8,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Liechtenstein,2024,48.8,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Lithuania,2022,49.4,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Luxembourg,2022,46.8,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Luxembourg,2024,47.1,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Latvia,2022,39.9,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Latvia,2024,39.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Malta,2022,35.7,p,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Malta,2024,41.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Netherlands,2022,55.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Netherlands,2024,54.7,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Norway,2022,49.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Norway,2023,49.6,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Norway,2024,49.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Poland,2022,48.3,ep,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Poland,2023,48.2,ep,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Poland,2024,48.2,ep,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Portugal,2022,49.6,bp,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Portugal,2023,49.7,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Portugal,2024,49.7,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Romania,2022,47.7,e,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Romania,2024,47.1,e,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Sweden,2022,53.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Sweden,2024,53.3,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Slovenia,2022,45.8,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Slovenia,2024,45.2,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Slovakia,2022,47.7,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Slovakia,2024,47.9,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Females,Türkiye,2024,53.2,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Austria,2022,46.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Austria,2024,46.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Belgium,2022,46.3,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Belgium,2024,46.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Bulgaria,2022,52.4,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Bulgaria,2024,54.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Switzerland,2022,44.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Switzerland,2024,44.8,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Cyprus,2022,51.7,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Cyprus,2024,45.4,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Czechia,2022,70.1,b,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Czechia,2024,58.6,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Germany,2024,48.0,e,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Denmark,2022,42.1,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Denmark,2024,42.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Estonia,2022,67.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Estonia,2024,65.7,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Greece,2022,42.1,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Greece,2023,41.6,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Greece,2024,41.4,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Spain,2022,49.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Spain,2024,49.4,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,European Union - 27 countries (from 2020),2022,47.4,bep,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,European Union - 27 countries (from 2020),2024,47.2,ep,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Finland,2022,56.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Finland,2023,56.9,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Finland,2024,57.1,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,France,2021,45.8,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,France,2022,45.3,p,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,France,2024,46.3,p,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Croatia,2022,51.3,b,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Croatia,2024,52.2,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Hungary,2022,50.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Hungary,2024,50.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Ireland,2022,48.2,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Ireland,2024,49.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Iceland,2022,48.7,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Iceland,2024,48.2,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Italy,2022,46.2,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Italy,2024,46.2,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Liechtenstein,2022,51.2,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Liechtenstein,2024,51.2,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Lithuania,2022,50.6,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Luxembourg,2022,53.2,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Luxembourg,2024,52.9,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Latvia,2022,60.1,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Latvia,2024,60.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Malta,2022,64.3,p,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Malta,2024,59.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Netherlands,2022,45.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Netherlands,2024,45.3,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Norway,2022,50.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Norway,2023,50.4,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Norway,2024,50.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Poland,2022,51.7,ep,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Poland,2023,51.8,ep,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Poland,2024,51.8,ep,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Portugal,2022,50.4,bp,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Portugal,2023,50.3,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Portugal,2024,50.3,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Romania,2022,52.3,e,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Romania,2024,52.9,e,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Sweden,2022,46.5,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Sweden,2024,46.7,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Slovenia,2022,54.2,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Slovenia,2024,54.8,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Slovakia,2022,52.3,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Slovakia,2024,52.1,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Males,Türkiye,2024,46.8,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Austria,2022,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Austria,2024,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Belgium,2022,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Belgium,2024,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Bulgaria,2022,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Bulgaria,2024,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Switzerland,2022,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Switzerland,2024,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Cyprus,2022,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Cyprus,2024,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Czechia,2022,100.0,b,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Czechia,2024,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Germany,2024,100.0,e,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Denmark,2022,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Denmark,2024,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Estonia,2022,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Estonia,2024,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Greece,2022,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Greece,2023,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Greece,2024,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Spain,2022,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Spain,2024,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,European Union - 27 countries (from 2020),2022,100.0,bep,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,European Union - 27 countries (from 2020),2024,100.0,ep,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Finland,2022,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Finland,2023,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Finland,2024,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,France,2021,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,France,2022,100.0,p,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,France,2024,100.0,p,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Croatia,2022,100.0,b,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Croatia,2024,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Hungary,2022,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Hungary,2024,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Ireland,2022,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Ireland,2024,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Iceland,2022,100.0,,
ESTAT:DEMO_POPPCCTB(1.0),13/03/25 23:00:00,Annual,European Free Trade Association except reporting country,Total,Percentage,Total,Iceland,2024,100.0,,
