Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,"Returned Refugees","Asylum Seekers",IDPs,"Returned IDPs",Stateless,HST,OOC
2009,Czechia,Ukraine,CZE,UKR,87,0,178,0,0,0,0,0
2010,Czechia,Ukraine,CZE,UKR,94,0,131,0,0,0,0,0
2011,Czechia,Ukraine,CZE,UKR,94,0,0,0,0,0,0,0
2012,Czechia,Ukraine,CZE,UKR,105,0,43,0,0,0,0,0
2013,Czechia,Ukraine,CZE,UKR,110,0,26,0,0,0,0,0
2014,Czechia,Ukraine,CZE,UKR,292,0,174,0,0,0,0,0
2015,Czechia,Ukraine,CZE,UKR,444,0,241,0,0,0,0,0
2016,Czechia,Ukraine,CZE,UKR,444,0,232,0,0,0,0,0
2017,Czechia,Ukraine,CZE,UKR,444,0,186,0,0,0,0,0
2018,Czechia,Ukraine,CZE,UKR,318,0,241,0,0,0,0,0
2019,Czechia,Ukraine,CZE,UKR,305,0,146,0,0,0,0,0
2020,Czechia,Ukraine,CZE,UKR,284,0,121,0,0,0,0,0
2021,Czechia,Ukraine,CZE,UKR,225,0,120,0,0,0,0,0
2022,Czechia,Ukraine,CZE,UKR,433501,76000,137,0,0,0,0,0
2023,Czechia,Ukraine,CZE,UKR,374247,25634,100,0,0,0,0,0
2024,Czechia,Ukraine,CZE,UKR,359495,6000,137,0,0,0,0,0
2008,Denmark,Ukraine,DNK,UKR,49,0,0,0,0,0,0,0
2009,Denmark,Ukraine,DNK,UKR,35,0,0,0,0,0,0,0
2010,Denmark,Ukraine,DNK,UKR,19,0,6,0,0,0,0,0
2011,Denmark,Ukraine,DNK,UKR,10,0,0,0,0,0,0,0
2012,Denmark,Ukraine,DNK,UKR,9,0,5,0,0,0,0,0
2013,Denmark,Ukraine,DNK,UKR,16,0,15,0,0,0,0,0
2014,Denmark,Ukraine,DNK,UKR,12,0,47,0,0,0,0,0
2015,Denmark,Ukraine,DNK,UKR,15,0,49,0,0,0,0,0
2016,Denmark,Ukraine,DNK,UKR,25,0,53,0,0,0,0,0
2017,Denmark,Ukraine,DNK,UKR,26,0,43,0,0,0,0,0
2018,Denmark,Ukraine,DNK,UKR,27,0,46,0,0,0,0,0
2019,Denmark,Ukraine,DNK,UKR,28,0,29,0,0,0,0,0
2020,Denmark,Ukraine,DNK,UKR,29,0,28,0,0,0,0,0
2021,Denmark,Ukraine,DNK,UKR,29,0,14,0,0,0,0,0
2022,Denmark,Ukraine,DNK,UKR,32839,6000,867,0,0,0,0,0
2023,Denmark,Ukraine,DNK,UKR,35940,2462,749,0,0,0,0,0
2024,Denmark,Ukraine,DNK,UKR,33780,600,672,0,0,0,0,0
2014,Estonia,Ukraine,EST,UKR,0,0,44,0,0,0,0,0
2015,Estonia,Ukraine,EST,UKR,59,0,33,0,0,0,0,0
2016,Estonia,Ukraine,EST,UKR,80,0,0,0,0,0,0,0
2017,Estonia,Ukraine,EST,UKR,88,0,0,0,0,0,0,0
2018,Estonia,Ukraine,EST,UKR,64,0,9,0,0,0,0,0
2019,Estonia,Ukraine,EST,UKR,62,0,0,0,0,0,0,0
2020,Estonia,Ukraine,EST,UKR,29,0,0,0,0,0,0,0
2021,Estonia,Ukraine,EST,UKR,28,0,0,0,0,0,0,0
2022,Estonia,Ukraine,EST,UKR,40298,5000,518,0,0,0,0,0
2023,Estonia,Ukraine,EST,UKR,41463,2840,294,0,0,0,0,0
2024,Estonia,Ukraine,EST,UKR,39930,700,104,0,0,0,0,0
2008,Finland,Ukraine,FIN,UKR,19,0,5,0,0,0,0,0
2009,Finland,Ukraine,FIN,UKR,18,0,0,0,0,0,0,0
2010,Finland,Ukraine,FIN,UKR,15,0,5,0,0,0,0,0
2011,Finland,Ukraine,FIN,UKR,11,0,0,0,0,0,0,0
2012,Finland,Ukraine,FIN,UKR,8,0,15,0,0,0,0,0
2013,Finland,Ukraine,FIN,UKR,5,0,6,0,0,0,0,0
2014,Finland,Ukraine,FIN,UKR,9,0,54,0,0,0,0,0
2015,Finland,Ukraine,FIN,UKR,10,0,44,0,0,0,0,0
2016,Finland,Ukraine,FIN,UKR,10,0,24,0,0,0,0,0
2017,Finland,Ukraine,FIN,UKR,10,0,21,0,0,0,0,0
2018,Finland,Ukraine,FIN,UKR,8,0,38,0,0,0,0,0
2019,Finland,Ukraine,FIN,UKR,11,0,25,0,0,0,0,0
2020,Finland,Ukraine,FIN,UKR,11,0,43,0,0,0,0,0
2021,Finland,Ukraine,FIN,UKR,11,0,14,0,0,0,0,0
2022,Finland,Ukraine,FIN,UKR,44953,0,553,0,0,0,0,0
2023,Finland,Ukraine,FIN,UKR,63503,4350,327,0,0,0,0,0
2024,Finland,Ukraine,FIN,UKR,63085,1000,267,0,0,0,0,0
2008,France,Ukraine,FRA,UKR,678,0,0,0,0,0,0,0
2009,France,Ukraine,FRA,UKR,702,0,0,0,0,0,0,0
2010,France,Ukraine,FRA,UKR,712,0,0,0,0,0,0,0
2011,France,Ukraine,FRA,UKR,716,0,0,0,0,0,0,0
2012,France,Ukraine,FRA,UKR,719,0,0,0,0,0,0,0
2013,France,Ukraine,FRA,UKR,732,0,57,0,0,0,0,0
2014,France,Ukraine,FRA,UKR,737,0,1239,0,0,0,0,0
2015,France,Ukraine,FRA,UKR,1038,0,1533,0,0,0,0,0
2016,France,Ukraine,FRA,UKR,1382,0,636,0,0,0,0,0
2017,France,Ukraine,FRA,UKR,1605,0,439,0,0,0,0,0
2018,France,Ukraine,FRA,UKR,1715,0,703,0,0,0,0,0
2019,France,Ukraine,FRA,UKR,1839,0,1020,0,0,0,0,0
2020,France,Ukraine,FRA,UKR,1921,0,1940,0,0,0,0,0
2021,France,Ukraine,FRA,UKR,2801,0,588,0,0,0,0,0
2022,France,Ukraine,FRA,UKR,69302,23000,1270,0,0,0,0,0
2023,France,Ukraine,FRA,UKR,68181,4670,1866,0,0,0,0,0
2024,France,Ukraine,FRA,UKR,67756,1100,4377,0,0,0,0,0
2008,Germany,Ukraine,DEU,UKR,22156,0,48,0,0,0,0,0
2009,Germany,Ukraine,DEU,UKR,18412,0,73,0,0,0,0,0
2010,Germany,Ukraine,DEU,UKR,19398,0,94,0,0,0,0,0
2011,Germany,Ukraine,DEU,UKR,19922,0,70,0,0,0,0,0
2012,Germany,Ukraine,DEU,UKR,20059,0,158,0,0,0,0,0
2013,Germany,Ukraine,DEU,UKR,261,0,259,0,0,0,0,0
2014,Germany,Ukraine,DEU,UKR,299,0,2772,0,0,0,0,0
2015,Germany,Ukraine,DEU,UKR,320,0,6628,0,0,0,0,0
2016,Germany,Ukraine,DEU,UKR,355,0,6346,0,0,0,0,0
2017,Germany,Ukraine,DEU,UKR,631,0,3963,0,0,0,0,0
2018,Germany,Ukraine,DEU,UKR,741,0,3149,0,0,0,0,0
2019,Germany,Ukraine,DEU,UKR,847,0,2312,0,0,0,0,0
2020,Germany,Ukraine,DEU,UKR,895,0,1519,0,0,0,0,0
2021,Germany,Ukraine,DEU,UKR,918,0,1328,0,0,0,0,0
2022,Germany,Ukraine,DEU,UKR,1002999,76000,1383,0,0,0,0,0
2023,Germany,Ukraine,DEU,UKR,1097503,75175,1640,0,0,0,0,0
2024,Germany,Ukraine,DEU,UKR,1142420,17600,1809,0,0,0,0,0
2008,Greece,Ukraine,GRC,UKR,5,0,9,0,0,0,0,0
2009,Greece,Ukraine,GRC,UKR,5,0,0,0,0,0,0,0
2010,Greece,Ukraine,GRC,UKR,5,0,78,0,0,0,0,0
2011,Greece,Ukraine,GRC,UKR,5,0,0,0,0,0,0,0
2012,Greece,Ukraine,GRC,UKR,5,0,0,0,0,0,0,0
2013,Greece,Ukraine,GRC,UKR,6,0,110,0,0,0,0,0
2014,Greece,Ukraine,GRC,UKR,10,0,48,0,0,0,0,0
2015,Greece,Ukraine,GRC,UKR,85,0,124,0,0,0,0,0
2016,Greece,Ukraine,GRC,UKR,112,0,144,0,0,0,0,0
2017,Greece,Ukraine,GRC,UKR,134,0,99,0,0,0,0,0
2018,Greece,Ukraine,GRC,UKR,145,0,117,0,0,0,0,0
2019,Greece,Ukraine,GRC,UKR,151,0,97,0,0,0,0,0
2020,Greece,Ukraine,GRC,UKR,158,0,63,0,0,0,0,0
2021,Greece,Ukraine,GRC,UKR,169,0,99,0,0,0,0,0
2022,Greece,Ukraine,GRC,UKR,21827,6000,104,0,0,0,0,0
2023,Greece,Ukraine,GRC,UKR,27043,1852,70,0,0,0,0,0
2024,Greece,Ukraine,GRC,UKR,30711,400,60,0,0,0,0,0
2011,Croatia,Ukraine,HRV,UKR,0,0,5,0,0,0,0,0
2012,Croatia,Ukraine,HRV,UKR,5,0,0,0,0,0,0,0
2013,Croatia,Ukraine,HRV,UKR,5,0,0,0,0,0,0,0
2014,Croatia,Ukraine,HRV,UKR,5,0,5,0,0,0,0,0
2015,Croatia,Ukraine,HRV,UKR,5,0,5,0,0,0,0,0
2016,Croatia,Ukraine,HRV,UKR,5,0,0,0,0,0,0,0
2017,Croatia,Ukraine,HRV,UKR,5,0,0,0,0,0,0,0
2018,Croatia,Ukraine,HRV,UKR,8,0,5,0,0,0,0,0
2019,Croatia,Ukraine,HRV,UKR,8,0,0,0,0,0,0,0
2020,Croatia,Ukraine,HRV,UKR,8,0,0,0,0,0,0,0
2021,Croatia,Ukraine,HRV,UKR,8,0,0,0,0,0,0,0
2022,Croatia,Ukraine,HRV,UKR,19416,0,0,0,0,0,0,0
2023,Croatia,Ukraine,HRV,UKR,23733,1626,0,0,0,0,0,0
2024,Croatia,Ukraine,HRV,UKR,25475,400,0,0,0,0,0,14
2008,Hungary,Ukraine,HUN,UKR,49,0,5,0,0,0,0,0
2009,Hungary,Ukraine,HUN,UKR,47,0,7,0,0,0,0,0
2010,Hungary,Ukraine,HUN,UKR,44,0,7,0,0,0,0,0
2011,Hungary,Ukraine,HUN,UKR,44,0,0,0,0,0,0,0
2012,Hungary,Ukraine,HUN,UKR,41,0,0,0,0,0,0,0
2013,Hungary,Ukraine,HUN,UKR,9,0,5,0,0,0,0,0
2014,Hungary,Ukraine,HUN,UKR,10,0,7,0,0,0,0,0
2015,Hungary,Ukraine,HUN,UKR,17,0,11,0,0,0,0,0
2016,Hungary,Ukraine,HUN,UKR,19,0,5,0,0,0,0,0
2017,Hungary,Ukraine,HUN,UKR,19,0,0,0,0,0,0,0
2018,Hungary,Ukraine,HUN,UKR,19,0,0,0,0,0,0,0
2019,Hungary,Ukraine,HUN,UKR,15,0,0,0,0,0,0,0
2020,Hungary,Ukraine,HUN,UKR,14,0,0,0,0,0,0,0
2021,Hungary,Ukraine,HUN,UKR,13,0,0,0,0,0,0,0
2022,Hungary,Ukraine,HUN,UKR,29632,8000,5,0,0,0,0,0
2023,Hungary,Ukraine,HUN,UKR,57401,3932,0,0,0,0,0,0
2024,Hungary,Ukraine,HUN,UKR,62625,900,0,0,0,0,0,0
2008,Ireland,Ukraine,IRL,UKR,199,0,41,0,0,0,0,0
2009,Ireland,Ukraine,IRL,UKR,193,0,5,0,0,0,0,0
2010,Ireland,Ukraine,IRL,UKR,187,0,30,0,0,0,0,0
2011,Ireland,Ukraine,IRL,UKR,175,0,43,0,0,0,0,0
2012,Ireland,Ukraine,IRL,UKR,134,0,40,0,0,0,0,0
2013,Ireland,Ukraine,IRL,UKR,104,0,40,0,0,0,0,0
2014,Ireland,Ukraine,IRL,UKR,97,0,57,0,0,0,0,0
2015,Ireland,Ukraine,IRL,UKR,103,0,91,0,0,0,0,0
2016,Ireland,Ukraine,IRL,UKR,108,0,69,0,0,0,0,0
2017,Ireland,Ukraine,IRL,UKR,110,0,66,0,0,0,0,0
2018,Ireland,Ukraine,IRL,UKR,78,0,53,0,0,0,0,0
2019,Ireland,Ukraine,IRL,UKR,81,0,33,0,0,0,0,0
2020,Ireland,Ukraine,IRL,UKR,85,0,19,0,0,0,0,0
2021,Ireland,Ukraine,IRL,UKR,79,0,15,0,0,0,0,0
2022,Ireland,Ukraine,IRL,UKR,70578,7000,238,0,0,0,0,0
2023,Ireland,Ukraine,IRL,UKR,100545,6887,291,0,0,0,0,0
2024,Ireland,Ukraine,IRL,UKR,105367,1600,352,0,0,0,0,0
2008,Italy,Ukraine,ITA,UKR,63,0,0,0,0,0,0,0
2009,Italy,Ukraine,ITA,UKR,76,0,0,0,0,0,0,0
2010,Italy,Ukraine,ITA,UKR,71,0,6,0,0,0,0,0
2011,Italy,Ukraine,ITA,UKR,60,0,0,0,0,0,0,0
2012,Italy,Ukraine,ITA,UKR,60,0,13,0,0,0,0,0
2013,Italy,Ukraine,ITA,UKR,77,0,5,0,0,0,0,0
2014,Italy,Ukraine,ITA,UKR,236,0,1556,0,0,0,0,0
2015,Italy,Ukraine,ITA,UKR,1870,0,3106,0,0,0,0,0
2016,Italy,Ukraine,ITA,UKR,3720,0,2544,0,0,0,0,0
2017,Italy,Ukraine,ITA,UKR,4947,0,4453,0,0,0,0,0
2018,Italy,Ukraine,ITA,UKR,5861,0,4164,0,0,0,0,0
2019,Italy,Ukraine,ITA,UKR,6353,0,1189,0,0,0,0,0
2020,Italy,Ukraine,ITA,UKR,2920,0,961,0,0,0,0,0
2021,Italy,Ukraine,ITA,UKR,3379,0,680,0,0,0,0,0
2022,Italy,Ukraine,ITA,UKR,149872,61000,1878,0,0,0,0,0
2023,Italy,Ukraine,ITA,UKR,164667,11279,1331,0,0,0,0,0
2024,Italy,Ukraine,ITA,UKR,169768,2600,1411,0,0,0,0,0
2012,Lithuania,Ukraine,LTU,UKR,5,0,0,0,0,0,0,0
2013,Lithuania,Ukraine,LTU,UKR,6,0,0,0,0,0,0,0
2014,Lithuania,Ukraine,LTU,UKR,34,0,21,0,0,0,0,0
2015,Lithuania,Ukraine,LTU,UKR,60,0,13,0,0,0,0,0
2016,Lithuania,Ukraine,LTU,UKR,61,0,5,0,0,0,0,0
2017,Lithuania,Ukraine,LTU,UKR,63,0,21,0,0,0,0,0
2018,Lithuania,Ukraine,LTU,UKR,64,0,7,0,0,0,0,0
2019,Lithuania,Ukraine,LTU,UKR,64,0,5,0,0,0,0,0
2020,Lithuania,Ukraine,LTU,UKR,64,0,5,0,0,0,0,0
2021,Lithuania,Ukraine,LTU,UKR,64,0,5,0,0,0,0,0
2022,Lithuania,Ukraine,LTU,UKR,65175,13000,0,0,0,0,0,0
2023,Lithuania,Ukraine,LTU,UKR,77340,5297,5,0,0,0,0,0
2024,Lithuania,Ukraine,LTU,UKR,43901,1200,5,0,0,0,0,0
2013,Luxembourg,Ukraine,LUX,UKR,5,0,5,0,0,0,0,0
2014,Luxembourg,Ukraine,LUX,UKR,5,0,22,0,0,0,0,0
2015,Luxembourg,Ukraine,LUX,UKR,6,0,26,0,0,0,0,0
2016,Luxembourg,Ukraine,LUX,UKR,6,0,40,0,0,0,0,0
2017,Luxembourg,Ukraine,LUX,UKR,6,0,40,0,0,0,0,0
2018,Luxembourg,Ukraine,LUX,UKR,6,0,20,0,0,0,0,0
2019,Luxembourg,Ukraine,LUX,UKR,6,0,25,0,0,0,0,0
2020,Luxembourg,Ukraine,LUX,UKR,5,0,5,0,0,0,0,0
2021,Luxembourg,Ukraine,LUX,UKR,5,0,10,0,0,0,0,0
2022,Luxembourg,Ukraine,LUX,UKR,4500,0,25,0,0,0,0,0
2023,Luxembourg,Ukraine,LUX,UKR,5365,0,40,0,0,0,0,0
2024,Luxembourg,Ukraine,LUX,UKR,4148,0,32,0,0,0,0,0
2014,Latvia,Ukraine,LVA,UKR,0,0,52,0,0,0,0,0
2015,Latvia,Ukraine,LVA,UKR,0,0,5,0,0,0,0,0
2021,Latvia,Ukraine,LVA,UKR,0,0,5,0,0,0,0,0
2022,Latvia,Ukraine,LVA,UKR,37800,22000,10,0,0,0,0,0
2023,Latvia,Ukraine,LVA,UKR,44307,3234,5,0,0,0,0,0
2024,Latvia,Ukraine,LVA,UKR,45158,700,0,0,0,0,0,0
2014,Malta,Ukraine,MLT,UKR,27,0,5,0,0,0,0,0
2015,Malta,Ukraine,MLT,UKR,78,0,23,0,0,0,0,0
2016,Malta,Ukraine,MLT,UKR,109,0,64,0,0,0,0,0
2017,Malta,Ukraine,MLT,UKR,120,0,68,0,0,0,0,0
2018,Malta,Ukraine,MLT,UKR,136,0,43,0,0,0,0,0
2019,Malta,Ukraine,MLT,UKR,142,0,59,0,0,0,0,0
2020,Malta,Ukraine,MLT,UKR,141,0,44,0,0,0,0,0
2021,Malta,Ukraine,MLT,UKR,142,0,54,0,0,0,0,0
2022,Malta,Ukraine,MLT,UKR,1765,0,54,0,0,0,0,0
2023,Malta,Ukraine,MLT,UKR,2192,0,89,0,0,0,0,0
2024,Malta,Ukraine,MLT,UKR,2383,0,86,0,0,0,0,0
2008,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,170,0,0,0,0,0,0,0
2009,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,149,0,25,0,0,0,0,0
2010,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,124,0,15,0,0,0,0,0
2011,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,103,0,28,0,0,0,0,0
2012,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,74,0,28,0,0,0,0,0
2013,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,63,0,0,0,0,0,0,0
2014,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,52,0,105,0,0,0,0,0
2015,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,39,0,315,0,0,0,0,0
2016,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,32,0,64,0,0,0,0,0
2017,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,23,0,32,0,0,0,0,0
2018,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,23,0,31,0,0,0,0,0
2019,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,20,0,59,0,0,0,0,0
2020,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,21,0,21,0,0,0,0,0
2021,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,34,0,35,0,0,0,0,0
2022,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,102643,10000,1059,0,0,0,0,0
2023,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,105338,7215,1290,0,0,0,0,0
2024,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,112449,1700,590,0,0,0,0,0
2008,Poland,Ukraine,POL,UKR,13,0,7,0,0,0,0,0
2009,Poland,Ukraine,POL,UKR,17,0,7,0,0,0,0,0
2010,Poland,Ukraine,POL,UKR,20,0,16,0,0,0,0,0
2011,Poland,Ukraine,POL,UKR,25,0,52,0,0,0,0,0
2012,Poland,Ukraine,POL,UKR,25,0,38,0,0,0,0,0
2013,Poland,Ukraine,POL,UKR,39,0,25,0,0,0,0,0
2014,Poland,Ukraine,POL,UKR,35,0,1077,0,0,0,0,0
2015,Poland,Ukraine,POL,UKR,41,0,719,0,0,0,0,0
2016,Poland,Ukraine,POL,UKR,114,0,520,0,0,0,0,0
2017,Poland,Ukraine,POL,UKR,369,0,333,0,0,0,0,0
2018,Poland,Ukraine,POL,UKR,464,0,309,0,0,0,0,0
2019,Poland,Ukraine,POL,UKR,485,0,515,0,0,0,0,0
2020,Poland,Ukraine,POL,UKR,416,0,305,0,0,0,0,0
2021,Poland,Ukraine,POL,UKR,422,0,109,0,0,0,0,0
2022,Poland,Ukraine,POL,UKR,958147,403000,372,0,0,0,0,0
2023,Poland,Ukraine,POL,UKR,955891,65475,1005,0,0,0,0,0
2024,Poland,Ukraine,POL,UKR,963859,15300,2258,0,0,0,0,0
2009,Romania,Ukraine,ROU,UKR,0,0,5,0,0,0,0,0
2010,Romania,Ukraine,ROU,UKR,0,0,5,0,0,0,0,0
2011,Romania,Ukraine,ROU,UKR,0,0,6,0,0,0,0,0
2014,Romania,Ukraine,ROU,UKR,13,0,10,0,0,0,0,0
2015,Romania,Ukraine,ROU,UKR,37,0,9,0,0,0,0,0
2016,Romania,Ukraine,ROU,UKR,39,0,0,0,0,0,0,0
2017,Romania,Ukraine,ROU,UKR,37,0,5,0,0,0,0,0
2018,Romania,Ukraine,ROU,UKR,28,0,7,0,0,0,0,0
2019,Romania,Ukraine,ROU,UKR,22,0,5,0,0,0,0,0
2020,Romania,Ukraine,ROU,UKR,20,0,5,0,0,0,0,0
2021,Romania,Ukraine,ROU,UKR,17,0,0,0,0,0,0,0
2022,Romania,Ukraine,ROU,UKR,100086,33000,42,0,0,0,0,0
2023,Romania,Ukraine,ROU,UKR,81493,5582,6,0,0,0,0,0
2024,Romania,Ukraine,ROU,UKR,160599,1300,48,0,0,0,0,0
2008,Spain,Ukraine,ESP,UKR,56,0,0,0,0,0,0,0
2009,Spain,Ukraine,ESP,UKR,42,0,0,0,0,0,0,0
2010,Spain,Ukraine,ESP,UKR,25,0,0,0,0,0,0,0
2011,Spain,Ukraine,ESP,UKR,18,0,0,0,0,0,0,0
2012,Spain,Ukraine,ESP,UKR,10,0,15,0,0,0,0,0
2013,Spain,Ukraine,ESP,UKR,6,0,9,0,0,0,0,0
2014,Spain,Ukraine,ESP,UKR,5,0,689,0,0,0,0,0
2016,Spain,Ukraine,ESP,UKR,68,0,5555,0,0,0,0,0
2017,Spain,Ukraine,ESP,UKR,368,0,4466,0,0,0,0,0
2018,Spain,Ukraine,ESP,UKR,562,0,4300,0,0,0,0,0
2019,Spain,Ukraine,ESP,UKR,631,0,6460,0,0,0,0,0
2020,Spain,Ukraine,ESP,UKR,922,0,4290,0,0,0,0,0
2021,Spain,Ukraine,ESP,UKR,1515,0,2820,0,0,0,0,0
2022,Spain,Ukraine,ESP,UKR,159194,20000,1515,0,0,0,0,0
2023,Spain,Ukraine,ESP,UKR,191327,13105,1145,0,0,0,0,0
2024,Spain,Ukraine,ESP,UKR,211424,3100,1080,0,0,0,0,0
2014,Slovenia,Ukraine,SVN,UKR,0,0,8,0,0,0,0,0
2017,Slovenia,Ukraine,SVN,UKR,5,0,0,0,0,0,0,0
2018,Slovenia,Ukraine,SVN,UKR,5,0,0,0,0,0,0,0
2019,Slovenia,Ukraine,SVN,UKR,5,0,0,0,0,0,0,0
2020,Slovenia,Ukraine,SVN,UKR,5,0,0,0,0,0,0,0
2021,Slovenia,Ukraine,SVN,UKR,5,0,0,0,0,0,0,0
2022,Slovenia,Ukraine,SVN,UKR,7748,0,16,0,0,0,0,0
2023,Slovenia,Ukraine,SVN,UKR,9467,0,47,0,0,0,0,0
2024,Slovenia,Ukraine,SVN,UKR,10231,200,82,0,0,0,0,0
