DATAFLOW,LAST UPDATE,freq,leg_stat,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bosnia and Herzegovina,2015,1510,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bosnia and Herzegovina,2016,1274,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bosnia and Herzegovina,2017,1173,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bosnia and Herzegovina,2018,1129,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bosnia and Herzegovina,2019,1166,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bosnia and Herzegovina,2020,822,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bosnia and Herzegovina,2021,919,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bosnia and Herzegovina,2022,925,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Belgium,2010,19388,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Belgium,2011,20364,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Belgium,2012,27928,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Belgium,2013,21541,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Belgium,2014,17976,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Belgium,2015,26655,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Belgium,2017,46607,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Belgium,2018,45365,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Belgium,2019,38358,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Belgium,2020,27726,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2008,2133,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2009,2467,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2010,2589,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2011,2960,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2012,2842,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2013,2739,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2014,2599,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2015,2341,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2016,2523,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2017,2138,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2018,2022,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2019,1893,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2020,2005,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2021,2014,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Bulgaria,2022,2074,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2008,16435,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2009,16747,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2010,17785,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2011,16383,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2012,17662,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2013,17187,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2014,16979,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2015,18497,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2016,18613,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2017,18084,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2018,18667,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2019,17081,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2020,17081,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2021,17525,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Switzerland,2022,18693,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Cyprus,2008,11202,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Cyprus,2009,10704,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Cyprus,2010,12587,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Cyprus,2011,16516,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Cyprus,2012,13246,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Cyprus,2013,11840,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Cyprus,2014,13757,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Cyprus,2015,10824,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Cyprus,2016,8636,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Cyprus,2017,8725,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Cyprus,2018,9571,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Cyprus,2019,8290,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Cyprus,2020,7662,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Cyprus,2021,7848,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2008,9502,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2009,9415,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2010,9186,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2011,9202,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2012,9425,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2013,10957,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2014,9008,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2015,9882,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2016,10121,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2017,9500,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2018,9284,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2019,9619,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2020,8083,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2021,7887,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Czechia,2022,8169,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2008,158618,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2009,155970,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2010,153247,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2011,154543,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2012,148325,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2013,146411,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2014,147003,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2015,146233,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2016,142921,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2017,136330,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2018,133917,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2019,136438,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2020,129169,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2021,119409,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Germany,2022,118551,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2008,31618,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2009,33946,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2010,36590,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2011,38255,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2012,38439,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2013,40415,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2014,41134,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2015,40744,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2016,39585,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2017,36546,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2018,35982,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2019,9281,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2020,10349,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2021,9590,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Denmark,2022,10080,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Greece,2021,280,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Greece,2022,309,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Spain,2014,30120,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Spain,2015,34826,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Spain,2016,54828,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Spain,2017,62407,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Spain,2018,62337,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Spain,2019,62161,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Spain,2020,45337,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Spain,2021,57000,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Spain,2022,61554,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2008,43706,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2009,39385,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2010,40889,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2011,39550,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2012,37874,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2013,36851,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2014,36115,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2015,37849,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2016,31775,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2017,13536,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2018,13545,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2019,13986,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2020,13436,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2021,13947,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Finland,2022,13572,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,France,2008,68350,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,France,2009,67919,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,France,2010,66886,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,France,2011,66426,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,France,2012,70080,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,France,2013,70057,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,France,2014,58267,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,France,2015,67457,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,France,2016,52051,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,France,2017,51666,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,France,2018,55320,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,France,2019,55268,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,France,2020,44185,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,France,2021,51517,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2008,2583,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2009,2587,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2010,2445,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2011,2459,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2012,2025,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2013,1752,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2014,1858,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2015,1481,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2016,1756,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2017,1604,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2018,1581,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2019,1728,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2020,1583,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2021,1780,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Croatia,2022,1647,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2008,12053,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2009,13096,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2010,14269,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2011,11400,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2012,9884,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2013,9168,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2014,9302,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2015,8896,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2016,9088,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2017,8943,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2018,8884,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2019,8460,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2020,7247,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2021,7521,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Hungary,2022,7594,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Iceland,2013,429,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Italy,2008,41305,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Italy,2009,39118,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Italy,2010,38784,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Italy,2011,41291,,
ESTAT:CRIM_JUST_SEX(1.0),23/04/24 23:00:00,Annual,Convicted person,Females,Number,Italy,2012,41373,,
