DATAFLOW,LAST UPDATE,freq,unit,indic_il,citizen,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2021,22707,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2022,24061,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Austria,2023,28099,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2015,20003,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2016,20033,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2017,20439,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2018,20915,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2019,21928,b,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2020,23812,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2021,23694,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2022,25395,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2023,26767,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Belgium,2024,28485,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2015,,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2016,,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2017,,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2018,,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2019,,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2020,,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2021,3399,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2022,,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2023,,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Bulgaria,2024,,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2015,39740,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2016,45192,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2017,44162,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2018,42911,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2019,43063,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2020,44447,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2021,45592,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2022,46717,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Switzerland,2023,52820,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2015,10487,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2016,10667,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2017,11208,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2018,12891,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2019,12887,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2020,13865,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2021,13554,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2022,15056,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2023,15751,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Cyprus,2024,17365,b,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2015,8018,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2016,8610,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2017,9786,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2018,11179,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2019,12293,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2020,12795,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2021,10235,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2022,11481,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2023,16338,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Czechia,2024,17149,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2015,21156,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2016,20467,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2017,21915,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2018,21673,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2019,25288,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2020,22833,b,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2021,21817,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2022,21693,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2023,23627,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Germany,2024,24200,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2015,23533,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2016,24587,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2017,27148,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2018,26493,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2019,27881,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2020,29812,b,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2021,30195,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2022,31505,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2023,32973,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Denmark,2024,33185,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2015,16957,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2016,16728,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2017,18407,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,17899,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,19141,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,20295,b,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,20302,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 18 countries (2014),2015,16959,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 18 countries (2014),2016,16729,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 18 countries (2014),2017,18410,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 18 countries (2014),2018,17902,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 18 countries (2014),2019,19142,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 18 countries (2014),2020,20298,b,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 19 countries  (2015-2022),2015,16957,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 19 countries  (2015-2022),2016,16728,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 19 countries  (2015-2022),2017,18407,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 19 countries  (2015-2022),2018,17899,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 19 countries  (2015-2022),2019,19141,e,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 19 countries  (2015-2022),2020,20295,b,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area - 19 countries  (2015-2022),2021,20302,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2015,16947,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2016,16721,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2017,18396,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2018,17893,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2019,19134,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2020,20288,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2021,20184,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2022,20704,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Euro area – 20 countries (from 2023),2023,22380,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2015,6978,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2016,7482,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2017,8966,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2018,10782,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2019,12404,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2020,12513,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2021,12847,u,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2022,16034,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2023,14853,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Estonia,2024,17318,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2015,5850,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2016,6261,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2017,6376,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2018,7200,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2019,8051,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2020,7386,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2021,7583,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2022,9273,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Greece,2023,10190,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Spain,2015,11058,,
ESTAT:ILC_DI15$DEFAULTVIEW(1.0),21/03/25 23:00:00,Annual,Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Spain,2016,8843,,
