Sex,Employment status,geo,year,In thousands
Females,Employed persons,Italy,2021,914.1
Females,Employed persons,Italy,2022,956.6
Females,Employed persons,Italy,2023,956.0
Females,Employed persons,Italy,2024,1000.2
Females,Employed persons,Lithuania,2014,3.0
Females,Employed persons,Lithuania,2015,3.6
Females,Employed persons,Lithuania,2016,2.6
Females,Employed persons,Lithuania,2017,3.1
Females,Employed persons,Lithuania,2018,4.1
Females,Employed persons,Lithuania,2019,5.6
Females,Employed persons,Lithuania,2020,5.4
Females,Employed persons,Lithuania,2021,5.1
Females,Employed persons,Lithuania,2022,9.1
Females,Employed persons,Lithuania,2023,10.1
Females,Employed persons,Lithuania,2024,13.5
Females,Employed persons,Luxembourg,2014,54.4
Females,Employed persons,Luxembourg,2015,57.3
Females,Employed persons,Luxembourg,2016,59.6
Females,Employed persons,Luxembourg,2017,65.3
Females,Employed persons,Luxembourg,2018,68.8
Females,Employed persons,Luxembourg,2019,68.3
Females,Employed persons,Luxembourg,2020,68.4
Females,Employed persons,Luxembourg,2021,72.3
Females,Employed persons,Luxembourg,2022,75.5
Females,Employed persons,Luxembourg,2023,78.2
Females,Employed persons,Luxembourg,2024,79.2
Females,Employed persons,Latvia,2014,50.8
Females,Employed persons,Latvia,2015,49.6
Females,Employed persons,Latvia,2016,49.1
Females,Employed persons,Latvia,2017,45.0
Females,Employed persons,Latvia,2018,43.9
Females,Employed persons,Latvia,2019,44.7
Females,Employed persons,Latvia,2020,43.6
Females,Employed persons,Latvia,2021,36.9
Females,Employed persons,Latvia,2022,35.7
Females,Employed persons,Latvia,2023,37.8
Females,Employed persons,Latvia,2024,35.4
Females,Employed persons,Montenegro,2014,2.8
Females,Employed persons,Montenegro,2015,3.7
Females,Employed persons,Montenegro,2016,2.9
Females,Employed persons,Montenegro,2017,3.6
Females,Employed persons,Montenegro,2018,4.8
Females,Employed persons,Montenegro,2019,4.5
Females,Employed persons,Montenegro,2020,2.9
Females,Employed persons,North Macedonia,2014,0.5
Females,Employed persons,North Macedonia,2019,0.6
Females,Employed persons,Malta,2014,4.2
Females,Employed persons,Malta,2015,5.9
Females,Employed persons,Malta,2016,5.8
Females,Employed persons,Malta,2017,14.8
Females,Employed persons,Malta,2018,23.4
Females,Employed persons,Malta,2019,26.7
Females,Employed persons,Malta,2020,29.9
Females,Employed persons,Malta,2021,31.3
Females,Employed persons,Malta,2022,37.3
Females,Employed persons,Malta,2023,40.4
Females,Employed persons,Malta,2024,44.8
Females,Employed persons,Netherlands,2014,147.5
Females,Employed persons,Netherlands,2015,154.0
Females,Employed persons,Netherlands,2016,161.6
Females,Employed persons,Netherlands,2017,181.1
Females,Employed persons,Netherlands,2018,190.6
Females,Employed persons,Netherlands,2019,211.3
Females,Employed persons,Netherlands,2020,214.5
Females,Employed persons,Netherlands,2021,221.6
Females,Employed persons,Netherlands,2022,244.6
Females,Employed persons,Netherlands,2023,274.7
Females,Employed persons,Netherlands,2024,294.5
Females,Employed persons,Norway,2014,87.1
Females,Employed persons,Norway,2015,100.0
Females,Employed persons,Norway,2016,98.5
Females,Employed persons,Norway,2017,97.3
Females,Employed persons,Norway,2018,129.4
Females,Employed persons,Norway,2019,139.8
Females,Employed persons,Norway,2020,139.6
Females,Employed persons,Norway,2021,131.1
Females,Employed persons,Norway,2022,133.4
Females,Employed persons,Norway,2023,137.8
Females,Employed persons,Norway,2024,147.2
Females,Employed persons,Poland,2014,12.4
Females,Employed persons,Poland,2015,15.6
Females,Employed persons,Poland,2016,18.7
Females,Employed persons,Poland,2017,32.0
Females,Employed persons,Poland,2018,37.6
Females,Employed persons,Poland,2019,43.1
Females,Employed persons,Poland,2020,41.9
Females,Employed persons,Poland,2021,35.8
Females,Employed persons,Poland,2022,51.0
Females,Employed persons,Poland,2023,111.0
Females,Employed persons,Poland,2024,164.9
Females,Employed persons,Portugal,2014,58.8
Females,Employed persons,Portugal,2015,56.2
Females,Employed persons,Portugal,2016,58.0
Females,Employed persons,Portugal,2017,58.9
Females,Employed persons,Portugal,2018,64.5
Females,Employed persons,Portugal,2019,78.1
Females,Employed persons,Portugal,2020,76.5
Females,Employed persons,Portugal,2021,42.2
Females,Employed persons,Portugal,2022,66.3
Females,Employed persons,Portugal,2023,130.7
Females,Employed persons,Portugal,2024,144.7
Females,Employed persons,Serbia,2014,4.6
Females,Employed persons,Serbia,2015,2.7
Females,Employed persons,Serbia,2016,2.1
Females,Employed persons,Serbia,2017,3.0
Females,Employed persons,Serbia,2018,3.6
Females,Employed persons,Serbia,2019,2.4
Females,Employed persons,Serbia,2020,1.8
Females,Employed persons,Serbia,2021,2.3
Females,Employed persons,Serbia,2022,1.9
Females,Employed persons,Serbia,2023,3.2
Females,Employed persons,Serbia,2024,4.4
Females,Employed persons,Sweden,2014,116.8
Females,Employed persons,Sweden,2015,116.7
Females,Employed persons,Sweden,2016,122.5
Females,Employed persons,Sweden,2017,130.5
Females,Employed persons,Sweden,2018,139.8
Females,Employed persons,Sweden,2019,145.4
Females,Employed persons,Sweden,2020,148.9
Females,Employed persons,Sweden,2021,147.3
Females,Employed persons,Sweden,2022,152.0
Females,Employed persons,Sweden,2023,158.4
Females,Employed persons,Sweden,2024,161.5
Females,Employed persons,Slovenia,2014,6.4
Females,Employed persons,Slovenia,2015,9.1
Females,Employed persons,Slovenia,2016,11.3
Females,Employed persons,Slovenia,2017,14.8
Females,Employed persons,Slovenia,2018,16.6
Females,Employed persons,Slovenia,2019,16.0
Females,Employed persons,Slovenia,2020,18.1
Females,Employed persons,Slovenia,2021,18.3
Females,Employed persons,Slovenia,2022,23.0
Females,Employed persons,Slovenia,2023,31.1
Females,Employed persons,Slovenia,2024,36.3
Females,Employed persons,Slovakia,2014,2.1
Females,Employed persons,Slovakia,2015,3.0
Females,Employed persons,Slovakia,2016,2.5
Females,Employed persons,Slovakia,2017,3.4
Females,Employed persons,Slovakia,2020,3.2
Females,Employed persons,Slovakia,2023,6.4
Females,Employed persons,Slovakia,2024,7.2
Females,Employed persons,United Kingdom,2014,1308.1
Females,Employed persons,United Kingdom,2015,1469.8
Females,Employed persons,United Kingdom,2016,1540.4
Females,Employed persons,United Kingdom,2017,1612.7
Females,Employed persons,United Kingdom,2018,1610.8
Females,Employed persons,United Kingdom,2019,1703.6
Females,Persons outside the labour force,Austria,2014,146.5
Females,Persons outside the labour force,Austria,2015,161.7
Females,Persons outside the labour force,Austria,2016,177.4
Females,Persons outside the labour force,Austria,2017,174.6
Females,Persons outside the labour force,Austria,2018,175.8
Females,Persons outside the labour force,Austria,2019,175.1
Females,Persons outside the labour force,Austria,2020,182.7
Females,Persons outside the labour force,Austria,2021,181.1
Females,Persons outside the labour force,Austria,2022,186.7
Females,Persons outside the labour force,Austria,2023,196.1
Females,Persons outside the labour force,Austria,2024,200.2
Females,Persons outside the labour force,Bosnia and Herzegovina,2021,1.4
Females,Persons outside the labour force,Bosnia and Herzegovina,2022,1.0
Females,Persons outside the labour force,Bosnia and Herzegovina,2023,1.3
Females,Persons outside the labour force,Bosnia and Herzegovina,2024,0.9
Females,Persons outside the labour force,Belgium,2014,175.2
Females,Persons outside the labour force,Belgium,2015,188.3
Females,Persons outside the labour force,Belgium,2016,177.7
Females,Persons outside the labour force,Belgium,2017,189.4
Females,Persons outside the labour force,Belgium,2018,185.4
Females,Persons outside the labour force,Belgium,2019,193.4
Females,Persons outside the labour force,Belgium,2020,194.5
Females,Persons outside the labour force,Belgium,2021,197.1
Females,Persons outside the labour force,Belgium,2022,210.3
Females,Persons outside the labour force,Belgium,2023,218.4
Females,Persons outside the labour force,Belgium,2024,213.4
Females,Persons outside the labour force,Bulgaria,2017,3.1
Females,Persons outside the labour force,Bulgaria,2018,3.1
Females,Persons outside the labour force,Bulgaria,2024,4.4
Females,Persons outside the labour force,Switzerland,2014,178.1
Females,Persons outside the labour force,Switzerland,2015,181.5
Females,Persons outside the labour force,Switzerland,2016,175.2
Females,Persons outside the labour force,Switzerland,2017,182.4
Females,Persons outside the labour force,Switzerland,2018,174.2
Females,Persons outside the labour force,Switzerland,2019,171.6
Females,Persons outside the labour force,Switzerland,2020,174.3
Females,Persons outside the labour force,Switzerland,2021,184.3
Females,Persons outside the labour force,Switzerland,2022,195.9
Females,Persons outside the labour force,Switzerland,2023,190.7
Females,Persons outside the labour force,Switzerland,2024,190.5
Females,Persons outside the labour force,Cyprus,2014,14.5
Females,Persons outside the labour force,Cyprus,2015,15.5
Females,Persons outside the labour force,Cyprus,2016,17.6
Females,Persons outside the labour force,Cyprus,2017,18.4
Females,Persons outside the labour force,Cyprus,2018,19.2
Females,Persons outside the labour force,Cyprus,2019,18.1
Females,Persons outside the labour force,Cyprus,2020,21.2
Females,Persons outside the labour force,Cyprus,2021,18.6
Females,Persons outside the labour force,Cyprus,2022,17.4
Females,Persons outside the labour force,Cyprus,2023,19.2
Females,Persons outside the labour force,Cyprus,2024,24.0
Females,Persons outside the labour force,Czechia,2014,21.2
Females,Persons outside the labour force,Czechia,2015,23.7
Females,Persons outside the labour force,Czechia,2016,16.9
Females,Persons outside the labour force,Czechia,2017,21.5
Females,Persons outside the labour force,Czechia,2018,19.9
Females,Persons outside the labour force,Czechia,2019,19.7
Females,Persons outside the labour force,Czechia,2020,23.9
Females,Persons outside the labour force,Czechia,2021,27.5
Females,Persons outside the labour force,Czechia,2022,25.6
Females,Persons outside the labour force,Czechia,2023,39.7
Females,Persons outside the labour force,Czechia,2024,43.8
Females,Persons outside the labour force,Germany,2014,1200.9
Females,Persons outside the labour force,Germany,2015,1264.1
Females,Persons outside the labour force,Germany,2016,1374.9
Females,Persons outside the labour force,Germany,2017,1441.9
Females,Persons outside the labour force,Germany,2018,1458.9
Females,Persons outside the labour force,Germany,2019,1437.5
Females,Persons outside the labour force,Germany,2020,1470.0
Females,Persons outside the labour force,Germany,2021,1580.8
Females,Persons outside the labour force,Germany,2022,1688.2
Females,Persons outside the labour force,Germany,2023,1839.2
Females,Persons outside the labour force,Germany,2024,1799.2
Females,Persons outside the labour force,Denmark,2014,53.7
Females,Persons outside the labour force,Denmark,2015,60.6
Females,Persons outside the labour force,Denmark,2016,44.3
Females,Persons outside the labour force,Denmark,2017,49.3
Females,Persons outside the labour force,Denmark,2018,52.6
Females,Persons outside the labour force,Denmark,2019,53.9
Females,Persons outside the labour force,Denmark,2020,48.9
Females,Persons outside the labour force,Denmark,2021,45.8
Females,Persons outside the labour force,Denmark,2022,34.8
Females,Persons outside the labour force,Denmark,2023,36.5
Females,Persons outside the labour force,Denmark,2024,33.1
Females,Persons outside the labour force,Estonia,2014,20.8
Females,Persons outside the labour force,Estonia,2015,18.5
Females,Persons outside the labour force,Estonia,2016,19.4
Females,Persons outside the labour force,Estonia,2017,16.4
Females,Persons outside the labour force,Estonia,2018,13.9
Females,Persons outside the labour force,Estonia,2019,15.5
Females,Persons outside the labour force,Estonia,2020,12.7
Females,Persons outside the labour force,Estonia,2021,15.5
Females,Persons outside the labour force,Estonia,2022,14.2
Females,Persons outside the labour force,Estonia,2023,13.6
Females,Persons outside the labour force,Estonia,2024,14.7
Females,Persons outside the labour force,Greece,2014,100.3
Females,Persons outside the labour force,Greece,2015,91.9
Females,Persons outside the labour force,Greece,2016,84.7
Females,Persons outside the labour force,Greece,2017,84.2
Females,Persons outside the labour force,Greece,2018,86.2
Females,Persons outside the labour force,Greece,2019,91.0
Females,Persons outside the labour force,Greece,2020,80.7
Females,Persons outside the labour force,Greece,2021,73.0
Females,Persons outside the labour force,Greece,2022,61.2
Females,Persons outside the labour force,Greece,2023,67.5
Females,Persons outside the labour force,Greece,2024,62.8
Females,Persons outside the labour force,Spain,2014,538.3
Females,Persons outside the labour force,Spain,2015,519.1
Females,Persons outside the labour force,Spain,2016,539.3
Females,Persons outside the labour force,Spain,2017,563.0
Females,Persons outside the labour force,Spain,2018,607.5
Females,Persons outside the labour force,Spain,2019,652.4
Females,Persons outside the labour force,Spain,2020,712.7
Females,Persons outside the labour force,Spain,2021,695.0
Females,Persons outside the labour force,Spain,2022,747.2
Females,Persons outside the labour force,Spain,2023,803.2
Females,Persons outside the labour force,Spain,2024,866.3
Females,Persons outside the labour force,Finland,2014,24.9
Females,Persons outside the labour force,Finland,2015,27.4
Females,Persons outside the labour force,Finland,2016,28.1
Females,Persons outside the labour force,Finland,2017,27.8
Females,Persons outside the labour force,Finland,2018,27.3
Females,Persons outside the labour force,Finland,2019,27.7
Females,Persons outside the labour force,Finland,2020,25.8
Females,Persons outside the labour force,Finland,2021,32.6
Females,Persons outside the labour force,Finland,2022,29.9
Females,Persons outside the labour force,Finland,2023,34.7
Females,Persons outside the labour force,Finland,2024,44.8
Females,Persons outside the labour force,France,2014,640.3
Females,Persons outside the labour force,France,2015,679.8
Females,Persons outside the labour force,France,2016,701.8
Females,Persons outside the labour force,France,2017,738.7
Females,Persons outside the labour force,France,2018,724.3
Females,Persons outside the labour force,France,2019,753.2
Females,Persons outside the labour force,France,2020,732.6
Females,Persons outside the labour force,France,2021,715.6
Females,Persons outside the labour force,France,2022,761.8
Females,Persons outside the labour force,France,2023,758.5
Females,Persons outside the labour force,France,2024,764.3
Females,Persons outside the labour force,Croatia,2014,1.9
Females,Persons outside the labour force,Croatia,2015,2.7
Females,Persons outside the labour force,Croatia,2016,2.5
Females,Persons outside the labour force,Croatia,2017,2.7
Females,Persons outside the labour force,Croatia,2018,2.7
Females,Persons outside the labour force,Croatia,2019,1.8
Females,Persons outside the labour force,Croatia,2020,2.0
Females,Persons outside the labour force,Croatia,2021,2.1
Females,Persons outside the labour force,Croatia,2022,1.8
Females,Persons outside the labour force,Croatia,2023,3.5
Females,Persons outside the labour force,Croatia,2024,3.8
Females,Persons outside the labour force,Hungary,2014,6.8
Females,Persons outside the labour force,Hungary,2015,6.5
Females,Persons outside the labour force,Hungary,2016,7.3
Females,Persons outside the labour force,Hungary,2017,6.2
Females,Persons outside the labour force,Hungary,2018,8.2
Females,Persons outside the labour force,Hungary,2019,6.4
Females,Persons outside the labour force,Hungary,2020,7.3
Females,Persons outside the labour force,Hungary,2021,6.7
Females,Persons outside the labour force,Hungary,2022,7.6
Females,Persons outside the labour force,Hungary,2023,14.1
Females,Persons outside the labour force,Hungary,2024,11.4
Females,Persons outside the labour force,Ireland,2014,74.5
Females,Persons outside the labour force,Ireland,2015,80.1
Females,Persons outside the labour force,Ireland,2016,76.6
Females,Persons outside the labour force,Ireland,2017,76.8
Females,Persons outside the labour force,Ireland,2018,74.4
Females,Persons outside the labour force,Ireland,2019,80.1
Females,Persons outside the labour force,Ireland,2020,90.3
Females,Persons outside the labour force,Ireland,2021,80.5
Females,Persons outside the labour force,Ireland,2022,74.6
Females,Persons outside the labour force,Ireland,2023,80.4
Females,Persons outside the labour force,Ireland,2024,79.5
Females,Persons outside the labour force,Iceland,2014,0.6
Females,Persons outside the labour force,Iceland,2015,0.7
Females,Persons outside the labour force,Iceland,2016,0.6
Females,Persons outside the labour force,Iceland,2018,0.7
Females,Persons outside the labour force,Iceland,2019,0.7
Females,Persons outside the labour force,Iceland,2020,0.7
Females,Persons outside the labour force,Iceland,2021,1.6
Females,Persons outside the labour force,Iceland,2022,1.3
Females,Persons outside the labour force,Iceland,2023,2.1
Females,Persons outside the labour force,Iceland,2024,2.0
Females,Persons outside the labour force,Italy,2014,811.6
Females,Persons outside the labour force,Italy,2015,839.6
Females,Persons outside the labour force,Italy,2016,852.3
Females,Persons outside the labour force,Italy,2017,835.2
Females,Persons outside the labour force,Italy,2018,798.7
Females,Persons outside the labour force,Italy,2019,826.9
Females,Persons outside the labour force,Italy,2020,960.3
Females,Persons outside the labour force,Italy,2021,904.7
Females,Persons outside the labour force,Italy,2022,882.3
Females,Persons outside the labour force,Italy,2023,848.3
Females,Persons outside the labour force,Italy,2024,883.2
Females,Persons outside the labour force,Lithuania,2015,2.2
Females,Persons outside the labour force,Lithuania,2016,1.9
Females,Persons outside the labour force,Lithuania,2017,1.4
Females,Persons outside the labour force,Lithuania,2018,1.9
Females,Persons outside the labour force,Lithuania,2019,2.1
Females,Persons outside the labour force,Lithuania,2020,2.4
Females,Persons outside the labour force,Lithuania,2021,2.5
Females,Persons outside the labour force,Lithuania,2022,3.2
Females,Persons outside the labour force,Lithuania,2023,3.3
Females,Persons outside the labour force,Lithuania,2024,5.9
Females,Persons outside the labour force,Luxembourg,2014,26.7
Females,Persons outside the labour force,Luxembourg,2015,29.1
Females,Persons outside the labour force,Luxembourg,2016,31.0
Females,Persons outside the labour force,Luxembourg,2017,30.7
Females,Persons outside the labour force,Luxembourg,2018,29.1
Females,Persons outside the labour force,Luxembourg,2019,30.1
Females,Persons outside the labour force,Luxembourg,2020,29.6
Females,Persons outside the labour force,Luxembourg,2021,28.4
Females,Persons outside the labour force,Luxembourg,2022,27.7
Females,Persons outside the labour force,Luxembourg,2023,28.3
Females,Persons outside the labour force,Luxembourg,2024,27.5
Females,Persons outside the labour force,Latvia,2014,28.3
Females,Persons outside the labour force,Latvia,2015,26.6
Females,Persons outside the labour force,Latvia,2016,27.3
Females,Persons outside the labour force,Latvia,2017,26.4
Females,Persons outside the labour force,Latvia,2018,25.3
Females,Persons outside the labour force,Latvia,2019,23.0
Females,Persons outside the labour force,Latvia,2020,19.7
Females,Persons outside the labour force,Latvia,2021,21.6
Females,Persons outside the labour force,Latvia,2022,19.5
Females,Persons outside the labour force,Latvia,2023,17.6
Females,Persons outside the labour force,Latvia,2024,16.8
Females,Persons outside the labour force,Montenegro,2014,4.5
Females,Persons outside the labour force,Montenegro,2015,4.5
Females,Persons outside the labour force,Montenegro,2016,5.1
Females,Persons outside the labour force,Montenegro,2017,3.9
Females,Persons outside the labour force,Montenegro,2018,3.9
Females,Persons outside the labour force,Montenegro,2019,2.8
Females,Persons outside the labour force,Montenegro,2020,4.3
Females,Persons outside the labour force,North Macedonia,2014,1.3
Females,Persons outside the labour force,North Macedonia,2015,1.7
Females,Persons outside the labour force,North Macedonia,2016,1.4
Females,Persons outside the labour force,North Macedonia,2017,1.0
Females,Persons outside the labour force,North Macedonia,2018,1.1
Females,Persons outside the labour force,North Macedonia,2019,1.3
Females,Persons outside the labour force,North Macedonia,2020,1.3
Females,Persons outside the labour force,Malta,2014,2.2
Females,Persons outside the labour force,Malta,2015,4.2
Females,Persons outside the labour force,Malta,2016,3.1
Females,Persons outside the labour force,Malta,2017,6.7
Females,Persons outside the labour force,Malta,2018,9.4
Females,Persons outside the labour force,Malta,2019,13.3
Females,Persons outside the labour force,Malta,2020,14.2
Females,Persons outside the labour force,Malta,2021,13.5
Females,Persons outside the labour force,Malta,2022,10.6
Females,Persons outside the labour force,Malta,2023,10.3
Females,Persons outside the labour force,Malta,2024,10.4
Females,Persons outside the labour force,Netherlands,2014,109.8
Females,Persons outside the labour force,Netherlands,2015,119.3
Females,Persons outside the labour force,Netherlands,2016,114.8
Females,Persons outside the labour force,Netherlands,2017,125.3
Females,Persons outside the labour force,Netherlands,2018,131.8
Females,Persons outside the labour force,Netherlands,2019,132.7
Females,Persons outside the labour force,Netherlands,2020,136.6
Females,Persons outside the labour force,Netherlands,2021,128.2
Females,Persons outside the labour force,Netherlands,2022,109.6
Females,Persons outside the labour force,Netherlands,2023,111.1
Females,Persons outside the labour force,Netherlands,2024,115.3
Females,Persons outside the labour force,Norway,2014,37.6
Females,Persons outside the labour force,Norway,2015,39.9
Females,Persons outside the labour force,Norway,2016,39.7
Females,Persons outside the labour force,Norway,2017,44.0
Females,Persons outside the labour force,Norway,2018,57.1
Females,Persons outside the labour force,Norway,2019,60.0
Females,Persons outside the labour force,Norway,2020,59.8
Females,Persons outside the labour force,Norway,2021,49.7
Females,Persons outside the labour force,Norway,2022,48.3
Females,Persons outside the labour force,Norway,2023,50.3
Females,Persons outside the labour force,Norway,2024,51.0
Females,Persons outside the labour force,Poland,2014,6.4
Females,Persons outside the labour force,Poland,2015,14.6
Females,Persons outside the labour force,Poland,2016,15.2
Females,Persons outside the labour force,Poland,2017,14.3
Females,Persons outside the labour force,Poland,2018,16.8
Females,Persons outside the labour force,Poland,2019,19.9
