year,geo,Refugees,Refugees_change,Refugees_arrived
2012,Denmark,11797,-1589.0,0.0
2013,Denmark,13153,1356.0,1356.0
2014,Denmark,17767,4614.0,4614.0
2015,Denmark,27312,9545.0,9545.0
2016,Denmark,33501,6189.0,6189.0
2017,Denmark,35668,2167.0,2167.0
2018,Denmark,36623,955.0,955.0
2019,Denmark,37533,910.0,910.0
2020,Denmark,36643,-890.0,0.0
2021,Denmark,36023,-620.0,0.0
2022,Denmark,67772,31749.0,31749.0
2023,Denmark,68912,1140.0,1140.0
2024,Denmark,64388,-4524.0,0.0
2008,Estonia,16,,
2009,Estonia,16,0.0,0.0
2010,Estonia,31,15.0,15.0
2011,Estonia,34,3.0,3.0
2012,Estonia,48,14.0,14.0
2013,Estonia,52,4.0,4.0
2014,Estonia,82,30.0,30.0
2015,Estonia,158,76.0,76.0
2016,Estonia,312,154.0,154.0
2017,Estonia,405,93.0,93.0
2018,Estonia,319,-86.0,0.0
2019,Estonia,331,12.0,12.0
2020,Estonia,277,-54.0,0.0
2021,Estonia,321,44.0,44.0
2022,Estonia,40806,40485.0,40485.0
2023,Estonia,42005,1199.0,1199.0
2024,Estonia,40442,-1563.0,0.0
2008,Finland,6621,,
2009,Finland,7448,827.0,827.0
2010,Finland,8721,1273.0,1273.0
2011,Finland,9170,449.0,449.0
2012,Finland,9910,740.0,740.0
2013,Finland,11242,1332.0,1332.0
2014,Finland,11783,541.0,541.0
2015,Finland,12692,909.0,909.0
2016,Finland,18402,5710.0,5710.0
2017,Finland,20793,2391.0,2391.0
2018,Finland,22287,1494.0,1494.0
2019,Finland,23458,1171.0,1171.0
2020,Finland,23428,-30.0,0.0
2021,Finland,24078,650.0,650.0
2022,Finland,69553,45475.0,45475.0
2023,Finland,89869,20316.0,20316.0
2024,Finland,87691,-2178.0,0.0
2008,France,171206,,
2009,France,196364,25158.0,25158.0
2010,France,200687,4323.0,4323.0
2011,France,210207,9520.0,9520.0
2012,France,217865,7658.0,7658.0
2013,France,232487,14622.0,14622.0
2014,France,252248,19761.0,19761.0
2015,France,273117,20869.0,20869.0
2016,France,304527,31410.0,31410.0
2017,France,337158,32631.0,32631.0
2018,France,368345,31187.0,31187.0
2019,France,407915,39570.0,39570.0
2020,France,436055,28140.0,28140.0
2021,France,499914,63859.0,63859.0
2022,France,612934,113020.0,113020.0
2023,France,664366,51432.0,51432.0
2024,France,689273,24907.0,24907.0
2008,Germany,582719,,
2009,Germany,593787,11068.0,11068.0
2010,Germany,594250,463.0,463.0
2011,Germany,571672,-22578.0,0.0
2012,Germany,589735,18063.0,18063.0
2013,Germany,187545,-402190.0,0.0
2014,Germany,216956,29411.0,29411.0
2015,Germany,316098,99142.0,99142.0
2016,Germany,669468,353370.0,353370.0
2017,Germany,970357,300889.0,300889.0
2018,Germany,1063835,93478.0,93478.0
2019,Germany,1146682,82847.0,82847.0
2020,Germany,1210596,63914.0,63914.0
2021,Germany,1255694,45098.0,45098.0
2022,Germany,2075445,819751.0,819751.0
2023,Germany,2593007,517562.0,517562.0
2024,Germany,2667191,74184.0,74184.0
2008,Greece,2169,,
2009,Greece,1700,-469.0,0.0
2010,Greece,1443,-257.0,0.0
2011,Greece,1566,123.0,123.0
2012,Greece,2090,524.0,524.0
2013,Greece,3468,1378.0,1378.0
2014,Greece,10292,6824.0,6824.0
2015,Greece,24831,14539.0,14539.0
2016,Greece,46411,21580.0,21580.0
2017,Greece,38988,-7423.0,0.0
2018,Greece,61446,22458.0,22458.0
2019,Greece,80454,19008.0,19008.0
2020,Greece,103101,22647.0,22647.0
2021,Greece,119650,16549.0,16549.0
2022,Greece,160761,41111.0,41111.0
2023,Greece,192384,31623.0,31623.0
2024,Greece,214574,22190.0,22190.0
2008,Hungary,7740,,
2009,Hungary,6041,-1699.0,0.0
2010,Hungary,5400,-641.0,0.0
2011,Hungary,5085,-315.0,0.0
2012,Hungary,4034,-1051.0,0.0
2013,Hungary,2422,-1612.0,0.0
2014,Hungary,2854,432.0,432.0
2015,Hungary,4383,1529.0,1529.0
2016,Hungary,4736,353.0,353.0
2017,Hungary,5671,935.0,935.0
2018,Hungary,6019,348.0,348.0
2019,Hungary,5750,-269.0,0.0
2020,Hungary,5838,88.0,88.0
2021,Hungary,5676,-162.0,0.0
2022,Hungary,35370,29694.0,29694.0
2023,Hungary,63180,27810.0,27810.0
2024,Hungary,68459,5279.0,5279.0
2008,Ireland,9714,,
2009,Ireland,9561,-153.0,0.0
2010,Ireland,9099,-462.0,0.0
2011,Ireland,8234,-865.0,0.0
2012,Ireland,6309,-1925.0,0.0
2013,Ireland,5991,-318.0,0.0
2014,Ireland,5832,-159.0,0.0
2015,Ireland,6108,276.0,276.0
2016,Ireland,5720,-388.0,0.0
2017,Ireland,6394,674.0,674.0
2018,Ireland,6012,-382.0,0.0
2019,Ireland,7795,1783.0,1783.0
2020,Ireland,9035,1240.0,1240.0
2021,Ireland,9571,536.0,536.0
2022,Ireland,81256,71685.0,71685.0
2023,Ireland,113902,32646.0,32646.0
2024,Ireland,120835,6933.0,6933.0
2008,Italy,47059,,
2009,Italy,54962,7903.0,7903.0
2010,Italy,56402,1440.0,1440.0
2011,Italy,58066,1664.0,1664.0
2012,Italy,64782,6716.0,6716.0
2013,Italy,76248,11466.0,11466.0
2014,Italy,93712,17464.0,17464.0
2015,Italy,118036,24324.0,24324.0
2016,Italy,147362,29326.0,29326.0
2017,Italy,167330,19968.0,19968.0
2018,Italy,189227,21897.0,21897.0
2019,Italy,207602,18375.0,18375.0
2020,Italy,128033,-79569.0,0.0
2021,Italy,144862,16829.0,16829.0
2022,Italy,296181,151319.0,151319.0
2023,Italy,298296,2115.0,2115.0
2024,Italy,306908,8612.0,8612.0
2008,Latvia,27,,
2009,Latvia,40,13.0,13.0
2010,Latvia,60,20.0,20.0
2011,Latvia,88,28.0,28.0
2012,Latvia,113,25.0,25.0
2013,Latvia,149,36.0,36.0
2014,Latvia,168,19.0,19.0
2015,Latvia,193,25.0,25.0
2016,Latvia,340,147.0,147.0
2017,Latvia,653,313.0,313.0
2018,Latvia,664,11.0,11.0
2019,Latvia,665,1.0,1.0
2020,Latvia,637,-28.0,0.0
2021,Latvia,705,68.0,68.0
2022,Latvia,39055,38350.0,38350.0
2023,Latvia,45761,6706.0,6706.0
2024,Latvia,46615,854.0,854.0
2008,Lithuania,749,,
2009,Lithuania,790,41.0,41.0
2010,Lithuania,808,18.0,18.0
2011,Lithuania,824,16.0,16.0
2012,Lithuania,871,47.0,47.0
2013,Lithuania,918,47.0,47.0
2014,Lithuania,1007,89.0,89.0
2015,Lithuania,1094,87.0,87.0
2016,Lithuania,1284,190.0,190.0
2017,Lithuania,1577,293.0,293.0
2018,Lithuania,1731,154.0,154.0
2019,Lithuania,1822,91.0,91.0
2020,Lithuania,1880,58.0,58.0
2021,Lithuania,1880,0.0,0.0
2022,Lithuania,67638,65758.0,65758.0
2023,Lithuania,80225,12587.0,12587.0
2024,Lithuania,46861,-33364.0,0.0
2008,Luxembourg,3109,,
2009,Luxembourg,3230,121.0,121.0
2010,Luxembourg,3254,24.0,24.0
2011,Luxembourg,2855,-399.0,0.0
2012,Luxembourg,2910,55.0,55.0
2013,Luxembourg,901,-2009.0,0.0
2014,Luxembourg,1091,190.0,190.0
2015,Luxembourg,1306,215.0,215.0
2016,Luxembourg,2020,714.0,714.0
2017,Luxembourg,2020,0.0,0.0
2018,Luxembourg,2020,0.0,0.0
2019,Luxembourg,2548,528.0,528.0
2020,Luxembourg,5158,2610.0,2610.0
2021,Luxembourg,6011,853.0,853.0
2022,Luxembourg,11952,5941.0,5941.0
2023,Luxembourg,13735,1783.0,1783.0
2024,Luxembourg,10262,-3473.0,0.0
2008,Malta,4329,,
2009,Malta,5951,1622.0,1622.0
2010,Malta,6143,192.0,192.0
2011,Malta,6948,805.0,805.0
2012,Malta,8242,1294.0,1294.0
2013,Malta,9900,1658.0,1658.0
2014,Malta,6095,-3805.0,0.0
2015,Malta,7068,973.0,973.0
2016,Malta,7941,873.0,873.0
2017,Malta,7994,53.0,53.0
2018,Malta,8579,585.0,585.0
2019,Malta,8908,329.0,329.0
2020,Malta,9168,260.0,260.0
2021,Malta,9335,167.0,167.0
2022,Malta,11098,1763.0,1763.0
2023,Malta,11724,626.0,626.0
2024,Malta,8732,-2992.0,0.0
2008,Netherlands,77589,,
2009,Netherlands,75996,-1593.0,0.0
2010,Netherlands,74948,-1048.0,0.0
2011,Netherlands,74587,-361.0,0.0
2012,Netherlands,71893,-2694.0,0.0
2013,Netherlands,74700,2807.0,2807.0
2014,Netherlands,82483,7783.0,7783.0
2015,Netherlands,88518,6035.0,6035.0
2016,Netherlands,101727,13209.0,13209.0
2017,Netherlands,103843,2116.0,2116.0
2018,Netherlands,101824,-2019.0,0.0
2019,Netherlands,94417,-7407.0,0.0
2020,Netherlands,95897,1480.0,1480.0
2021,Netherlands,99585,3688.0,3688.0
2022,Netherlands,237368,137783.0,137783.0
2023,Netherlands,237767,399.0,399.0
2024,Netherlands,255455,17688.0,17688.0
2008,Poland,12761,,
2009,Poland,15299,2538.0,2538.0
2010,Poland,15537,238.0,238.0
2011,Poland,15834,297.0,297.0
2012,Poland,15897,63.0,63.0
2013,Poland,16428,531.0,531.0
2014,Poland,15730,-698.0,0.0
2015,Poland,14057,-1673.0,0.0
2016,Poland,11738,-2319.0,0.0
2017,Poland,12225,487.0,487.0
2018,Poland,12495,270.0,270.0
2019,Poland,12658,163.0,163.0
2020,Poland,2771,-9887.0,0.0
2021,Poland,4875,2104.0,2104.0
2022,Poland,971129,966254.0,966254.0
2023,Poland,971478,349.0,349.0
2024,Poland,980034,8556.0,8556.0
2008,Romania,1586,,
2009,Romania,1065,-521.0,0.0
2010,Romania,1019,-46.0,0.0
2011,Romania,1003,-16.0,0.0
2012,Romania,1263,260.0,260.0
2013,Romania,1747,484.0,484.0
2014,Romania,2171,424.0,424.0
2015,Romania,2581,410.0,410.0
2016,Romania,2880,299.0,299.0
2017,Romania,3911,1031.0,1031.0
2018,Romania,4134,223.0,223.0
2019,Romania,3860,-274.0,0.0
2020,Romania,3581,-279.0,0.0
2021,Romania,4200,619.0,619.0
2022,Romania,105621,101421.0,101421.0
2023,Romania,87487,-18134.0,0.0
2024,Romania,166849,79362.0,79362.0
2008,Slovenia,257,,
2009,Slovenia,281,24.0,24.0
2010,Slovenia,315,34.0,34.0
2011,Slovenia,134,-181.0,0.0
2012,Slovenia,169,35.0,35.0
2013,Slovenia,202,33.0,33.0
2014,Slovenia,251,49.0,49.0
2015,Slovenia,284,33.0,33.0
2016,Slovenia,454,170.0,170.0
2017,Slovenia,611,157.0,157.0
2018,Slovenia,746,135.0,135.0
2019,Slovenia,741,-5.0,0.0
2020,Slovenia,823,82.0,82.0
2021,Slovenia,839,16.0,16.0
2022,Slovenia,8705,7866.0,7866.0
2023,Slovenia,10525,1820.0,1820.0
2024,Slovenia,11439,914.0,914.0
2008,Spain,4649,,
2009,Spain,3960,-689.0,0.0
2010,Spain,3814,-146.0,0.0
2011,Spain,4220,406.0,406.0
2012,Spain,4502,282.0,282.0
2013,Spain,4641,139.0,139.0
2014,Spain,5797,1156.0,1156.0
2015,Spain,6447,650.0,650.0
2016,Spain,12983,6536.0,6536.0
2017,Spain,17541,4558.0,4558.0
2018,Spain,20437,2896.0,2896.0
2019,Spain,57751,37314.0,37314.0
2020,Spain,103624,45873.0,45873.0
2021,Spain,122539,18915.0,18915.0
2022,Spain,314490,191951.0,191951.0
2023,Spain,385701,71211.0,71211.0
2024,Spain,423004,37303.0,37303.0
2008,Sweden,77016,,
2009,Sweden,81346,4330.0,4330.0
2010,Sweden,82620,1274.0,1274.0
2011,Sweden,86603,3983.0,3983.0
2012,Sweden,92869,6266.0,6266.0
2013,Sweden,114172,21303.0,21303.0
2014,Sweden,142197,28025.0,28025.0
2015,Sweden,169516,27319.0,27319.0
2016,Sweden,230158,60642.0,60642.0
2017,Sweden,240954,10796.0,10796.0
2018,Sweden,248210,7256.0,7256.0
2019,Sweden,253787,5577.0,5577.0
2020,Sweden,248372,-5415.0,0.0
2021,Sweden,240854,-7518.0,0.0
2022,Sweden,277726,36872.0,36872.0
2023,Sweden,237632,-40094.0,0.0
2024,Sweden,223204,-14428.0,0.0
