sex,citizen,geo,year,Number per 1000 people
Females,EU27 countries (from 2020) except reporting country,Germany,2023,57.4
Females,EU27 countries (from 2020) except reporting country,Denmark,2014,5.3
Females,EU27 countries (from 2020) except reporting country,Denmark,2015,5.1
Females,EU27 countries (from 2020) except reporting country,Denmark,2016,4.8
Females,EU27 countries (from 2020) except reporting country,Denmark,2017,4.0
Females,EU27 countries (from 2020) except reporting country,Denmark,2018,5.7
Females,EU27 countries (from 2020) except reporting country,Denmark,2019,3.5
Females,EU27 countries (from 2020) except reporting country,Denmark,2020,3.6
Females,EU27 countries (from 2020) except reporting country,Denmark,2021,3.2
Females,EU27 countries (from 2020) except reporting country,Denmark,2022,4.0
Females,EU27 countries (from 2020) except reporting country,Denmark,2023,3.9
Females,EU27 countries (from 2020) except reporting country,Greece,2014,10.9
Females,EU27 countries (from 2020) except reporting country,Greece,2015,8.6
Females,EU27 countries (from 2020) except reporting country,Greece,2016,10.0
Females,EU27 countries (from 2020) except reporting country,Greece,2017,7.7
Females,EU27 countries (from 2020) except reporting country,Greece,2018,6.8
Females,EU27 countries (from 2020) except reporting country,Greece,2019,7.2
Females,EU27 countries (from 2020) except reporting country,Greece,2020,8.7
Females,EU27 countries (from 2020) except reporting country,Greece,2021,6.5
Females,EU27 countries (from 2020) except reporting country,Greece,2022,5.0
Females,EU27 countries (from 2020) except reporting country,Greece,2023,2.5
Females,EU27 countries (from 2020) except reporting country,Spain,2014,144.8
Females,EU27 countries (from 2020) except reporting country,Spain,2015,125.8
Females,EU27 countries (from 2020) except reporting country,Spain,2016,115.6
Females,EU27 countries (from 2020) except reporting country,Spain,2017,101.9
Females,EU27 countries (from 2020) except reporting country,Spain,2018,94.9
Females,EU27 countries (from 2020) except reporting country,Spain,2019,90.1
Females,EU27 countries (from 2020) except reporting country,Spain,2020,114.1
Females,EU27 countries (from 2020) except reporting country,Spain,2021,103.4
Females,EU27 countries (from 2020) except reporting country,Spain,2022,94.5
Females,EU27 countries (from 2020) except reporting country,Spain,2023,80.6
Females,EU27 countries (from 2020) except reporting country,Finland,2014,2.5
Females,EU27 countries (from 2020) except reporting country,Finland,2015,2.6
Females,EU27 countries (from 2020) except reporting country,Finland,2016,2.4
Females,EU27 countries (from 2020) except reporting country,Finland,2018,2.5
Females,EU27 countries (from 2020) except reporting country,Finland,2021,4.5
Females,EU27 countries (from 2020) except reporting country,Finland,2022,3.4
Females,EU27 countries (from 2020) except reporting country,Finland,2023,3.5
Females,EU27 countries (from 2020) except reporting country,France,2014,34.6
Females,EU27 countries (from 2020) except reporting country,France,2015,35.8
Females,EU27 countries (from 2020) except reporting country,France,2016,32.1
Females,EU27 countries (from 2020) except reporting country,France,2017,26.7
Females,EU27 countries (from 2020) except reporting country,France,2018,31.8
Females,EU27 countries (from 2020) except reporting country,France,2019,28.3
Females,EU27 countries (from 2020) except reporting country,France,2020,22.7
Females,EU27 countries (from 2020) except reporting country,France,2021,27.4
Females,EU27 countries (from 2020) except reporting country,France,2022,27.2
Females,EU27 countries (from 2020) except reporting country,France,2023,22.5
Females,EU27 countries (from 2020) except reporting country,Ireland,2014,12.0
Females,EU27 countries (from 2020) except reporting country,Ireland,2015,9.4
Females,EU27 countries (from 2020) except reporting country,Ireland,2016,9.2
Females,EU27 countries (from 2020) except reporting country,Ireland,2017,7.5
Females,EU27 countries (from 2020) except reporting country,Ireland,2018,8.6
Females,EU27 countries (from 2020) except reporting country,Ireland,2019,6.0
Females,EU27 countries (from 2020) except reporting country,Ireland,2020,7.8
Females,EU27 countries (from 2020) except reporting country,Ireland,2021,8.3
Females,EU27 countries (from 2020) except reporting country,Ireland,2022,6.3
Females,EU27 countries (from 2020) except reporting country,Ireland,2023,6.2
Females,EU27 countries (from 2020) except reporting country,Iceland,2021,1.0
Females,EU27 countries (from 2020) except reporting country,Iceland,2022,0.5
Females,EU27 countries (from 2020) except reporting country,Italy,2014,76.8
Females,EU27 countries (from 2020) except reporting country,Italy,2015,78.5
Females,EU27 countries (from 2020) except reporting country,Italy,2016,74.7
Females,EU27 countries (from 2020) except reporting country,Italy,2017,70.8
Females,EU27 countries (from 2020) except reporting country,Italy,2018,72.3
Females,EU27 countries (from 2020) except reporting country,Italy,2019,74.8
Females,EU27 countries (from 2020) except reporting country,Italy,2020,62.5
Females,EU27 countries (from 2020) except reporting country,Italy,2021,70.7
Females,EU27 countries (from 2020) except reporting country,Italy,2022,66.8
Females,EU27 countries (from 2020) except reporting country,Italy,2023,60.5
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2014,4.0
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2015,5.5
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2016,5.0
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2017,3.4
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2018,3.7
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2019,4.1
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2020,4.7
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2021,3.8
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2022,3.0
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2023,3.0
Females,EU27 countries (from 2020) except reporting country,Malta,2018,0.4
Females,EU27 countries (from 2020) except reporting country,Malta,2020,0.8
Females,EU27 countries (from 2020) except reporting country,Malta,2021,0.6
Females,EU27 countries (from 2020) except reporting country,Malta,2022,0.7
Females,EU27 countries (from 2020) except reporting country,Netherlands,2014,8.8
Females,EU27 countries (from 2020) except reporting country,Netherlands,2015,11.1
Females,EU27 countries (from 2020) except reporting country,Netherlands,2016,7.5
Females,EU27 countries (from 2020) except reporting country,Netherlands,2017,6.3
Females,EU27 countries (from 2020) except reporting country,Netherlands,2018,7.6
Females,EU27 countries (from 2020) except reporting country,Netherlands,2019,6.4
Females,EU27 countries (from 2020) except reporting country,Netherlands,2020,6.2
Females,EU27 countries (from 2020) except reporting country,Netherlands,2021,10.6
Females,EU27 countries (from 2020) except reporting country,Netherlands,2022,6.5
Females,EU27 countries (from 2020) except reporting country,Netherlands,2023,11.0
Females,EU27 countries (from 2020) except reporting country,Norway,2014,3.3
Females,EU27 countries (from 2020) except reporting country,Norway,2015,5.0
Females,EU27 countries (from 2020) except reporting country,Norway,2016,4.0
Females,EU27 countries (from 2020) except reporting country,Norway,2018,6.9
Females,EU27 countries (from 2020) except reporting country,Norway,2020,8.4
Females,EU27 countries (from 2020) except reporting country,Norway,2021,5.7
Females,EU27 countries (from 2020) except reporting country,Norway,2023,5.5
Females,EU27 countries (from 2020) except reporting country,Sweden,2014,7.3
Females,EU27 countries (from 2020) except reporting country,Sweden,2015,7.1
Females,EU27 countries (from 2020) except reporting country,Sweden,2016,5.1
Females,EU27 countries (from 2020) except reporting country,Sweden,2017,5.9
Females,EU27 countries (from 2020) except reporting country,Sweden,2018,3.5
Females,EU27 countries (from 2020) except reporting country,Sweden,2019,5.5
Females,EU27 countries (from 2020) except reporting country,Sweden,2020,9.0
Females,EU27 countries (from 2020) except reporting country,Sweden,2021,9.3
Females,EU27 countries (from 2020) except reporting country,Sweden,2022,6.6
Females,EU27 countries (from 2020) except reporting country,Sweden,2023,6.4
Females,EU27 countries (from 2020) except reporting country,Slovenia,2020,0.6
Females,EU27 countries (from 2020) except reporting country,United Kingdom,2014,57.1
Females,EU27 countries (from 2020) except reporting country,United Kingdom,2015,57.5
Females,EU27 countries (from 2020) except reporting country,United Kingdom,2016,60.2
Females,EU27 countries (from 2020) except reporting country,United Kingdom,2017,63.1
Females,EU27 countries (from 2020) except reporting country,United Kingdom,2018,45.2
Females,EU27 countries (from 2020) except reporting country,United Kingdom,2019,43.5
Females,Foreign country,Austria,2014,27.9
Females,Foreign country,Austria,2015,29.5
Females,Foreign country,Austria,2016,35.7
Females,Foreign country,Austria,2017,33.8
Females,Foreign country,Austria,2018,32.6
Females,Foreign country,Austria,2019,32.2
Females,Foreign country,Austria,2020,42.2
Females,Foreign country,Austria,2021,46.5
Females,Foreign country,Austria,2022,40.1
Females,Foreign country,Austria,2023,43.9
Females,Foreign country,Belgium,2014,35.0
Females,Foreign country,Belgium,2015,33.8
Females,Foreign country,Belgium,2016,34.4
Females,Foreign country,Belgium,2017,34.9
Females,Foreign country,Belgium,2018,26.4
Females,Foreign country,Belgium,2019,27.0
Females,Foreign country,Belgium,2020,24.8
Females,Foreign country,Belgium,2021,33.3
Females,Foreign country,Belgium,2022,28.9
Females,Foreign country,Belgium,2023,25.0
Females,Foreign country,Switzerland,2014,48.2
Females,Foreign country,Switzerland,2015,48.3
Females,Foreign country,Switzerland,2016,49.2
Females,Foreign country,Switzerland,2017,53.0
Females,Foreign country,Switzerland,2018,54.5
Females,Foreign country,Switzerland,2019,48.9
Females,Foreign country,Switzerland,2020,52.9
Females,Foreign country,Switzerland,2021,58.1
Females,Foreign country,Switzerland,2022,48.2
Females,Foreign country,Switzerland,2023,46.8
Females,Foreign country,Cyprus,2014,5.0
Females,Foreign country,Cyprus,2015,5.7
Females,Foreign country,Cyprus,2016,4.7
Females,Foreign country,Cyprus,2017,3.9
Females,Foreign country,Cyprus,2018,3.2
Females,Foreign country,Cyprus,2019,2.7
Females,Foreign country,Cyprus,2020,4.1
Females,Foreign country,Cyprus,2021,4.2
Females,Foreign country,Cyprus,2022,4.0
Females,Foreign country,Cyprus,2023,4.1
Females,Foreign country,Czechia,2014,3.3
Females,Foreign country,Czechia,2015,2.7
Females,Foreign country,Czechia,2016,2.3
Females,Foreign country,Czechia,2017,2.2
Females,Foreign country,Czechia,2018,1.7
Females,Foreign country,Czechia,2019,2.7
Females,Foreign country,Czechia,2020,2.4
Females,Foreign country,Czechia,2021,2.8
Females,Foreign country,Czechia,2022,2.4
Females,Foreign country,Czechia,2023,4.5
Females,Foreign country,Germany,2014,151.2
Females,Foreign country,Germany,2015,158.4
Females,Foreign country,Germany,2016,153.1
Females,Foreign country,Germany,2017,143.1
Females,Foreign country,Germany,2018,140.6
Females,Foreign country,Germany,2019,141.4
Females,Foreign country,Germany,2020,191.1
Females,Foreign country,Germany,2021,162.1
Females,Foreign country,Germany,2022,168.5
Females,Foreign country,Germany,2023,189.5
Females,Foreign country,Denmark,2014,14.6
Females,Foreign country,Denmark,2015,15.9
Females,Foreign country,Denmark,2016,14.2
Females,Foreign country,Denmark,2017,11.5
Females,Foreign country,Denmark,2018,12.3
Females,Foreign country,Denmark,2019,9.4
Females,Foreign country,Denmark,2020,11.8
Females,Foreign country,Denmark,2021,10.3
Females,Foreign country,Denmark,2022,10.9
Females,Foreign country,Denmark,2023,11.4
Females,Foreign country,Estonia,2014,5.3
Females,Foreign country,Estonia,2015,4.3
Females,Foreign country,Estonia,2016,4.9
Females,Foreign country,Estonia,2017,3.7
Females,Foreign country,Estonia,2018,4.4
Females,Foreign country,Estonia,2019,4.1
Females,Foreign country,Estonia,2020,4.3
Females,Foreign country,Estonia,2021,4.9
Females,Foreign country,Estonia,2022,3.2
Females,Foreign country,Estonia,2023,6.6
Females,Foreign country,Greece,2014,56.3
Females,Foreign country,Greece,2015,49.2
Females,Foreign country,Greece,2016,46.5
Females,Foreign country,Greece,2017,41.1
Females,Foreign country,Greece,2018,42.7
Females,Foreign country,Greece,2019,45.8
Females,Foreign country,Greece,2020,44.2
Females,Foreign country,Greece,2021,33.9
Females,Foreign country,Greece,2022,26.3
Females,Foreign country,Greece,2023,21.2
Females,Foreign country,Spain,2014,450.7
Females,Foreign country,Spain,2015,400.9
Females,Foreign country,Spain,2016,362.7
Females,Foreign country,Spain,2017,330.8
Females,Foreign country,Spain,2018,315.2
Females,Foreign country,Spain,2019,316.8
Females,Foreign country,Spain,2020,418.0
Females,Foreign country,Spain,2021,403.6
Females,Foreign country,Spain,2022,360.2
Females,Foreign country,Spain,2023,357.3
Females,Foreign country,Finland,2014,6.7
Females,Foreign country,Finland,2015,7.8
Females,Foreign country,Finland,2016,8.9
Females,Foreign country,Finland,2017,7.0
Females,Foreign country,Finland,2018,8.4
Females,Foreign country,Finland,2019,5.8
Females,Foreign country,Finland,2020,6.7
Females,Foreign country,Finland,2021,10.7
Females,Foreign country,Finland,2022,8.8
Females,Foreign country,Finland,2023,14.8
Females,Foreign country,France,2014,156.1
Females,Foreign country,France,2015,155.1
Females,Foreign country,France,2016,163.0
Females,Foreign country,France,2017,167.1
Females,Foreign country,France,2018,160.3
Females,Foreign country,France,2019,144.4
Females,Foreign country,France,2020,140.6
Females,Foreign country,France,2021,144.6
Females,Foreign country,France,2022,144.0
Females,Foreign country,France,2023,143.1
Females,Foreign country,Ireland,2014,21.2
Females,Foreign country,Ireland,2015,16.6
Females,Foreign country,Ireland,2016,15.4
Females,Foreign country,Ireland,2017,12.6
Females,Foreign country,Ireland,2018,15.0
Females,Foreign country,Ireland,2019,11.5
Females,Foreign country,Ireland,2020,14.6
Females,Foreign country,Ireland,2021,15.6
Females,Foreign country,Ireland,2022,14.9
Females,Foreign country,Ireland,2023,15.3
Females,Foreign country,Iceland,2020,0.7
Females,Foreign country,Iceland,2021,1.5
Females,Foreign country,Iceland,2022,0.7
Females,Foreign country,Iceland,2023,0.6
Females,Foreign country,Italy,2014,227.6
Females,Foreign country,Italy,2015,227.4
Females,Foreign country,Italy,2016,224.8
Females,Foreign country,Italy,2017,212.0
Females,Foreign country,Italy,2018,203.1
Females,Foreign country,Italy,2019,201.5
Females,Foreign country,Italy,2020,169.0
Females,Foreign country,Italy,2021,198.7
Females,Foreign country,Italy,2022,176.9
Females,Foreign country,Italy,2023,160.1
Females,Foreign country,Luxembourg,2014,4.9
Females,Foreign country,Luxembourg,2015,6.5
Females,Foreign country,Luxembourg,2016,6.0
Females,Foreign country,Luxembourg,2017,5.1
Females,Foreign country,Luxembourg,2018,5.3
Females,Foreign country,Luxembourg,2019,5.4
Females,Foreign country,Luxembourg,2020,7.5
Females,Foreign country,Luxembourg,2021,5.8
Females,Foreign country,Luxembourg,2022,4.2
Females,Foreign country,Luxembourg,2023,4.7
Females,Foreign country,Latvia,2014,6.5
Females,Foreign country,Latvia,2015,6.9
Females,Foreign country,Latvia,2016,7.4
Females,Foreign country,Latvia,2017,4.7
Females,Foreign country,Latvia,2018,4.9
Females,Foreign country,Latvia,2019,3.2
Females,Foreign country,Latvia,2020,5.3
Females,Foreign country,Latvia,2021,5.3
Females,Foreign country,Latvia,2022,4.2
Females,Foreign country,Latvia,2023,2.6
Females,Foreign country,Malta,2015,0.4
Females,Foreign country,Malta,2017,0.5
Females,Foreign country,Malta,2018,1.1
Females,Foreign country,Malta,2019,2.6
Females,Foreign country,Malta,2020,2.7
Females,Foreign country,Malta,2021,1.9
Females,Foreign country,Malta,2022,1.9
Females,Foreign country,Malta,2023,2.0
Females,Foreign country,Netherlands,2014,23.0
Females,Foreign country,Netherlands,2015,26.0
Females,Foreign country,Netherlands,2016,20.6
Females,Foreign country,Netherlands,2017,16.5
Females,Foreign country,Netherlands,2018,17.8
Females,Foreign country,Netherlands,2019,17.0
Females,Foreign country,Netherlands,2020,19.2
Females,Foreign country,Netherlands,2021,26.8
Females,Foreign country,Netherlands,2022,17.7
Females,Foreign country,Netherlands,2023,24.4
Females,Foreign country,Norway,2014,8.2
Females,Foreign country,Norway,2015,12.5
Females,Foreign country,Norway,2016,11.0
Females,Foreign country,Norway,2017,10.8
Females,Foreign country,Norway,2018,14.0
Females,Foreign country,Norway,2019,9.8
Females,Foreign country,Norway,2020,15.4
Females,Foreign country,Norway,2021,14.0
Females,Foreign country,Norway,2022,9.3
Females,Foreign country,Norway,2023,13.0
Females,Foreign country,Portugal,2014,15.0
Females,Foreign country,Portugal,2015,15.7
Females,Foreign country,Portugal,2016,12.0
Females,Foreign country,Portugal,2017,10.0
Females,Foreign country,Portugal,2018,10.3
Females,Foreign country,Portugal,2019,13.4
Females,Foreign country,Portugal,2020,13.4
Females,Foreign country,Portugal,2021,7.3
Females,Foreign country,Portugal,2022,12.9
Females,Foreign country,Portugal,2023,24.3
Females,Foreign country,Serbia,2014,1.2
Females,Foreign country,Serbia,2023,1.3
Females,Foreign country,Sweden,2014,30.4
Females,Foreign country,Sweden,2015,32.0
Females,Foreign country,Sweden,2016,33.0
Females,Foreign country,Sweden,2017,38.4
Females,Foreign country,Sweden,2018,40.2
Females,Foreign country,Sweden,2019,45.2
Females,Foreign country,Sweden,2020,59.5
Females,Foreign country,Sweden,2021,61.3
Females,Foreign country,Sweden,2022,45.2
Females,Foreign country,Sweden,2023,49.5
Females,Foreign country,Slovenia,2014,3.4
Females,Foreign country,Slovenia,2015,3.2
Females,Foreign country,Slovenia,2016,3.7
Females,Foreign country,Slovenia,2017,2.8
Females,Foreign country,Slovenia,2018,2.5
Females,Foreign country,Slovenia,2019,2.3
Females,Foreign country,Slovenia,2020,3.3
Females,Foreign country,Slovenia,2021,3.2
Females,Foreign country,Slovenia,2022,2.7
Females,Foreign country,Slovenia,2023,2.7
Females,Foreign country,United Kingdom,2014,125.7
Females,Foreign country,United Kingdom,2015,116.0
Females,Foreign country,United Kingdom,2016,114.8
Females,Foreign country,United Kingdom,2017,120.5
Females,Foreign country,United Kingdom,2018,97.9
Females,Foreign country,United Kingdom,2019,95.8
Females,Reporting country,Austria,2014,81.7
Females,Reporting country,Austria,2015,79.0
Females,Reporting country,Austria,2016,80.4
Females,Reporting country,Austria,2017,71.9
Females,Reporting country,Austria,2018,65.8
Females,Reporting country,Austria,2019,60.4
Females,Reporting country,Austria,2020,68.9
Females,Reporting country,Austria,2021,83.5
Females,Reporting country,Austria,2022,59.1
Females,Reporting country,Austria,2023,63.1
Females,Reporting country,Bosnia and Herzegovina,2021,120.0
Females,Reporting country,Bosnia and Herzegovina,2022,105.3
Females,Reporting country,Bosnia and Herzegovina,2023,89.6
Females,Reporting country,Belgium,2014,146.1
Females,Reporting country,Belgium,2015,143.6
Females,Reporting country,Belgium,2016,138.4
Females,Reporting country,Belgium,2017,127.5
Females,Reporting country,Belgium,2018,104.6
Females,Reporting country,Belgium,2019,90.2
Females,Reporting country,Belgium,2020,102.2
Females,Reporting country,Belgium,2021,108.5
Females,Reporting country,Belgium,2022,101.2
Females,Reporting country,Belgium,2023,100.7
Females,Reporting country,Bulgaria,2014,163.0
Females,Reporting country,Bulgaria,2015,130.7
Females,Reporting country,Bulgaria,2016,105.4
Females,Reporting country,Bulgaria,2017,92.4
Females,Reporting country,Bulgaria,2018,71.4
Females,Reporting country,Bulgaria,2019,56.0
Females,Reporting country,Bulgaria,2020,66.8
Females,Reporting country,Bulgaria,2021,69.3
Females,Reporting country,Bulgaria,2022,56.3
Females,Reporting country,Bulgaria,2023,60.6
Females,Reporting country,Switzerland,2014,60.3
Females,Reporting country,Switzerland,2015,60.6
Females,Reporting country,Switzerland,2016,63.8
Females,Reporting country,Switzerland,2017,61.5
Females,Reporting country,Switzerland,2018,62.5
Females,Reporting country,Switzerland,2019,59.8
Females,Reporting country,Switzerland,2020,62.4
Females,Reporting country,Switzerland,2021,63.6
Females,Reporting country,Switzerland,2022,53.4
Females,Reporting country,Switzerland,2023,54.5
Females,Reporting country,Cyprus,2014,26.5
Females,Reporting country,Cyprus,2015,24.6
Females,Reporting country,Cyprus,2016,22.2
Females,Reporting country,Cyprus,2017,19.2
Females,Reporting country,Cyprus,2018,15.1
Females,Reporting country,Cyprus,2019,13.9
Females,Reporting country,Cyprus,2020,12.0
Females,Reporting country,Cyprus,2021,12.4
Females,Reporting country,Cyprus,2022,12.1
Females,Reporting country,Cyprus,2023,10.5
Females,Reporting country,Czechia,2014,168.9
Females,Reporting country,Czechia,2015,139.9
Females,Reporting country,Czechia,2016,108.5
Females,Reporting country,Czechia,2017,83.4
Females,Reporting country,Czechia,2018,66.0
Females,Reporting country,Czechia,2019,54.5
Females,Reporting country,Czechia,2020,67.8
Females,Reporting country,Czechia,2021,78.7
Females,Reporting country,Czechia,2022,62.7
Females,Reporting country,Czechia,2023,65.4
Females,Reporting country,Germany,2014,749.8
Females,Reporting country,Germany,2015,667.3
Females,Reporting country,Germany,2016,592.6
Females,Reporting country,Germany,2017,521.0
Females,Reporting country,Germany,2018,444.3
Females,Reporting country,Germany,2019,412.4
Females,Reporting country,Germany,2020,498.6
Females,Reporting country,Germany,2021,483.4
Females,Reporting country,Germany,2022,426.8
Females,Reporting country,Germany,2023,396.9
Females,Reporting country,Denmark,2014,81.8
Females,Reporting country,Denmark,2015,72.2
Females,Reporting country,Denmark,2016,74.0
Females,Reporting country,Denmark,2017,72.7
Females,Reporting country,Denmark,2018,62.1
Females,Reporting country,Denmark,2019,65.5
Females,Reporting country,Denmark,2020,73.3
Females,Reporting country,Denmark,2021,63.4
Females,Reporting country,Denmark,2022,55.5
Females,Reporting country,Denmark,2023,68.2
Females,Reporting country,Estonia,2014,17.0
Females,Reporting country,Estonia,2015,16.7
Females,Reporting country,Estonia,2016,15.7
Females,Reporting country,Estonia,2017,13.9
Females,Reporting country,Estonia,2018,13.4
Females,Reporting country,Estonia,2019,12.6
Females,Reporting country,Estonia,2020,18.6
Females,Reporting country,Estonia,2021,14.1
Females,Reporting country,Estonia,2022,14.8
Females,Reporting country,Estonia,2023,18.2
Females,Reporting country,Greece,2014,582.6
Females,Reporting country,Greece,2015,568.5
Females,Reporting country,Greece,2016,556.9
Females,Reporting country,Greece,2017,512.7
Females,Reporting country,Greece,2018,465.8
Females,Reporting country,Greece,2019,404.7
Females,Reporting country,Greece,2020,360.4
Females,Reporting country,Greece,2021,352.9
Females,Reporting country,Greece,2022,316.6
Females,Reporting country,Greece,2023,278.6
Females,Reporting country,Spain,2014,2243.2
Females,Reporting country,Spain,2015,2095.8
Females,Reporting country,Spain,2016,1905.5
Females,Reporting country,Spain,2017,1679.8
Females,Reporting country,Spain,2018,1489.1
Females,Reporting country,Spain,2019,1402.6
Females,Reporting country,Spain,2020,1433.0
Females,Reporting country,Spain,2021,1438.3
Females,Reporting country,Spain,2022,1289.6
Females,Reporting country,Spain,2023,1222.1
Females,Reporting country,Finland,2014,96.3
Females,Reporting country,Finland,2015,107.4
Females,Reporting country,Finland,2016,101.9
Females,Reporting country,Finland,2017,102.1
Females,Reporting country,Finland,2018,87.9
Females,Reporting country,Finland,2019,75.7
Females,Reporting country,Finland,2020,91.2
Females,Reporting country,Finland,2021,82.8
Females,Reporting country,Finland,2022,78.2
Females,Reporting country,Finland,2023,74.0
Females,Reporting country,France,2014,1257.6
Females,Reporting country,France,2015,1248.5
Females,Reporting country,France,2016,1238.1
Females,Reporting country,France,2017,1165.7
Females,Reporting country,France,2018,1136.0
Females,Reporting country,France,2019,1052.1
Females,Reporting country,France,2020,989.2
Females,Reporting country,France,2021,994.9
Females,Reporting country,France,2022,921.4
Females,Reporting country,France,2023,942.8
Females,Reporting country,Croatia,2014,157.7
Females,Reporting country,Croatia,2015,147.1
Females,Reporting country,Croatia,2016,113.8
Females,Reporting country,Croatia,2017,96.7
Females,Reporting country,Croatia,2018,74.4
Females,Reporting country,Croatia,2019,55.9
Females,Reporting country,Croatia,2020,58.4
Females,Reporting country,Croatia,2021,62.8
Females,Reporting country,Croatia,2022,63.1
Females,Reporting country,Croatia,2023,53.8
Females,Reporting country,Hungary,2014,160.5
Females,Reporting country,Hungary,2015,145.5
Females,Reporting country,Hungary,2016,106.5
Females,Reporting country,Hungary,2017,95.7
Females,Reporting country,Hungary,2018,81.5
Females,Reporting country,Hungary,2019,72.3
Females,Reporting country,Hungary,2020,89.8
Females,Reporting country,Hungary,2021,93.4
Females,Reporting country,Hungary,2022,77.6
Females,Reporting country,Hungary,2023,94.6
Females,Reporting country,Ireland,2014,89.9
Females,Reporting country,Ireland,2015,75.4
Females,Reporting country,Ireland,2016,65.1
Females,Reporting country,Ireland,2017,55.0
Females,Reporting country,Ireland,2018,47.5
Females,Reporting country,Ireland,2019,41.0
