reason,apprehen,geo,TIME_PERIOD,Migrants number,Migrants number per 100k inhabitants
Illegal entry,Between border crossing points - at sea,European Union - 27 countries (from 2020),2023,199475,
Illegal entry,Between border crossing points - at sea,Finland,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Finland,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Finland,2023,0,0.0
Illegal entry,Between border crossing points - at sea,France,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Croatia,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Croatia,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Croatia,2023,80,2.08
Illegal entry,Between border crossing points - at sea,Hungary,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Hungary,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Hungary,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Ireland,2019,0,0.0
Illegal entry,Between border crossing points - at sea,Ireland,2020,0,0.0
Illegal entry,Between border crossing points - at sea,Ireland,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Ireland,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Ireland,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Iceland,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Italy,2021,67475,113.91
Illegal entry,Between border crossing points - at sea,Italy,2022,105130,178.1
Illegal entry,Between border crossing points - at sea,Italy,2023,157650,267.22
Illegal entry,Between border crossing points - at sea,Liechtenstein,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Liechtenstein,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Liechtenstein,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Lithuania,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Lithuania,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Lithuania,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Luxembourg,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Luxembourg,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Luxembourg,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Latvia,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Latvia,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Latvia,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Montenegro,2021,5,0.81
Illegal entry,Between border crossing points - at sea,Montenegro,2022,15,2.43
Illegal entry,Between border crossing points - at sea,Montenegro,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Malta,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Malta,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Malta,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Netherlands,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Netherlands,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Netherlands,2023,5,0.03
Illegal entry,Between border crossing points - at sea,Norway,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Norway,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Poland,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Poland,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Poland,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Portugal,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Portugal,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Portugal,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Romania,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Romania,2022,160,0.84
Illegal entry,Between border crossing points - at sea,Romania,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Sweden,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Sweden,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Sweden,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Slovenia,2021,5,0.24
Illegal entry,Between border crossing points - at sea,Slovenia,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Slovenia,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Slovakia,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Slovakia,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Slovakia,2023,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Austria,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Austria,2022,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Belgium,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Belgium,2022,110,0.95
Illegal entry,"At the border crossing point – at sea, land, air",Belgium,2023,30,0.26
Illegal entry,"At the border crossing point – at sea, land, air",Bulgaria,2021,210,3.21
Illegal entry,"At the border crossing point – at sea, land, air",Bulgaria,2022,935,14.42
Illegal entry,"At the border crossing point – at sea, land, air",Bulgaria,2023,535,8.3
Illegal entry,"At the border crossing point – at sea, land, air",Switzerland,2020,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Switzerland,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Switzerland,2022,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Switzerland,2023,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Cyprus,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Cyprus,2022,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Cyprus,2023,45,4.89
Illegal entry,"At the border crossing point – at sea, land, air",Czechia,2021,5,0.05
Illegal entry,"At the border crossing point – at sea, land, air",Czechia,2022,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Czechia,2023,355,3.28
Illegal entry,"At the border crossing point – at sea, land, air",Germany,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Germany,2022,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Germany,2023,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Denmark,2021,5,0.09
Illegal entry,"At the border crossing point – at sea, land, air",Denmark,2022,25,0.43
Illegal entry,"At the border crossing point – at sea, land, air",Denmark,2023,85,1.43
Illegal entry,"At the border crossing point – at sea, land, air",Estonia,2021,20,1.5
Illegal entry,"At the border crossing point – at sea, land, air",Estonia,2022,100,7.51
Illegal entry,"At the border crossing point – at sea, land, air",Estonia,2023,80,5.86
Illegal entry,"At the border crossing point – at sea, land, air",Greece,2021,30,0.28
Illegal entry,"At the border crossing point – at sea, land, air",Greece,2022,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Greece,2023,100,0.96
Illegal entry,"At the border crossing point – at sea, land, air",Spain,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Spain,2022,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Spain,2023,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",European Union - 27 countries (from 2020),2023,12925,
Illegal entry,"At the border crossing point – at sea, land, air",Finland,2021,5,0.09
Illegal entry,"At the border crossing point – at sea, land, air",Finland,2022,40,0.72
Illegal entry,"At the border crossing point – at sea, land, air",Finland,2023,20,0.36
Illegal entry,"At the border crossing point – at sea, land, air",France,2021,895,1.32
Illegal entry,"At the border crossing point – at sea, land, air",France,2022,1640,2.41
Illegal entry,"At the border crossing point – at sea, land, air",France,2023,1900,2.79
Illegal entry,"At the border crossing point – at sea, land, air",Croatia,2021,1615,41.48
Illegal entry,"At the border crossing point – at sea, land, air",Croatia,2022,1280,33.14
Illegal entry,"At the border crossing point – at sea, land, air",Croatia,2023,430,11.17
Illegal entry,"At the border crossing point – at sea, land, air",Hungary,2021,1110,11.5
Illegal entry,"At the border crossing point – at sea, land, air",Hungary,2022,605,6.3
Illegal entry,"At the border crossing point – at sea, land, air",Hungary,2023,130,1.35
Illegal entry,"At the border crossing point – at sea, land, air",Ireland,2019,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Ireland,2020,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Ireland,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Ireland,2022,5,0.1
Illegal entry,"At the border crossing point – at sea, land, air",Ireland,2023,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Iceland,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Italy,2021,1805,3.05
Illegal entry,"At the border crossing point – at sea, land, air",Italy,2022,2495,4.23
Illegal entry,"At the border crossing point – at sea, land, air",Italy,2023,6565,11.13
Illegal entry,"At the border crossing point – at sea, land, air",Liechtenstein,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Liechtenstein,2022,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Liechtenstein,2023,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Lithuania,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Lithuania,2022,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Lithuania,2023,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Luxembourg,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Luxembourg,2022,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Luxembourg,2023,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Latvia,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Latvia,2022,45,2.4
Illegal entry,"At the border crossing point – at sea, land, air",Latvia,2023,20,1.06
Illegal entry,"At the border crossing point – at sea, land, air",Montenegro,2021,5,0.81
Illegal entry,"At the border crossing point – at sea, land, air",Montenegro,2022,20,3.24
Illegal entry,"At the border crossing point – at sea, land, air",Montenegro,2023,5,0.81
Illegal entry,"At the border crossing point – at sea, land, air",Malta,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Malta,2022,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Malta,2023,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Netherlands,2021,100,0.57
Illegal entry,"At the border crossing point – at sea, land, air",Netherlands,2022,40,0.23
Illegal entry,"At the border crossing point – at sea, land, air",Netherlands,2023,50,0.28
Illegal entry,"At the border crossing point – at sea, land, air",Norway,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Norway,2022,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Poland,2021,10,0.03
Illegal entry,"At the border crossing point – at sea, land, air",Poland,2022,2165,5.87
Illegal entry,"At the border crossing point – at sea, land, air",Poland,2023,2275,6.19
Illegal entry,"At the border crossing point – at sea, land, air",Portugal,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Portugal,2022,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Portugal,2023,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Romania,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Romania,2022,150,0.79
Illegal entry,"At the border crossing point – at sea, land, air",Romania,2023,295,1.55
Illegal entry,"At the border crossing point – at sea, land, air",Sweden,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Sweden,2022,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Sweden,2023,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Slovenia,2021,305,14.46
Illegal entry,"At the border crossing point – at sea, land, air",Slovenia,2022,145,6.88
Illegal entry,"At the border crossing point – at sea, land, air",Slovenia,2023,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Slovakia,2021,0,0.0
Illegal entry,"At the border crossing point – at sea, land, air",Slovakia,2022,10,0.18
Illegal entry,"At the border crossing point – at sea, land, air",Slovakia,2023,0,0.0
Illegal entry,In the external border area,Austria,2021,0,0.0
Illegal entry,In the external border area,Austria,2022,0,0.0
Illegal entry,In the external border area,Belgium,2021,0,0.0
Illegal entry,In the external border area,Belgium,2022,110,0.95
Illegal entry,In the external border area,Belgium,2023,30,0.26
Illegal entry,In the external border area,Bulgaria,2021,1090,16.69
Illegal entry,In the external border area,Bulgaria,2022,6635,102.35
Illegal entry,In the external border area,Bulgaria,2023,4330,67.16
Illegal entry,In the external border area,Switzerland,2020,0,0.0
Illegal entry,In the external border area,Switzerland,2021,0,0.0
Illegal entry,In the external border area,Switzerland,2022,0,0.0
Illegal entry,In the external border area,Switzerland,2023,0,0.0
Illegal entry,In the external border area,Cyprus,2021,0,0.0
Illegal entry,In the external border area,Cyprus,2022,0,0.0
Illegal entry,In the external border area,Cyprus,2023,5730,622.35
Illegal entry,In the external border area,Czechia,2021,5,0.05
Illegal entry,In the external border area,Czechia,2022,0,0.0
Illegal entry,In the external border area,Czechia,2023,355,3.28
Illegal entry,In the external border area,Germany,2021,0,0.0
Illegal entry,In the external border area,Germany,2022,0,0.0
Illegal entry,In the external border area,Germany,2023,0,0.0
Illegal entry,In the external border area,Denmark,2021,5,0.09
Illegal entry,In the external border area,Denmark,2022,25,0.43
Illegal entry,In the external border area,Denmark,2023,90,1.52
Illegal entry,In the external border area,Estonia,2021,25,1.88
Illegal entry,In the external border area,Estonia,2022,105,7.88
Illegal entry,In the external border area,Estonia,2023,90,6.59
Illegal entry,In the external border area,Greece,2021,10870,101.79
Illegal entry,In the external border area,Greece,2022,20265,193.74
Illegal entry,In the external border area,Greece,2023,49435,474.7
Illegal entry,In the external border area,Spain,2021,0,0.0
Illegal entry,In the external border area,Spain,2022,0,0.0
Illegal entry,In the external border area,Spain,2023,0,0.0
Illegal entry,In the external border area,European Union - 27 countries (from 2020),2023,333405,
Illegal entry,In the external border area,Finland,2021,5,0.09
Illegal entry,In the external border area,Finland,2022,40,0.72
Illegal entry,In the external border area,Finland,2023,35,0.63
Illegal entry,In the external border area,France,2021,895,1.32
Illegal entry,In the external border area,France,2022,1640,2.41
Illegal entry,In the external border area,France,2023,1900,2.79
Illegal entry,In the external border area,Croatia,2021,2775,71.28
Illegal entry,In the external border area,Croatia,2022,12960,335.55
Illegal entry,In the external border area,Croatia,2023,12670,329.01
Illegal entry,In the external border area,Hungary,2021,62405,646.59
Illegal entry,In the external border area,Hungary,2022,133205,1386.05
Illegal entry,In the external border area,Hungary,2023,90440,942.11
Illegal entry,In the external border area,Ireland,2019,0,0.0
Illegal entry,In the external border area,Ireland,2020,0,0.0
Illegal entry,In the external border area,Ireland,2021,0,0.0
Illegal entry,In the external border area,Ireland,2022,5,0.1
Illegal entry,In the external border area,Ireland,2023,0,0.0
Illegal entry,In the external border area,Iceland,2021,0,0.0
Illegal entry,In the external border area,Italy,2021,69285,116.96
Illegal entry,In the external border area,Italy,2022,107625,182.32
Illegal entry,In the external border area,Italy,2023,164215,278.34
Illegal entry,In the external border area,Liechtenstein,2021,0,0.0
Illegal entry,In the external border area,Liechtenstein,2022,0,0.0
Illegal entry,In the external border area,Liechtenstein,2023,0,0.0
Illegal entry,In the external border area,Lithuania,2021,0,0.0
Illegal entry,In the external border area,Lithuania,2022,0,0.0
Illegal entry,In the external border area,Lithuania,2023,0,0.0
Illegal entry,In the external border area,Luxembourg,2021,0,0.0
Illegal entry,In the external border area,Luxembourg,2022,0,0.0
Illegal entry,In the external border area,Luxembourg,2023,0,0.0
Illegal entry,In the external border area,Latvia,2021,50,2.64
Illegal entry,In the external border area,Latvia,2022,285,15.19
Illegal entry,In the external border area,Latvia,2023,30,1.59
Illegal entry,In the external border area,Montenegro,2021,15,2.42
Illegal entry,In the external border area,Montenegro,2022,50,8.09
Illegal entry,In the external border area,Montenegro,2023,15,2.43
Illegal entry,In the external border area,Malta,2021,0,0.0
Illegal entry,In the external border area,Malta,2022,0,0.0
Illegal entry,In the external border area,Malta,2023,0,0.0
Illegal entry,In the external border area,Netherlands,2021,100,0.57
Illegal entry,In the external border area,Netherlands,2022,40,0.23
Illegal entry,In the external border area,Netherlands,2023,55,0.31
Illegal entry,In the external border area,Norway,2021,0,0.0
Illegal entry,In the external border area,Norway,2022,0,0.0
Illegal entry,In the external border area,Poland,2021,2900,7.82
Illegal entry,In the external border area,Poland,2022,2185,5.92
Illegal entry,In the external border area,Poland,2023,2285,6.22
Illegal entry,In the external border area,Portugal,2021,0,0.0
Illegal entry,In the external border area,Portugal,2022,0,0.0
Illegal entry,In the external border area,Portugal,2023,0,0.0
Illegal entry,In the external border area,Romania,2021,0,0.0
Illegal entry,In the external border area,Romania,2022,2085,10.95
Illegal entry,In the external border area,Romania,2023,1060,5.56
Illegal entry,In the external border area,Sweden,2021,0,0.0
Illegal entry,In the external border area,Sweden,2022,0,0.0
Illegal entry,In the external border area,Sweden,2023,0,0.0
Illegal entry,In the external border area,Slovenia,2021,8175,387.63
Illegal entry,In the external border area,Slovenia,2022,29800,1414.21
Illegal entry,In the external border area,Slovenia,2023,0,0.0
Illegal entry,In the external border area,Slovakia,2021,190,3.48
Illegal entry,In the external border area,Slovakia,2022,545,10.03
Illegal entry,In the external border area,Slovakia,2023,650,11.97
Illegal entry,In the inland area,Austria,2021,0,0.0
Illegal entry,In the inland area,Austria,2022,0,0.0
Illegal entry,In the inland area,Belgium,2021,0,0.0
Illegal entry,In the inland area,Belgium,2022,35,0.3
Illegal entry,In the inland area,Belgium,2023,40,0.34
Illegal entry,In the inland area,Bulgaria,2021,165,2.53
Illegal entry,In the inland area,Bulgaria,2022,2685,41.42
Illegal entry,In the inland area,Bulgaria,2023,17640,273.59
Illegal entry,In the inland area,Switzerland,2020,6330,73.55
Illegal entry,In the inland area,Switzerland,2021,6870,79.24
Illegal entry,In the inland area,Switzerland,2022,8205,93.89
Illegal entry,In the inland area,Switzerland,2023,8555,97.05
Illegal entry,In the inland area,Cyprus,2021,0,0.0
Illegal entry,In the inland area,Cyprus,2022,0,0.0
Illegal entry,In the inland area,Cyprus,2023,1770,192.24
Illegal entry,In the inland area,Czechia,2021,5895,56.17
Illegal entry,In the inland area,Czechia,2022,24410,232.11
Illegal entry,In the inland area,Czechia,2023,4740,43.78
Illegal entry,In the inland area,Germany,2021,0,0.0
Illegal entry,In the inland area,Germany,2022,65410,78.58
Illegal entry,In the inland area,Germany,2023,90565,107.36
Illegal entry,In the inland area,Denmark,2021,95,1.63
Illegal entry,In the inland area,Denmark,2022,105,1.79
Illegal entry,In the inland area,Denmark,2023,80,1.35
Illegal entry,In the inland area,Estonia,2021,110,8.27
Illegal entry,In the inland area,Estonia,2022,175,13.14
Illegal entry,In the inland area,Estonia,2023,180,13.18
Illegal entry,In the inland area,Greece,2021,26405,247.27
Illegal entry,In the inland area,Greece,2022,28100,268.65
Illegal entry,In the inland area,Greece,2023,22445,215.53
Illegal entry,In the inland area,Spain,2021,0,0.0
Illegal entry,In the inland area,Spain,2022,0,0.0
Illegal entry,In the inland area,Spain,2023,0,0.0
Illegal entry,In the inland area,European Union - 27 countries (from 2020),2023,343140,
Illegal entry,In the inland area,Finland,2021,395,7.14
Illegal entry,In the inland area,Finland,2022,240,4.33
Illegal entry,In the inland area,Finland,2023,310,5.57
Illegal entry,In the inland area,France,2021,5085,7.51
Illegal entry,In the inland area,France,2022,5000,7.36
Illegal entry,In the inland area,France,2023,3990,5.85
Illegal entry,In the inland area,Croatia,2021,10195,261.88
Illegal entry,In the inland area,Croatia,2022,30080,778.81
Illegal entry,In the inland area,Croatia,2023,53630,1392.66
Illegal entry,In the inland area,Hungary,2021,12480,129.31
Illegal entry,In the inland area,Hungary,2022,26505,275.79
Illegal entry,In the inland area,Hungary,2023,11605,120.89
Illegal entry,In the inland area,Ireland,2019,0,0.0
Illegal entry,In the inland area,Ireland,2020,0,0.0
Illegal entry,In the inland area,Ireland,2021,10,0.2
Illegal entry,In the inland area,Ireland,2022,10,0.19
