citizenship,geo,employment_rate,year,Sex
Total,Austria,76.0,2010,Males
Total,Austria,76.2,2011,Males
Total,Austria,76.2,2012,Males
Total,Austria,76.0,2013,Males
Total,Austria,75.2,2014,Males
Total,Austria,75.1,2015,Males
Total,Austria,75.4,2016,Males
Total,Austria,76.2,2017,Males
Total,Austria,77.4,2018,Males
Total,Austria,78.0,2019,Males
Total,Austria,76.5,2020,Males
Total,Austria,76.7,2021,Males
Total,Austria,78.0,2022,Males
Total,Austria,77.9,2023,Males
Total,Austria,77.5,2024,Males
Total,Austria,68.4,1995,Total
Total,Austria,67.3,1996,Total
Total,Austria,67.2,1997,Total
Total,Austria,67.4,1998,Total
Total,Austria,68.2,1999,Total
Total,Austria,67.9,2000,Total
Total,Austria,67.8,2001,Total
Total,Austria,68.1,2002,Total
Total,Austria,68.2,2003,Total
Total,Austria,65.3,2004,Total
Total,Austria,67.4,2005,Total
Total,Austria,68.6,2006,Total
Total,Austria,69.9,2007,Total
Total,Austria,70.8,2008,Total
Total,Austria,70.3,2009,Total
Total,Austria,70.8,2010,Total
Total,Austria,71.1,2011,Total
Total,Austria,71.4,2012,Total
Total,Austria,71.4,2013,Total
Total,Austria,71.1,2014,Total
Total,Austria,71.1,2015,Total
Total,Austria,71.5,2016,Total
Total,Austria,72.2,2017,Total
Total,Austria,73.0,2018,Total
Total,Austria,73.6,2019,Total
Total,Austria,72.4,2020,Total
Total,Austria,72.4,2021,Total
Total,Austria,74.0,2022,Total
Total,Austria,74.1,2023,Total
Total,Austria,74.1,2024,Total
Foreign country,Belgium,25.9,1995,Females
Foreign country,Belgium,28.4,1996,Females
Foreign country,Belgium,29.4,1997,Females
Foreign country,Belgium,31.1,1998,Females
Foreign country,Belgium,30.9,1999,Females
Foreign country,Belgium,34.9,2000,Females
Foreign country,Belgium,34.4,2001,Females
Foreign country,Belgium,36.8,2002,Females
Foreign country,Belgium,33.1,2003,Females
Foreign country,Belgium,40.1,2004,Females
Foreign country,Belgium,40.5,2005,Females
Foreign country,Belgium,40.7,2006,Females
Foreign country,Belgium,42.5,2007,Females
Foreign country,Belgium,44.7,2008,Females
Foreign country,Belgium,43.5,2009,Females
Foreign country,Belgium,46.6,2010,Females
Foreign country,Belgium,45.0,2011,Females
Foreign country,Belgium,46.1,2012,Females
Foreign country,Belgium,45.9,2013,Females
Foreign country,Belgium,47.1,2014,Females
Foreign country,Belgium,47.9,2015,Females
Foreign country,Belgium,48.6,2016,Females
Foreign country,Belgium,48.6,2017,Females
Foreign country,Belgium,50.3,2018,Females
Foreign country,Belgium,50.5,2019,Females
Foreign country,Belgium,49.9,2020,Females
Foreign country,Belgium,50.4,2021,Females
Foreign country,Belgium,53.0,2022,Females
Foreign country,Belgium,53.1,2023,Females
Foreign country,Belgium,54.1,2024,Females
Foreign country,Belgium,55.3,1995,Males
Foreign country,Belgium,57.2,1996,Males
Foreign country,Belgium,57.0,1997,Males
Foreign country,Belgium,56.3,1998,Males
Foreign country,Belgium,59.4,1999,Males
Foreign country,Belgium,63.2,2000,Males
Foreign country,Belgium,62.2,2001,Males
Foreign country,Belgium,60.6,2002,Males
Foreign country,Belgium,56.9,2003,Males
Foreign country,Belgium,60.3,2004,Males
Foreign country,Belgium,61.6,2005,Males
Foreign country,Belgium,61.0,2006,Males
Foreign country,Belgium,64.5,2007,Males
Foreign country,Belgium,65.9,2008,Males
Foreign country,Belgium,62.7,2009,Males
Foreign country,Belgium,62.9,2010,Males
Foreign country,Belgium,61.9,2011,Males
Foreign country,Belgium,59.6,2012,Males
Foreign country,Belgium,59.5,2013,Males
Foreign country,Belgium,61.3,2014,Males
Foreign country,Belgium,62.4,2015,Males
Foreign country,Belgium,62.7,2016,Males
Foreign country,Belgium,64.6,2017,Males
Foreign country,Belgium,65.5,2018,Males
Foreign country,Belgium,66.2,2019,Males
Foreign country,Belgium,64.3,2020,Males
Foreign country,Belgium,68.4,2021,Males
Foreign country,Belgium,69.6,2022,Males
Foreign country,Belgium,67.6,2023,Males
Foreign country,Belgium,68.4,2024,Males
Foreign country,Belgium,42.0,1995,Total
Foreign country,Belgium,44.1,1996,Total
Foreign country,Belgium,44.0,1997,Total
Foreign country,Belgium,44.5,1998,Total
Foreign country,Belgium,45.9,1999,Total
Foreign country,Belgium,49.6,2000,Total
Foreign country,Belgium,48.8,2001,Total
Foreign country,Belgium,49.0,2002,Total
Foreign country,Belgium,45.7,2003,Total
Foreign country,Belgium,50.4,2004,Total
Foreign country,Belgium,51.4,2005,Total
Foreign country,Belgium,51.0,2006,Total
Foreign country,Belgium,53.8,2007,Total
Foreign country,Belgium,55.6,2008,Total
Foreign country,Belgium,53.3,2009,Total
Foreign country,Belgium,54.9,2010,Total
Foreign country,Belgium,53.4,2011,Total
Foreign country,Belgium,52.9,2012,Total
Foreign country,Belgium,52.9,2013,Total
Foreign country,Belgium,54.2,2014,Total
Foreign country,Belgium,55.1,2015,Total
Foreign country,Belgium,55.7,2016,Total
Foreign country,Belgium,56.6,2017,Total
Foreign country,Belgium,57.9,2018,Total
Foreign country,Belgium,58.2,2019,Total
Foreign country,Belgium,57.1,2020,Total
Foreign country,Belgium,59.2,2021,Total
Foreign country,Belgium,61.0,2022,Total
Foreign country,Belgium,60.0,2023,Total
Foreign country,Belgium,61.0,2024,Total
Reporting country,Belgium,47.1,1995,Females
Reporting country,Belgium,47.2,1996,Females
Reporting country,Belgium,48.4,1997,Females
Reporting country,Belgium,49.1,1998,Females
Reporting country,Belgium,52.3,1999,Females
Reporting country,Belgium,53.6,2000,Females
Reporting country,Belgium,52.4,2001,Females
Reporting country,Belgium,52.5,2002,Females
Reporting country,Belgium,53.0,2003,Females
Reporting country,Belgium,54.2,2004,Females
Reporting country,Belgium,55.0,2005,Females
Reporting country,Belgium,55.3,2006,Females
Reporting country,Belgium,56.6,2007,Females
Reporting country,Belgium,57.3,2008,Females
Reporting country,Belgium,57.3,2009,Females
Reporting country,Belgium,57.7,2010,Females
Reporting country,Belgium,58.1,2011,Females
Reporting country,Belgium,58.1,2012,Females
Reporting country,Belgium,58.6,2013,Females
Reporting country,Belgium,59.4,2014,Females
Reporting country,Belgium,59.5,2015,Females
Reporting country,Belgium,59.4,2016,Females
Reporting country,Belgium,60.1,2017,Females
Reporting country,Belgium,62.1,2018,Females
Reporting country,Belgium,63.3,2019,Females
Reporting country,Belgium,62.6,2020,Females
Reporting country,Belgium,63.5,2021,Females
Reporting country,Belgium,64.9,2022,Females
Reporting country,Belgium,65.0,2023,Females
Reporting country,Belgium,64.8,2024,Females
Reporting country,Belgium,68.2,1995,Males
Reporting country,Belgium,68.0,1996,Males
Reporting country,Belgium,68.2,1997,Males
Reporting country,Belgium,68.2,1998,Males
Reporting country,Belgium,68.6,1999,Males
Reporting country,Belgium,70.6,2000,Males
Reporting country,Belgium,69.3,2001,Males
Reporting country,Belgium,68.9,2002,Males
Reporting country,Belgium,68.2,2003,Males
Reporting country,Belgium,68.6,2004,Males
Reporting country,Belgium,68.9,2005,Males
Reporting country,Belgium,68.7,2006,Males
Reporting country,Belgium,69.2,2007,Males
Reporting country,Belgium,68.9,2008,Males
Reporting country,Belgium,67.7,2009,Males
Reporting country,Belgium,68.0,2010,Males
Reporting country,Belgium,67.8,2011,Males
Reporting country,Belgium,67.8,2012,Males
Reporting country,Belgium,67.3,2013,Males
Reporting country,Belgium,66.5,2014,Males
Reporting country,Belgium,66.0,2015,Males
Reporting country,Belgium,67.1,2016,Males
Reporting country,Belgium,68.0,2017,Males
Reporting country,Belgium,68.6,2018,Males
Reporting country,Belgium,69.2,2019,Males
Reporting country,Belgium,69.0,2020,Males
Reporting country,Belgium,68.8,2021,Males
Reporting country,Belgium,69.9,2022,Males
Reporting country,Belgium,70.2,2023,Males
Reporting country,Belgium,70.5,2024,Males
Reporting country,Belgium,57.7,1995,Total
Reporting country,Belgium,57.6,1996,Total
Reporting country,Belgium,58.3,1997,Total
Reporting country,Belgium,58.6,1998,Total
Reporting country,Belgium,60.5,1999,Total
Reporting country,Belgium,62.1,2000,Total
Reporting country,Belgium,60.9,2001,Total
Reporting country,Belgium,60.7,2002,Total
Reporting country,Belgium,60.6,2003,Total
Reporting country,Belgium,61.4,2004,Total
Reporting country,Belgium,62.0,2005,Total
Reporting country,Belgium,62.0,2006,Total
Reporting country,Belgium,62.9,2007,Total
Reporting country,Belgium,63.1,2008,Total
Reporting country,Belgium,62.5,2009,Total
Reporting country,Belgium,62.8,2010,Total
Reporting country,Belgium,63.0,2011,Total
Reporting country,Belgium,63.0,2012,Total
Reporting country,Belgium,62.9,2013,Total
Reporting country,Belgium,62.9,2014,Total
Reporting country,Belgium,62.8,2015,Total
Reporting country,Belgium,63.3,2016,Total
Reporting country,Belgium,64.1,2017,Total
Reporting country,Belgium,65.4,2018,Total
Reporting country,Belgium,66.3,2019,Total
Reporting country,Belgium,65.8,2020,Total
Reporting country,Belgium,66.2,2021,Total
Reporting country,Belgium,67.4,2022,Total
Reporting country,Belgium,67.6,2023,Total
Reporting country,Belgium,67.7,2024,Total
Total,Belgium,45.4,1995,Females
Total,Belgium,45.6,1996,Females
Total,Belgium,46.7,1997,Females
Total,Belgium,47.5,1998,Females
Total,Belgium,50.2,1999,Females
Total,Belgium,51.9,2000,Females
Total,Belgium,50.7,2001,Females
Total,Belgium,51.1,2002,Females
Total,Belgium,51.4,2003,Females
Total,Belgium,53.0,2004,Females
Total,Belgium,53.8,2005,Females
Total,Belgium,54.0,2006,Females
Total,Belgium,55.3,2007,Females
Total,Belgium,56.2,2008,Females
Total,Belgium,56.0,2009,Females
Total,Belgium,56.5,2010,Females
Total,Belgium,56.7,2011,Females
Total,Belgium,56.8,2012,Females
Total,Belgium,57.2,2013,Females
Total,Belgium,57.9,2014,Females
Total,Belgium,58.0,2015,Females
Total,Belgium,58.1,2016,Females
Total,Belgium,58.7,2017,Females
Total,Belgium,60.7,2018,Females
Total,Belgium,61.7,2019,Females
Total,Belgium,61.0,2020,Females
Total,Belgium,61.8,2021,Females
Total,Belgium,63.2,2022,Females
Total,Belgium,63.3,2023,Females
Total,Belgium,63.3,2024,Females
Total,Belgium,66.9,1995,Males
Total,Belgium,66.8,1996,Males
Total,Belgium,67.1,1997,Males
Total,Belgium,67.0,1998,Males
Total,Belgium,67.5,1999,Males
Total,Belgium,69.8,2000,Males
Total,Belgium,68.5,2001,Males
Total,Belgium,68.1,2002,Males
Total,Belgium,67.1,2003,Males
Total,Belgium,67.9,2004,Males
Total,Belgium,68.3,2005,Males
Total,Belgium,67.9,2006,Males
Total,Belgium,68.7,2007,Males
Total,Belgium,68.6,2008,Males
Total,Belgium,67.2,2009,Males
Total,Belgium,67.4,2010,Males
Total,Belgium,67.1,2011,Males
Total,Belgium,66.9,2012,Males
Total,Belgium,66.4,2013,Males
Total,Belgium,65.8,2014,Males
Total,Belgium,65.5,2015,Males
Total,Belgium,66.5,2016,Males
Total,Belgium,67.5,2017,Males
Total,Belgium,68.2,2018,Males
Total,Belgium,68.9,2019,Males
Total,Belgium,68.4,2020,Males
Total,Belgium,68.7,2021,Males
Total,Belgium,69.8,2022,Males
Total,Belgium,69.9,2023,Males
Total,Belgium,70.2,2024,Males
Total,Belgium,56.3,1995,Total
Total,Belgium,56.3,1996,Total
Total,Belgium,57.0,1997,Total
Total,Belgium,57.3,1998,Total
Total,Belgium,58.9,1999,Total
Total,Belgium,60.9,2000,Total
Total,Belgium,59.7,2001,Total
Total,Belgium,59.7,2002,Total
Total,Belgium,59.3,2003,Total
Total,Belgium,60.5,2004,Total
Total,Belgium,61.1,2005,Total
Total,Belgium,61.0,2006,Total
Total,Belgium,62.0,2007,Total
Total,Belgium,62.4,2008,Total
Total,Belgium,61.6,2009,Total
Total,Belgium,62.0,2010,Total
Total,Belgium,61.9,2011,Total
Total,Belgium,61.8,2012,Total
Total,Belgium,61.8,2013,Total
Total,Belgium,61.9,2014,Total
Total,Belgium,61.8,2015,Total
Total,Belgium,62.3,2016,Total
Total,Belgium,63.1,2017,Total
Total,Belgium,64.5,2018,Total
Total,Belgium,65.3,2019,Total
Total,Belgium,64.7,2020,Total
Total,Belgium,65.3,2021,Total
Total,Belgium,66.5,2022,Total
Total,Belgium,66.6,2023,Total
Total,Belgium,66.7,2024,Total
Foreign country,Bosnia and Herzegovina,47.4,2021,Females
Foreign country,Bosnia and Herzegovina,38.4,2022,Females
Foreign country,Bosnia and Herzegovina,38.4,2023,Females
Foreign country,Bosnia and Herzegovina,38.4,2024,Females
Foreign country,Bosnia and Herzegovina,77.0,2021,Males
Foreign country,Bosnia and Herzegovina,63.0,2022,Males
Foreign country,Bosnia and Herzegovina,63.0,2023,Males
Foreign country,Bosnia and Herzegovina,63.0,2024,Males
Foreign country,Bosnia and Herzegovina,60.6,2021,Total
Foreign country,Bosnia and Herzegovina,47.6,2022,Total
Foreign country,Bosnia and Herzegovina,32.3,2023,Total
Foreign country,Bosnia and Herzegovina,41.2,2024,Total
Reporting country,Bosnia and Herzegovina,36.3,2021,Females
Reporting country,Bosnia and Herzegovina,37.1,2022,Females
Reporting country,Bosnia and Herzegovina,39.1,2023,Females
Reporting country,Bosnia and Herzegovina,40.9,2024,Females
Reporting country,Bosnia and Herzegovina,61.0,2021,Males
Reporting country,Bosnia and Herzegovina,62.7,2022,Males
Reporting country,Bosnia and Herzegovina,64.4,2023,Males
Reporting country,Bosnia and Herzegovina,66.1,2024,Males
Reporting country,Bosnia and Herzegovina,48.7,2021,Total
Reporting country,Bosnia and Herzegovina,50.0,2022,Total
Reporting country,Bosnia and Herzegovina,51.9,2023,Total
Reporting country,Bosnia and Herzegovina,53.6,2024,Total
Total,Bosnia and Herzegovina,36.3,2021,Females
Total,Bosnia and Herzegovina,37.1,2022,Females
Total,Bosnia and Herzegovina,39.1,2023,Females
Total,Bosnia and Herzegovina,40.8,2024,Females
Total,Bosnia and Herzegovina,61.1,2021,Males
Total,Bosnia and Herzegovina,62.7,2022,Males
Total,Bosnia and Herzegovina,64.4,2023,Males
Total,Bosnia and Herzegovina,66.1,2024,Males
Total,Bosnia and Herzegovina,48.8,2021,Total
Total,Bosnia and Herzegovina,50.0,2022,Total
Total,Bosnia and Herzegovina,51.8,2023,Total
Total,Bosnia and Herzegovina,53.6,2024,Total
Foreign country,Bulgaria,,2001,Females
Foreign country,Bulgaria,,2002,Females
Foreign country,Bulgaria,,2003,Females
Foreign country,Bulgaria,,2004,Females
Foreign country,Bulgaria,,2005,Females
Foreign country,Bulgaria,,2006,Females
Foreign country,Bulgaria,,2007,Females
Foreign country,Bulgaria,,2008,Females
Foreign country,Bulgaria,,2009,Females
Foreign country,Bulgaria,,2010,Females
Foreign country,Bulgaria,,2011,Females
Foreign country,Bulgaria,,2012,Females
Foreign country,Bulgaria,,2013,Females
Foreign country,Bulgaria,,2014,Females
Foreign country,Bulgaria,,2015,Females
Foreign country,Bulgaria,,2016,Females
Foreign country,Bulgaria,,2017,Females
Foreign country,Bulgaria,,2018,Females
Foreign country,Bulgaria,,2019,Females
Foreign country,Bulgaria,,2020,Females
Foreign country,Bulgaria,,2021,Females
Foreign country,Bulgaria,,2022,Females
Foreign country,Bulgaria,,2023,Females
Foreign country,Bulgaria,,2024,Females
Foreign country,Bulgaria,66.4,2001,Males
Foreign country,Bulgaria,66.4,2002,Males
Foreign country,Bulgaria,66.4,2003,Males
Foreign country,Bulgaria,66.4,2004,Males
Foreign country,Bulgaria,66.4,2005,Males
Foreign country,Bulgaria,66.4,2006,Males
Foreign country,Bulgaria,66.4,2007,Males
Foreign country,Bulgaria,66.4,2008,Males
Foreign country,Bulgaria,66.4,2009,Males
Foreign country,Bulgaria,66.4,2010,Males
Foreign country,Bulgaria,66.4,2011,Males
Foreign country,Bulgaria,66.4,2012,Males
Foreign country,Bulgaria,66.4,2013,Males
Foreign country,Bulgaria,66.4,2014,Males
Foreign country,Bulgaria,66.4,2015,Males
Foreign country,Bulgaria,66.4,2016,Males
Foreign country,Bulgaria,67.0,2017,Males
Foreign country,Bulgaria,73.3,2018,Males
Foreign country,Bulgaria,73.05,2019,Males
Foreign country,Bulgaria,72.8,2020,Males
Foreign country,Bulgaria,72.55,2021,Males
Foreign country,Bulgaria,72.3,2022,Males
Foreign country,Bulgaria,72.05,2023,Males
Foreign country,Bulgaria,71.8,2024,Males
Foreign country,Bulgaria,47.9,2001,Total
Foreign country,Bulgaria,56.4,2002,Total
Foreign country,Bulgaria,59.6,2003,Total
Foreign country,Bulgaria,61.7,2004,Total
Foreign country,Bulgaria,38.7,2005,Total
Foreign country,Bulgaria,52.5,2006,Total
Foreign country,Bulgaria,58.3,2007,Total
Foreign country,Bulgaria,48.3,2008,Total
Foreign country,Bulgaria,41.3,2009,Total
Foreign country,Bulgaria,41.4,2010,Total
Foreign country,Bulgaria,45.0,2011,Total
Foreign country,Bulgaria,60.3,2012,Total
Foreign country,Bulgaria,51.7,2013,Total
Foreign country,Bulgaria,52.1,2014,Total
Foreign country,Bulgaria,44.8,2015,Total
Foreign country,Bulgaria,54.1,2016,Total
Foreign country,Bulgaria,53.3,2017,Total
Foreign country,Bulgaria,53.9,2018,Total
Foreign country,Bulgaria,56.1,2019,Total
Foreign country,Bulgaria,55.650000000000006,2020,Total
Foreign country,Bulgaria,55.2,2021,Total
Foreign country,Bulgaria,51.1,2022,Total
Foreign country,Bulgaria,54.5,2023,Total
Foreign country,Bulgaria,50.9,2024,Total
Reporting country,Bulgaria,47.9,2001,Females
Reporting country,Bulgaria,48.2,2002,Females
Reporting country,Bulgaria,49.5,2003,Females
Reporting country,Bulgaria,51.6,2004,Females
Reporting country,Bulgaria,51.7,2005,Females
Reporting country,Bulgaria,54.6,2006,Females
Reporting country,Bulgaria,57.5,2007,Females
Reporting country,Bulgaria,59.5,2008,Females
Reporting country,Bulgaria,58.4,2009,Females
Reporting country,Bulgaria,56.3,2010,Females
Reporting country,Bulgaria,55.6,2011,Females
Reporting country,Bulgaria,56.3,2012,Females
Reporting country,Bulgaria,56.8,2013,Females
Reporting country,Bulgaria,58.2,2014,Females
Reporting country,Bulgaria,59.9,2015,Females
Reporting country,Bulgaria,60.1,2016,Females
Reporting country,Bulgaria,63.1,2017,Females
Reporting country,Bulgaria,64.0,2018,Females
Reporting country,Bulgaria,66.4,2019,Females
Reporting country,Bulgaria,64.8,2020,Females
Reporting country,Bulgaria,64.6,2021,Females
Reporting country,Bulgaria,67.2,2022,Females
Reporting country,Bulgaria,67.5,2023,Females
Reporting country,Bulgaria,67.8,2024,Females
Reporting country,Bulgaria,53.6,2001,Males
Reporting country,Bulgaria,54.1,2002,Males
Reporting country,Bulgaria,56.7,2003,Males
Reporting country,Bulgaria,58.7,2004,Males
Reporting country,Bulgaria,60.0,2005,Males
Reporting country,Bulgaria,62.8,2006,Males
Reporting country,Bulgaria,66.0,2007,Males
Reporting country,Bulgaria,68.5,2008,Males
Reporting country,Bulgaria,66.9,2009,Males
Reporting country,Bulgaria,63.4,2010,Males
Reporting country,Bulgaria,61.2,2011,Males
Reporting country,Bulgaria,61.3,2012,Males
