citizenship,geo,unemployment_rate,year,Sex
Total,Belgium,8.0,2003,Females
Total,Belgium,8.3,2004,Females
Total,Belgium,9.5,2005,Females
Total,Belgium,9.4,2006,Females
Total,Belgium,8.5,2007,Females
Total,Belgium,7.6,2008,Females
Total,Belgium,8.1,2009,Females
Total,Belgium,8.6,2010,Females
Total,Belgium,7.2,2011,Females
Total,Belgium,7.4,2012,Females
Total,Belgium,8.2,2013,Females
Total,Belgium,8.0,2014,Females
Total,Belgium,7.8,2015,Females
Total,Belgium,7.6,2016,Females
Total,Belgium,7.1,2017,Females
Total,Belgium,5.6,2018,Females
Total,Belgium,5.0,2019,Females
Total,Belgium,5.4,2020,Females
Total,Belgium,5.9,2021,Females
Total,Belgium,5.3,2022,Females
Total,Belgium,5.1,2023,Females
Total,Belgium,5.3,2024,Females
Total,Belgium,7.4,1995,Males
Total,Belgium,7.4,1996,Males
Total,Belgium,7.1,1997,Males
Total,Belgium,7.6,1998,Males
Total,Belgium,7.5,1999,Males
Total,Belgium,5.3,2000,Males
Total,Belgium,5.7,2001,Males
Total,Belgium,6.3,2002,Males
Total,Belgium,7.5,2003,Males
Total,Belgium,6.7,2004,Males
Total,Belgium,7.7,2005,Males
Total,Belgium,7.5,2006,Males
Total,Belgium,6.7,2007,Males
Total,Belgium,6.5,2008,Males
Total,Belgium,7.8,2009,Males
Total,Belgium,8.2,2010,Males
Total,Belgium,7.2,2011,Males
Total,Belgium,7.7,2012,Males
Total,Belgium,8.7,2013,Males
Total,Belgium,9.1,2014,Males
Total,Belgium,9.2,2015,Males
Total,Belgium,8.1,2016,Males
Total,Belgium,7.2,2017,Males
Total,Belgium,6.3,2018,Males
Total,Belgium,5.8,2019,Males
Total,Belgium,5.8,2020,Males
Total,Belgium,6.7,2021,Males
Total,Belgium,5.9,2022,Males
Total,Belgium,6.0,2023,Males
Total,Belgium,6.2,2024,Males
Total,Belgium,9.4,1995,Total
Total,Belgium,9.5,1996,Total
Total,Belgium,9.0,1997,Total
Total,Belgium,9.4,1998,Total
Total,Belgium,8.7,1999,Total
Total,Belgium,6.6,2000,Total
Total,Belgium,6.2,2001,Total
Total,Belgium,6.9,2002,Total
Total,Belgium,7.7,2003,Total
Total,Belgium,7.4,2004,Total
Total,Belgium,8.5,2005,Total
Total,Belgium,8.3,2006,Total
Total,Belgium,7.5,2007,Total
Total,Belgium,7.0,2008,Total
Total,Belgium,8.0,2009,Total
Total,Belgium,8.4,2010,Total
Total,Belgium,7.2,2011,Total
Total,Belgium,7.6,2012,Total
Total,Belgium,8.5,2013,Total
Total,Belgium,8.6,2014,Total
Total,Belgium,8.6,2015,Total
Total,Belgium,7.9,2016,Total
Total,Belgium,7.1,2017,Total
Total,Belgium,6.0,2018,Total
Total,Belgium,5.4,2019,Total
Total,Belgium,5.6,2020,Total
Total,Belgium,6.3,2021,Total
Total,Belgium,5.6,2022,Total
Total,Belgium,5.6,2023,Total
Total,Belgium,5.8,2024,Total
Reporting country,Bosnia and Herzegovina,22.2,2021,Females
Reporting country,Bosnia and Herzegovina,19.9,2022,Females
Reporting country,Bosnia and Herzegovina,16.9,2023,Females
Reporting country,Bosnia and Herzegovina,17.1,2024,Females
Reporting country,Bosnia and Herzegovina,14.5,2021,Males
Reporting country,Bosnia and Herzegovina,12.7,2022,Males
Reporting country,Bosnia and Herzegovina,11.0,2023,Males
Reporting country,Bosnia and Herzegovina,10.5,2024,Males
Reporting country,Bosnia and Herzegovina,17.5,2021,Total
Reporting country,Bosnia and Herzegovina,15.5,2022,Total
Reporting country,Bosnia and Herzegovina,13.3,2023,Total
Reporting country,Bosnia and Herzegovina,13.1,2024,Total
Total,Bosnia and Herzegovina,22.2,2021,Females
Total,Bosnia and Herzegovina,19.9,2022,Females
Total,Bosnia and Herzegovina,16.9,2023,Females
Total,Bosnia and Herzegovina,17.1,2024,Females
Total,Bosnia and Herzegovina,14.5,2021,Males
Total,Bosnia and Herzegovina,12.7,2022,Males
Total,Bosnia and Herzegovina,11.0,2023,Males
Total,Bosnia and Herzegovina,10.5,2024,Males
Total,Bosnia and Herzegovina,17.5,2021,Total
Total,Bosnia and Herzegovina,15.5,2022,Total
Total,Bosnia and Herzegovina,13.3,2023,Total
Total,Bosnia and Herzegovina,13.1,2024,Total
Reporting country,Bulgaria,19.0,2001,Females
Reporting country,Bulgaria,17.5,2002,Females
Reporting country,Bulgaria,13.3,2003,Females
Reporting country,Bulgaria,11.7,2004,Females
Reporting country,Bulgaria,9.9,2005,Females
Reporting country,Bulgaria,9.3,2006,Females
Reporting country,Bulgaria,7.3,2007,Females
Reporting country,Bulgaria,5.8,2008,Females
Reporting country,Bulgaria,6.6,2009,Females
Reporting country,Bulgaria,9.6,2010,Females
Reporting country,Bulgaria,10.1,2011,Females
Reporting country,Bulgaria,10.9,2012,Females
Reporting country,Bulgaria,11.9,2013,Females
Reporting country,Bulgaria,10.5,2014,Females
Reporting country,Bulgaria,8.5,2015,Females
Reporting country,Bulgaria,7.0,2016,Females
Reporting country,Bulgaria,6.0,2017,Females
Reporting country,Bulgaria,4.7,2018,Females
Reporting country,Bulgaria,3.8,2019,Females
Reporting country,Bulgaria,4.7,2020,Females
Reporting country,Bulgaria,5.0,2021,Females
Reporting country,Bulgaria,4.0,2022,Females
Reporting country,Bulgaria,4.3,2023,Females
Reporting country,Bulgaria,4.0,2024,Females
Reporting country,Bulgaria,21.0,2001,Males
Reporting country,Bulgaria,19.0,2002,Males
Reporting country,Bulgaria,14.5,2003,Males
Reporting country,Bulgaria,12.7,2004,Males
Reporting country,Bulgaria,10.4,2005,Males
Reporting country,Bulgaria,8.7,2006,Males
Reporting country,Bulgaria,6.6,2007,Males
Reporting country,Bulgaria,5.6,2008,Males
Reporting country,Bulgaria,7.1,2009,Males
Reporting country,Bulgaria,11.0,2010,Males
Reporting country,Bulgaria,12.4,2011,Males
Reporting country,Bulgaria,13.7,2012,Males
Reporting country,Bulgaria,14.1,2013,Males
Reporting country,Bulgaria,12.5,2014,Males
Reporting country,Bulgaria,9.9,2015,Males
Reporting country,Bulgaria,8.2,2016,Males
Reporting country,Bulgaria,6.4,2017,Males
Reporting country,Bulgaria,5.8,2018,Males
Reporting country,Bulgaria,4.5,2019,Males
Reporting country,Bulgaria,5.4,2020,Males
Reporting country,Bulgaria,5.5,2021,Males
Reporting country,Bulgaria,4.4,2022,Males
Reporting country,Bulgaria,4.5,2023,Males
Reporting country,Bulgaria,4.5,2024,Males
Reporting country,Bulgaria,20.1,2001,Total
Reporting country,Bulgaria,18.3,2002,Total
Reporting country,Bulgaria,13.9,2003,Total
Reporting country,Bulgaria,12.2,2004,Total
Reporting country,Bulgaria,10.2,2005,Total
Reporting country,Bulgaria,9.0,2006,Total
Reporting country,Bulgaria,6.9,2007,Total
Reporting country,Bulgaria,5.7,2008,Total
Reporting country,Bulgaria,6.9,2009,Total
Reporting country,Bulgaria,10.3,2010,Total
Reporting country,Bulgaria,11.4,2011,Total
Reporting country,Bulgaria,12.4,2012,Total
Reporting country,Bulgaria,13.0,2013,Total
Reporting country,Bulgaria,11.5,2014,Total
Reporting country,Bulgaria,9.2,2015,Total
Reporting country,Bulgaria,7.7,2016,Total
Reporting country,Bulgaria,6.2,2017,Total
Reporting country,Bulgaria,5.3,2018,Total
Reporting country,Bulgaria,4.2,2019,Total
Reporting country,Bulgaria,5.1,2020,Total
Reporting country,Bulgaria,5.3,2021,Total
Reporting country,Bulgaria,4.2,2022,Total
Reporting country,Bulgaria,4.4,2023,Total
Reporting country,Bulgaria,4.2,2024,Total
Total,Bulgaria,15.9,2000,Females
Total,Bulgaria,19.0,2001,Females
Total,Bulgaria,17.5,2002,Females
Total,Bulgaria,13.3,2003,Females
Total,Bulgaria,11.7,2004,Females
Total,Bulgaria,9.9,2005,Females
Total,Bulgaria,9.3,2006,Females
Total,Bulgaria,7.3,2007,Females
Total,Bulgaria,5.8,2008,Females
Total,Bulgaria,6.7,2009,Females
Total,Bulgaria,9.6,2010,Females
Total,Bulgaria,10.1,2011,Females
Total,Bulgaria,10.9,2012,Females
Total,Bulgaria,11.9,2013,Females
Total,Bulgaria,10.4,2014,Females
Total,Bulgaria,8.5,2015,Females
Total,Bulgaria,7.0,2016,Females
Total,Bulgaria,6.0,2017,Females
Total,Bulgaria,4.7,2018,Females
Total,Bulgaria,3.8,2019,Females
Total,Bulgaria,4.7,2020,Females
Total,Bulgaria,5.0,2021,Females
Total,Bulgaria,4.0,2022,Females
Total,Bulgaria,4.3,2023,Females
Total,Bulgaria,4.0,2024,Females
Total,Bulgaria,16.8,2000,Males
Total,Bulgaria,21.0,2001,Males
Total,Bulgaria,19.0,2002,Males
Total,Bulgaria,14.5,2003,Males
Total,Bulgaria,12.6,2004,Males
Total,Bulgaria,10.4,2005,Males
Total,Bulgaria,8.7,2006,Males
Total,Bulgaria,6.6,2007,Males
Total,Bulgaria,5.6,2008,Males
Total,Bulgaria,7.1,2009,Males
Total,Bulgaria,11.0,2010,Males
Total,Bulgaria,12.4,2011,Males
Total,Bulgaria,13.7,2012,Males
Total,Bulgaria,14.1,2013,Males
Total,Bulgaria,12.5,2014,Males
Total,Bulgaria,9.9,2015,Males
Total,Bulgaria,8.2,2016,Males
Total,Bulgaria,6.4,2017,Males
Total,Bulgaria,5.8,2018,Males
Total,Bulgaria,4.5,2019,Males
Total,Bulgaria,5.4,2020,Males
Total,Bulgaria,5.5,2021,Males
Total,Bulgaria,4.4,2022,Males
Total,Bulgaria,4.5,2023,Males
Total,Bulgaria,4.5,2024,Males
Total,Bulgaria,16.4,2000,Total
Total,Bulgaria,20.0,2001,Total
Total,Bulgaria,18.3,2002,Total
Total,Bulgaria,13.9,2003,Total
Total,Bulgaria,12.2,2004,Total
