sex,citizen,geo,year,OBS_VALUE
Females,EU27 countries (from 2020) except reporting country,Denmark,2018,14.5
Females,EU27 countries (from 2020) except reporting country,Denmark,2019,9.0
Females,EU27 countries (from 2020) except reporting country,Denmark,2020,9.3
Females,EU27 countries (from 2020) except reporting country,Denmark,2021,8.1
Females,EU27 countries (from 2020) except reporting country,Denmark,2022,10.0
Females,EU27 countries (from 2020) except reporting country,Denmark,2023,9.2
Females,EU27 countries (from 2020) except reporting country,Denmark,2024,10.5
Females,EU27 countries (from 2020) except reporting country,Estonia,2008,
Females,EU27 countries (from 2020) except reporting country,Estonia,2009,
Females,EU27 countries (from 2020) except reporting country,Estonia,2010,
Females,EU27 countries (from 2020) except reporting country,Estonia,2011,
Females,EU27 countries (from 2020) except reporting country,Estonia,2012,
Females,EU27 countries (from 2020) except reporting country,Estonia,2013,
Females,EU27 countries (from 2020) except reporting country,Estonia,2014,
Females,EU27 countries (from 2020) except reporting country,Estonia,2015,
Females,EU27 countries (from 2020) except reporting country,Estonia,2016,
Females,EU27 countries (from 2020) except reporting country,Estonia,2017,
Females,EU27 countries (from 2020) except reporting country,Estonia,2018,
Females,EU27 countries (from 2020) except reporting country,Estonia,2019,
Females,EU27 countries (from 2020) except reporting country,Estonia,2020,
Females,EU27 countries (from 2020) except reporting country,Estonia,2021,
Females,EU27 countries (from 2020) except reporting country,Estonia,2022,
Females,EU27 countries (from 2020) except reporting country,Estonia,2023,
Females,EU27 countries (from 2020) except reporting country,Estonia,2024,
Females,EU27 countries (from 2020) except reporting country,Greece,2008,10.7
Females,EU27 countries (from 2020) except reporting country,Greece,2009,14.0
Females,EU27 countries (from 2020) except reporting country,Greece,2010,15.1
Females,EU27 countries (from 2020) except reporting country,Greece,2011,14.2
Females,EU27 countries (from 2020) except reporting country,Greece,2012,22.2
Females,EU27 countries (from 2020) except reporting country,Greece,2013,30.4
Females,EU27 countries (from 2020) except reporting country,Greece,2014,28.5
Females,EU27 countries (from 2020) except reporting country,Greece,2015,26.9
Females,EU27 countries (from 2020) except reporting country,Greece,2016,32.6
Females,EU27 countries (from 2020) except reporting country,Greece,2017,28.8
Females,EU27 countries (from 2020) except reporting country,Greece,2018,28.0
Females,EU27 countries (from 2020) except reporting country,Greece,2019,30.4
Females,EU27 countries (from 2020) except reporting country,Greece,2020,32.0
Females,EU27 countries (from 2020) except reporting country,Greece,2021,33.2
Females,EU27 countries (from 2020) except reporting country,Greece,2022,32.6
Females,EU27 countries (from 2020) except reporting country,Greece,2023,21.5
Females,EU27 countries (from 2020) except reporting country,Greece,2024,24.4
Females,EU27 countries (from 2020) except reporting country,Spain,2008,18.7
Females,EU27 countries (from 2020) except reporting country,Spain,2009,22.6
Females,EU27 countries (from 2020) except reporting country,Spain,2010,26.5
Females,EU27 countries (from 2020) except reporting country,Spain,2011,30.1
Females,EU27 countries (from 2020) except reporting country,Spain,2012,30.4
Females,EU27 countries (from 2020) except reporting country,Spain,2013,30.4
Females,EU27 countries (from 2020) except reporting country,Spain,2014,30.8
Females,EU27 countries (from 2020) except reporting country,Spain,2015,27.7
Females,EU27 countries (from 2020) except reporting country,Spain,2016,25.1
Females,EU27 countries (from 2020) except reporting country,Spain,2017,22.1
Females,EU27 countries (from 2020) except reporting country,Spain,2018,20.2
Females,EU27 countries (from 2020) except reporting country,Spain,2019,17.9
Females,EU27 countries (from 2020) except reporting country,Spain,2020,23.1
Females,EU27 countries (from 2020) except reporting country,Spain,2021,23.4
Females,EU27 countries (from 2020) except reporting country,Spain,2022,20.6
Females,EU27 countries (from 2020) except reporting country,Spain,2023,16.7
Females,EU27 countries (from 2020) except reporting country,Spain,2024,13.3
Females,EU27 countries (from 2020) except reporting country,Finland,2008,
Females,EU27 countries (from 2020) except reporting country,Finland,2009,
Females,EU27 countries (from 2020) except reporting country,Finland,2010,
Females,EU27 countries (from 2020) except reporting country,Finland,2011,
Females,EU27 countries (from 2020) except reporting country,Finland,2012,
Females,EU27 countries (from 2020) except reporting country,Finland,2013,
Females,EU27 countries (from 2020) except reporting country,Finland,2014,14.4
Females,EU27 countries (from 2020) except reporting country,Finland,2015,13.4
Females,EU27 countries (from 2020) except reporting country,Finland,2016,12.3
Females,EU27 countries (from 2020) except reporting country,Finland,2017,
Females,EU27 countries (from 2020) except reporting country,Finland,2018,14.0
Females,EU27 countries (from 2020) except reporting country,Finland,2019,
Females,EU27 countries (from 2020) except reporting country,Finland,2020,
Females,EU27 countries (from 2020) except reporting country,Finland,2021,17.4
Females,EU27 countries (from 2020) except reporting country,Finland,2022,11.7
Females,EU27 countries (from 2020) except reporting country,Finland,2023,10.7
Females,EU27 countries (from 2020) except reporting country,Finland,2024,14.3
Females,EU27 countries (from 2020) except reporting country,France,2008,5.4
Females,EU27 countries (from 2020) except reporting country,France,2009,7.3
Females,EU27 countries (from 2020) except reporting country,France,2010,9.5
Females,EU27 countries (from 2020) except reporting country,France,2011,9.1
Females,EU27 countries (from 2020) except reporting country,France,2012,10.2
Females,EU27 countries (from 2020) except reporting country,France,2013,9.1
Females,EU27 countries (from 2020) except reporting country,France,2014,11.4
Females,EU27 countries (from 2020) except reporting country,France,2015,12.6
Females,EU27 countries (from 2020) except reporting country,France,2016,10.2
Females,EU27 countries (from 2020) except reporting country,France,2017,8.4
Females,EU27 countries (from 2020) except reporting country,France,2018,9.5
Females,EU27 countries (from 2020) except reporting country,France,2019,8.9
Females,EU27 countries (from 2020) except reporting country,France,2020,7.7
Females,EU27 countries (from 2020) except reporting country,France,2021,8.8
Females,EU27 countries (from 2020) except reporting country,France,2022,8.1
Females,EU27 countries (from 2020) except reporting country,France,2023,6.7
Females,EU27 countries (from 2020) except reporting country,France,2024,8.9
Females,EU27 countries (from 2020) except reporting country,Croatia,2008,
Females,EU27 countries (from 2020) except reporting country,Croatia,2009,
Females,EU27 countries (from 2020) except reporting country,Croatia,2010,
Females,EU27 countries (from 2020) except reporting country,Croatia,2011,
Females,EU27 countries (from 2020) except reporting country,Croatia,2012,
Females,EU27 countries (from 2020) except reporting country,Croatia,2013,
Females,EU27 countries (from 2020) except reporting country,Croatia,2014,
Females,EU27 countries (from 2020) except reporting country,Croatia,2015,
Females,EU27 countries (from 2020) except reporting country,Croatia,2016,
Females,EU27 countries (from 2020) except reporting country,Croatia,2017,
Females,EU27 countries (from 2020) except reporting country,Croatia,2018,
Females,EU27 countries (from 2020) except reporting country,Croatia,2019,
Females,EU27 countries (from 2020) except reporting country,Croatia,2020,
Females,EU27 countries (from 2020) except reporting country,Croatia,2021,
Females,EU27 countries (from 2020) except reporting country,Croatia,2022,
Females,EU27 countries (from 2020) except reporting country,Croatia,2023,
Females,EU27 countries (from 2020) except reporting country,Croatia,2024,
Females,EU27 countries (from 2020) except reporting country,Hungary,2008,
Females,EU27 countries (from 2020) except reporting country,Hungary,2009,
Females,EU27 countries (from 2020) except reporting country,Hungary,2010,
Females,EU27 countries (from 2020) except reporting country,Hungary,2011,
Females,EU27 countries (from 2020) except reporting country,Hungary,2012,
Females,EU27 countries (from 2020) except reporting country,Hungary,2013,
Females,EU27 countries (from 2020) except reporting country,Hungary,2014,
Females,EU27 countries (from 2020) except reporting country,Hungary,2015,
Females,EU27 countries (from 2020) except reporting country,Hungary,2016,
Females,EU27 countries (from 2020) except reporting country,Hungary,2017,
Females,EU27 countries (from 2020) except reporting country,Hungary,2018,
Females,EU27 countries (from 2020) except reporting country,Hungary,2019,
Females,EU27 countries (from 2020) except reporting country,Hungary,2020,
Females,EU27 countries (from 2020) except reporting country,Hungary,2021,
Females,EU27 countries (from 2020) except reporting country,Hungary,2022,
Females,EU27 countries (from 2020) except reporting country,Hungary,2023,
Females,EU27 countries (from 2020) except reporting country,Hungary,2024,
Females,EU27 countries (from 2020) except reporting country,Ireland,2008,7.8
Females,EU27 countries (from 2020) except reporting country,Ireland,2009,14.7
Females,EU27 countries (from 2020) except reporting country,Ireland,2010,15.9
Females,EU27 countries (from 2020) except reporting country,Ireland,2011,16.7
Females,EU27 countries (from 2020) except reporting country,Ireland,2012,16.1
Females,EU27 countries (from 2020) except reporting country,Ireland,2013,16.0
Females,EU27 countries (from 2020) except reporting country,Ireland,2014,12.7
Females,EU27 countries (from 2020) except reporting country,Ireland,2015,10.0
Females,EU27 countries (from 2020) except reporting country,Ireland,2016,9.2
Females,EU27 countries (from 2020) except reporting country,Ireland,2017,7.2
Females,EU27 countries (from 2020) except reporting country,Ireland,2018,7.8
Females,EU27 countries (from 2020) except reporting country,Ireland,2019,5.4
Females,EU27 countries (from 2020) except reporting country,Ireland,2020,7.1
Females,EU27 countries (from 2020) except reporting country,Ireland,2021,7.6
Females,EU27 countries (from 2020) except reporting country,Ireland,2022,5.4
Females,EU27 countries (from 2020) except reporting country,Ireland,2023,5.0
Females,EU27 countries (from 2020) except reporting country,Ireland,2024,5.2
Females,EU27 countries (from 2020) except reporting country,Iceland,2008,
Females,EU27 countries (from 2020) except reporting country,Iceland,2009,
Females,EU27 countries (from 2020) except reporting country,Iceland,2010,
Females,EU27 countries (from 2020) except reporting country,Iceland,2011,
Females,EU27 countries (from 2020) except reporting country,Iceland,2012,
Females,EU27 countries (from 2020) except reporting country,Iceland,2013,
Females,EU27 countries (from 2020) except reporting country,Iceland,2014,
Females,EU27 countries (from 2020) except reporting country,Iceland,2015,
Females,EU27 countries (from 2020) except reporting country,Iceland,2016,
Females,EU27 countries (from 2020) except reporting country,Iceland,2017,
Females,EU27 countries (from 2020) except reporting country,Iceland,2018,
Females,EU27 countries (from 2020) except reporting country,Iceland,2019,
Females,EU27 countries (from 2020) except reporting country,Iceland,2020,
Females,EU27 countries (from 2020) except reporting country,Iceland,2021,16.0
Females,EU27 countries (from 2020) except reporting country,Iceland,2022,6.6
Females,EU27 countries (from 2020) except reporting country,Iceland,2023,
Females,EU27 countries (from 2020) except reporting country,Iceland,2024,
Females,EU27 countries (from 2020) except reporting country,Italy,2008,10.9
Females,EU27 countries (from 2020) except reporting country,Italy,2009,14.0
Females,EU27 countries (from 2020) except reporting country,Italy,2010,13.2
Females,EU27 countries (from 2020) except reporting country,Italy,2011,13.2
Females,EU27 countries (from 2020) except reporting country,Italy,2012,14.0
Females,EU27 countries (from 2020) except reporting country,Italy,2013,16.4
Females,EU27 countries (from 2020) except reporting country,Italy,2014,16.2
Females,EU27 countries (from 2020) except reporting country,Italy,2015,15.9
Females,EU27 countries (from 2020) except reporting country,Italy,2016,14.7
Females,EU27 countries (from 2020) except reporting country,Italy,2017,14.1
Females,EU27 countries (from 2020) except reporting country,Italy,2018,15.2
Females,EU27 countries (from 2020) except reporting country,Italy,2019,15.6
Females,EU27 countries (from 2020) except reporting country,Italy,2020,14.8
Females,EU27 countries (from 2020) except reporting country,Italy,2021,16.0
Females,EU27 countries (from 2020) except reporting country,Italy,2022,15.1
Females,EU27 countries (from 2020) except reporting country,Italy,2023,14.0
Females,EU27 countries (from 2020) except reporting country,Italy,2024,12.1
Females,EU27 countries (from 2020) except reporting country,Lithuania,2008,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2009,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2010,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2011,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2012,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2013,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2014,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2015,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2016,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2017,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2018,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2019,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2020,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2021,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2022,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2023,
Females,EU27 countries (from 2020) except reporting country,Lithuania,2024,
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2008,6.4
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2009,7.8
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2010,6.0
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2011,7.1
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2012,7.0
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2013,8.4
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2014,7.6
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2015,9.5
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2016,8.4
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2017,5.6
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2018,5.7
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2019,6.3
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2020,7.2
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2021,5.7
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2022,4.4
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2023,4.3
Females,EU27 countries (from 2020) except reporting country,Luxembourg,2024,5.4
Females,EU27 countries (from 2020) except reporting country,Latvia,2008,
Females,EU27 countries (from 2020) except reporting country,Latvia,2009,
Females,EU27 countries (from 2020) except reporting country,Latvia,2010,
Females,EU27 countries (from 2020) except reporting country,Latvia,2011,
Females,EU27 countries (from 2020) except reporting country,Latvia,2012,
Females,EU27 countries (from 2020) except reporting country,Latvia,2013,
Females,EU27 countries (from 2020) except reporting country,Latvia,2014,
Females,EU27 countries (from 2020) except reporting country,Latvia,2015,
Females,EU27 countries (from 2020) except reporting country,Latvia,2016,
Females,EU27 countries (from 2020) except reporting country,Latvia,2017,
Females,EU27 countries (from 2020) except reporting country,Latvia,2018,
Females,EU27 countries (from 2020) except reporting country,Latvia,2019,
Females,EU27 countries (from 2020) except reporting country,Latvia,2020,
Females,EU27 countries (from 2020) except reporting country,Latvia,2021,
Females,EU27 countries (from 2020) except reporting country,Latvia,2022,
Females,EU27 countries (from 2020) except reporting country,Latvia,2023,
Females,EU27 countries (from 2020) except reporting country,Latvia,2024,
Females,EU27 countries (from 2020) except reporting country,Montenegro,2011,
Females,EU27 countries (from 2020) except reporting country,Montenegro,2012,
Females,EU27 countries (from 2020) except reporting country,Montenegro,2013,
Females,EU27 countries (from 2020) except reporting country,Montenegro,2014,
Females,EU27 countries (from 2020) except reporting country,Montenegro,2015,
Females,EU27 countries (from 2020) except reporting country,Montenegro,2016,
Females,EU27 countries (from 2020) except reporting country,Montenegro,2017,
Females,EU27 countries (from 2020) except reporting country,Montenegro,2018,
Females,EU27 countries (from 2020) except reporting country,Montenegro,2019,
Females,EU27 countries (from 2020) except reporting country,Montenegro,2020,
Females,EU27 countries (from 2020) except reporting country,North Macedonia,2008,
Females,EU27 countries (from 2020) except reporting country,North Macedonia,2009,
Females,EU27 countries (from 2020) except reporting country,North Macedonia,2010,
Females,EU27 countries (from 2020) except reporting country,North Macedonia,2011,
Females,EU27 countries (from 2020) except reporting country,North Macedonia,2012,
Females,EU27 countries (from 2020) except reporting country,North Macedonia,2013,
Females,EU27 countries (from 2020) except reporting country,North Macedonia,2014,
Females,EU27 countries (from 2020) except reporting country,North Macedonia,2015,
Females,EU27 countries (from 2020) except reporting country,North Macedonia,2016,
Females,EU27 countries (from 2020) except reporting country,North Macedonia,2017,
Females,EU27 countries (from 2020) except reporting country,North Macedonia,2018,
Females,EU27 countries (from 2020) except reporting country,North Macedonia,2019,
Females,EU27 countries (from 2020) except reporting country,North Macedonia,2020,
Females,EU27 countries (from 2020) except reporting country,Malta,2008,
Females,EU27 countries (from 2020) except reporting country,Malta,2009,
Females,EU27 countries (from 2020) except reporting country,Malta,2010,
Females,EU27 countries (from 2020) except reporting country,Malta,2011,
Females,EU27 countries (from 2020) except reporting country,Malta,2012,
Females,EU27 countries (from 2020) except reporting country,Malta,2013,
Females,EU27 countries (from 2020) except reporting country,Malta,2014,
Females,EU27 countries (from 2020) except reporting country,Malta,2015,
Females,EU27 countries (from 2020) except reporting country,Malta,2016,
Females,EU27 countries (from 2020) except reporting country,Malta,2017,
Females,EU27 countries (from 2020) except reporting country,Malta,2018,5.6
Females,EU27 countries (from 2020) except reporting country,Malta,2019,5.0
Females,EU27 countries (from 2020) except reporting country,Malta,2020,6.8
Females,EU27 countries (from 2020) except reporting country,Malta,2021,4.5
Females,EU27 countries (from 2020) except reporting country,Malta,2022,5.1
Females,EU27 countries (from 2020) except reporting country,Malta,2023,
Females,EU27 countries (from 2020) except reporting country,Malta,2024,
Females,EU27 countries (from 2020) except reporting country,Netherlands,2008,6.0
Females,EU27 countries (from 2020) except reporting country,Netherlands,2009,8.5
Females,EU27 countries (from 2020) except reporting country,Netherlands,2010,7.8
Females,EU27 countries (from 2020) except reporting country,Netherlands,2011,7.0
Females,EU27 countries (from 2020) except reporting country,Netherlands,2012,6.9
Females,EU27 countries (from 2020) except reporting country,Netherlands,2013,9.3
Females,EU27 countries (from 2020) except reporting country,Netherlands,2014,9.5
Females,EU27 countries (from 2020) except reporting country,Netherlands,2015,11.4
Females,EU27 countries (from 2020) except reporting country,Netherlands,2016,7.5
Females,EU27 countries (from 2020) except reporting country,Netherlands,2017,5.5
Females,EU27 countries (from 2020) except reporting country,Netherlands,2018,6.7
Females,EU27 countries (from 2020) except reporting country,Netherlands,2019,5.1
Females,EU27 countries (from 2020) except reporting country,Netherlands,2020,5.0
Females,EU27 countries (from 2020) except reporting country,Netherlands,2021,7.2
Females,EU27 countries (from 2020) except reporting country,Netherlands,2022,4.0
Females,EU27 countries (from 2020) except reporting country,Netherlands,2023,5.8
Females,EU27 countries (from 2020) except reporting country,Netherlands,2024,6.1
Females,EU27 countries (from 2020) except reporting country,Norway,2008,
Females,EU27 countries (from 2020) except reporting country,Norway,2009,4.9
Females,EU27 countries (from 2020) except reporting country,Norway,2010,6.2
Females,EU27 countries (from 2020) except reporting country,Norway,2011,4.5
Females,EU27 countries (from 2020) except reporting country,Norway,2012,4.1
Females,EU27 countries (from 2020) except reporting country,Norway,2013,6.4
Females,EU27 countries (from 2020) except reporting country,Norway,2014,5.7
Females,EU27 countries (from 2020) except reporting country,Norway,2015,7.2
Females,EU27 countries (from 2020) except reporting country,Norway,2016,5.9
Females,EU27 countries (from 2020) except reporting country,Norway,2017,
Females,EU27 countries (from 2020) except reporting country,Norway,2018,7.4
Females,EU27 countries (from 2020) except reporting country,Norway,2019,
Females,EU27 countries (from 2020) except reporting country,Norway,2020,8.1
Females,EU27 countries (from 2020) except reporting country,Norway,2021,6.0
Females,EU27 countries (from 2020) except reporting country,Norway,2022,
Females,EU27 countries (from 2020) except reporting country,Norway,2023,5.9
Females,EU27 countries (from 2020) except reporting country,Norway,2024,
Females,EU27 countries (from 2020) except reporting country,Poland,2008,
Females,EU27 countries (from 2020) except reporting country,Poland,2009,
Females,EU27 countries (from 2020) except reporting country,Poland,2010,
