Sex,geo,Age class,year,Country of citizenship,Number
Females,Ireland,Total,2017,Foreign country and stateless,284191
Females,Ireland,Total,2018,Foreign country and stateless,293195
Females,Ireland,Total,2019,Foreign country and stateless,305705
Females,Ireland,Total,2020,Foreign country and stateless,320915
Females,Ireland,Total,2021,Foreign country and stateless,323805
Females,Ireland,Total,2022,Foreign country and stateless,329492
Females,Ireland,Total,2023,Foreign country and stateless,386339
Females,Ireland,Total,2024,Foreign country and stateless,419048
Females,Iceland,Total,2012,Foreign country and stateless,10243
Females,Iceland,Total,2013,Foreign country and stateless,10548
Females,Iceland,Total,2014,Foreign country and stateless,11090
Females,Iceland,Total,2015,Foreign country and stateless,11696
Females,Iceland,Total,2016,Foreign country and stateless,12482
Females,Iceland,Total,2017,Foreign country and stateless,13584
Females,Iceland,Total,2018,Foreign country and stateless,15929
Females,Iceland,Total,2019,Foreign country and stateless,18283
Females,Iceland,Total,2020,Foreign country and stateless,20330
Females,Iceland,Total,2021,Foreign country and stateless,21642
Females,Iceland,Total,2022,Foreign country and stateless,23233
Females,Iceland,Total,2023,Foreign country and stateless,27412
Females,Iceland,Total,2024,Foreign country and stateless,27572
Females,Italy,Total,2012,Foreign country and stateless,2296404
Females,Italy,Total,2013,Foreign country and stateless,2442456
Females,Italy,Total,2014,Foreign country and stateless,2534423
Females,Italy,Total,2015,Foreign country and stateless,2564291
Females,Italy,Total,2016,Foreign country and stateless,2553825
Females,Italy,Total,2017,Foreign country and stateless,2534415
Females,Italy,Total,2018,Foreign country and stateless,2545289
Females,Italy,Total,2019,Foreign country and stateless,2581873
Females,Italy,Total,2020,Foreign country and stateless,2607959
Females,Italy,Total,2021,Foreign country and stateless,2647250
Females,Italy,Total,2022,Foreign country and stateless,2562514
Females,Italy,Total,2023,Foreign country and stateless,2623802
Females,Italy,Total,2024,Foreign country and stateless,2651008
Females,Liechtenstein,Total,2012,Foreign country and stateless,5997
Females,Liechtenstein,Total,2013,Foreign country and stateless,6107
Females,Liechtenstein,Total,2014,Foreign country and stateless,6204
Females,Liechtenstein,Total,2015,Foreign country and stateless,6231
Females,Liechtenstein,Total,2016,Foreign country and stateless,6358
Females,Liechtenstein,Total,2017,Foreign country and stateless,6382
Females,Liechtenstein,Total,2018,Foreign country and stateless,6443
Females,Liechtenstein,Total,2019,Foreign country and stateless,6514
Females,Liechtenstein,Total,2020,Foreign country and stateless,6627
Females,Liechtenstein,Total,2021,Foreign country and stateless,6719
Females,Liechtenstein,Total,2022,Foreign country and stateless,6748
Females,Liechtenstein,Total,2023,Foreign country and stateless,6819
Females,Liechtenstein,Total,2024,Foreign country and stateless,6889
Females,Lithuania,Total,2012,Foreign country and stateless,10412
Females,Lithuania,Total,2013,Foreign country and stateless,9972
Females,Lithuania,Total,2014,Foreign country and stateless,9288
Females,Lithuania,Total,2015,Foreign country and stateless,9058
Females,Lithuania,Total,2016,Foreign country and stateless,8631
Females,Lithuania,Total,2017,Foreign country and stateless,8463
Females,Lithuania,Total,2018,Foreign country and stateless,8330
Females,Lithuania,Total,2019,Foreign country and stateless,8668
Females,Lithuania,Total,2020,Foreign country and stateless,8934
Females,Lithuania,Total,2021,Foreign country and stateless,9181
Females,Lithuania,Total,2022,Foreign country and stateless,10864
Females,Lithuania,Total,2023,Foreign country and stateless,40968
Females,Lithuania,Total,2024,Foreign country and stateless,45632
Females,Latvia,Total,2012,Foreign country and stateless,173816
Females,Latvia,Total,2013,Foreign country and stateless,168998
Females,Latvia,Total,2014,Foreign country and stateless,163366
Females,Latvia,Total,2015,Foreign country and stateless,159433
Females,Latvia,Total,2016,Foreign country and stateless,154010
Females,Latvia,Total,2017,Foreign country and stateless,149128
Females,Latvia,Total,2018,Foreign country and stateless,144818
Females,Latvia,Total,2019,Foreign country and stateless,140497
Females,Latvia,Total,2020,Foreign country and stateless,136382
Females,Latvia,Total,2021,Foreign country and stateless,131972
Females,Latvia,Total,2022,Foreign country and stateless,127397
Females,Latvia,Total,2023,Foreign country and stateless,137610
Females,Latvia,Total,2024,Foreign country and stateless,134865
Females,Malta,Total,2012,Foreign country and stateless,9634
Females,Malta,Total,2013,Foreign country and stateless,10920
Females,Malta,Total,2014,Foreign country and stateless,13159
Females,Malta,Total,2015,Foreign country and stateless,17259
Females,Malta,Total,2016,Foreign country and stateless,21838
Females,Malta,Total,2017,Foreign country and stateless,26052
Females,Malta,Total,2018,Foreign country and stateless,32277
Females,Malta,Total,2019,Foreign country and stateless,38775
Females,Malta,Total,2020,Foreign country and stateless,46135
Females,Malta,Total,2021,Foreign country and stateless,46165
Females,Malta,Total,2022,Foreign country and stateless,47247
Females,Malta,Total,2023,Foreign country and stateless,54257
Females,Malta,Total,2024,Foreign country and stateless,61540
Females,Netherlands,Total,2012,Foreign country and stateless,359378
Females,Netherlands,Total,2013,Foreign country and stateless,367750
Females,Netherlands,Total,2014,Foreign country and stateless,378799
Females,Netherlands,Total,2015,Foreign country and stateless,396100
Females,Netherlands,Total,2016,Foreign country and stateless,424294
Females,Netherlands,Total,2017,Foreign country and stateless,460060
Females,Netherlands,Total,2018,Foreign country and stateless,498753
Females,Netherlands,Total,2019,Foreign country and stateless,536347
Females,Netherlands,Total,2020,Foreign country and stateless,577774
Females,Netherlands,Total,2021,Foreign country and stateless,584961
Females,Netherlands,Total,2022,Foreign country and stateless,617262
Females,Netherlands,Total,2023,Foreign country and stateless,720098
Females,Netherlands,Total,2024,Foreign country and stateless,765744
Females,Norway,Total,2012,Foreign country and stateless,187803
Females,Norway,Total,2013,Foreign country and stateless,205291
Females,Norway,Total,2014,Foreign country and stateless,220515
Females,Norway,Total,2015,Foreign country and stateless,232528
Females,Norway,Total,2016,Foreign country and stateless,244467
Females,Norway,Total,2017,Foreign country and stateless,254451
Females,Norway,Total,2018,Foreign country and stateless,258644
Females,Norway,Total,2019,Foreign country and stateless,268015
Females,Norway,Total,2020,Foreign country and stateless,277319
Females,Norway,Total,2021,Foreign country and stateless,275644
Females,Norway,Total,2022,Foreign country and stateless,266166
Females,Norway,Total,2023,Foreign country and stateless,282795
Females,Norway,Total,2024,Foreign country and stateless,295337
Females,Poland,Total,2012,Foreign country and stateless,39628
Females,Poland,Total,2013,Foreign country and stateless,43027
Females,Poland,Total,2014,Foreign country and stateless,46191
Females,Poland,Total,2015,Foreign country and stateless,49429
Females,Poland,Total,2016,Foreign country and stateless,65088
Females,Poland,Total,2017,Foreign country and stateless,88334
Females,Poland,Total,2018,Foreign country and stateless,101432
Females,Poland,Total,2019,Foreign country and stateless,120859
Females,Poland,Total,2020,Foreign country and stateless,148286
Females,Poland,Total,2021,Foreign country and stateless,208631
Females,Poland,Total,2022,Foreign country and stateless,206031
Females,Poland,Total,2023,Foreign country and stateless,203520
Females,Poland,Total,2024,Foreign country and stateless,200899
Females,Portugal,Total,2012,Foreign country and stateless,205375
Females,Portugal,Total,2013,Foreign country and stateless,198511
Females,Portugal,Total,2014,Foreign country and stateless,193026
Females,Portugal,Total,2015,Foreign country and stateless,188305
Females,Portugal,Total,2016,Foreign country and stateless,185239
Females,Portugal,Total,2017,Foreign country and stateless,189970
Females,Portugal,Total,2018,Foreign country and stateless,197244
Females,Portugal,Total,2019,Foreign country and stateless,221999
Females,Portugal,Total,2020,Foreign country and stateless,257053
Females,Portugal,Total,2021,Foreign country and stateless,290820
Females,Portugal,Total,2022,Foreign country and stateless,308949
Females,Portugal,Total,2023,Foreign country and stateless,378238
Females,Portugal,Total,2024,Foreign country and stateless,495560
Females,Romania,Total,2012,Foreign country and stateless,28362
Females,Romania,Total,2013,Foreign country and stateless,26140
Females,Romania,Total,2014,Foreign country and stateless,26501
Females,Romania,Total,2015,Foreign country and stateless,29226
Females,Romania,Total,2016,Foreign country and stateless,33715
Females,Romania,Total,2017,Foreign country and stateless,36958
Females,Romania,Total,2018,Foreign country and stateless,36992
Females,Romania,Total,2019,Foreign country and stateless,39919
Females,Romania,Total,2020,Foreign country and stateless,46018
Females,Romania,Total,2021,Foreign country and stateless,47282
Females,Romania,Total,2023,Foreign country and stateless,81766
Females,Romania,Total,2024,Foreign country and stateless,85872
Females,Sweden,Total,2012,Foreign country and stateless,310874
Females,Sweden,Total,2013,Foreign country and stateless,317835
Females,Sweden,Total,2014,Foreign country and stateless,329786
Females,Sweden,Total,2015,Foreign country and stateless,345928
Females,Sweden,Total,2016,Foreign country and stateless,361458
Females,Sweden,Total,2017,Foreign country and stateless,386543
Females,Sweden,Total,2018,Foreign country and stateless,404294
Females,Sweden,Total,2019,Foreign country and stateless,419816
Females,Sweden,Total,2020,Foreign country and stateless,425132
Females,Sweden,Total,2021,Foreign country and stateless,410360
Females,Sweden,Total,2022,Foreign country and stateless,399172
Females,Sweden,Total,2023,Foreign country and stateless,389326
Females,Sweden,Total,2024,Foreign country and stateless,382011
Females,Slovenia,Total,2012,Foreign country and stateless,26341
Females,Slovenia,Total,2013,Foreign country and stateless,29264
Females,Slovenia,Total,2014,Foreign country and stateless,31661
Females,Slovenia,Total,2015,Foreign country and stateless,34180
Females,Slovenia,Total,2016,Foreign country and stateless,37295
Females,Slovenia,Total,2017,Foreign country and stateless,40124
Females,Slovenia,Total,2018,Foreign country and stateless,43019
Females,Slovenia,Total,2019,Foreign country and stateless,47363
Females,Slovenia,Total,2020,Foreign country and stateless,52299
Females,Slovenia,Total,2021,Foreign country and stateless,57742
Females,Slovenia,Total,2022,Foreign country and stateless,61268
Females,Slovenia,Total,2023,Foreign country and stateless,69634
Females,Slovenia,Total,2024,Foreign country and stateless,74813
Females,Slovakia,Total,2012,Foreign country and stateless,28732
Females,Slovakia,Total,2013,Foreign country and stateless,29326
Females,Slovakia,Total,2014,Foreign country and stateless,22717
Females,Slovakia,Total,2015,Foreign country and stateless,23545
Females,Slovakia,Total,2016,Foreign country and stateless,24906
Females,Slovakia,Total,2017,Foreign country and stateless,26246
Females,Slovakia,Total,2018,Foreign country and stateless,27463
Females,Slovakia,Total,2019,Foreign country and stateless,28728
Females,Slovakia,Total,2020,Foreign country and stateless,29796
Females,Slovakia,Total,2021,Foreign country and stateless,31072
Females,Slovakia,Total,2022,Foreign country and stateless,23838
Females,Slovakia,Total,2023,Foreign country and stateless,24350
Females,Slovakia,Total,2024,Foreign country and stateless,25010
Males,Austria,Total,2012,Foreign country and stateless,475788
Males,Austria,Total,2013,Foreign country and stateless,502251
Males,Austria,Total,2014,Foreign country and stateless,533904
Males,Austria,Total,2015,Foreign country and stateless,577064
Males,Austria,Total,2016,Foreign country and stateless,648608
Males,Austria,Total,2017,Foreign country and stateless,686393
Males,Austria,Total,2018,Foreign country and stateless,710777
Males,Austria,Total,2019,Foreign country and stateless,729500
Males,Austria,Total,2020,Foreign country and stateless,751199
Males,Austria,Total,2021,Foreign country and stateless,773706
Males,Austria,Total,2022,Foreign country and stateless,805091
Males,Austria,Total,2023,Foreign country and stateless,870903
Males,Austria,Total,2024,Foreign country and stateless,907844
Males,Belgium,Total,2012,Foreign country and stateless,614093
Males,Belgium,Total,2013,Foreign country and stateless,627417
Males,Belgium,Total,2014,Foreign country and stateless,632615
Males,Belgium,Total,2015,Foreign country and stateless,649025
Males,Belgium,Total,2016,Foreign country and stateless,681270
Males,Belgium,Total,2017,Foreign country and stateless,688892
Males,Belgium,Total,2018,Foreign country and stateless,697764
Males,Belgium,Total,2019,Foreign country and stateless,714406
Males,Belgium,Total,2020,Foreign country and stateless,733752
Males,Belgium,Total,2021,Foreign country and stateless,741527
Males,Belgium,Total,2022,Foreign country and stateless,758942
Males,Belgium,Total,2023,Foreign country and stateless,806457
Males,Belgium,Total,2024,Foreign country and stateless,830291
Males,Bulgaria,Total,2012,Foreign country and stateless,17698
Males,Bulgaria,Total,2013,Foreign country and stateless,20941
Males,Bulgaria,Total,2014,Foreign country and stateless,26196
Males,Bulgaria,Total,2015,Foreign country and stateless,31759
Males,Bulgaria,Total,2016,Foreign country and stateless,35674
Males,Bulgaria,Total,2017,Foreign country and stateless,38094
Males,Bulgaria,Total,2018,Foreign country and stateless,40698
Males,Bulgaria,Total,2019,Foreign country and stateless,45496
Males,Bulgaria,Total,2020,Foreign country and stateless,50385
Males,Bulgaria,Total,2021,Foreign country and stateless,54268
Males,Bulgaria,Total,2022,Foreign country and stateless,31969
Males,Bulgaria,Total,2023,Foreign country and stateless,44283
Males,Bulgaria,Total,2024,Foreign country and stateless,63533
Males,Switzerland,Total,2012,Foreign country and stateless,963518
Males,Switzerland,Total,2013,Foreign country and stateless,992565
Males,Switzerland,Total,2014,Foreign country and stateless,1027835
Males,Switzerland,Total,2015,Foreign country and stateless,1059292
Males,Switzerland,Total,2016,Foreign country and stateless,1085310
Males,Switzerland,Total,2017,Foreign country and stateless,1115167
Males,Switzerland,Total,2018,Foreign country and stateless,1126823
Males,Switzerland,Total,2019,Foreign country and stateless,1136433
Males,Switzerland,Total,2020,Foreign country and stateless,1148918
Males,Switzerland,Total,2021,Foreign country and stateless,1165838
Males,Switzerland,Total,2022,Foreign country and stateless,1182562
Males,Switzerland,Total,2023,Foreign country and stateless,1210781
Males,Switzerland,Total,2024,Foreign country and stateless,1268380
Males,Cyprus,Total,2012,Foreign country and stateless,77468
Males,Cyprus,Total,2013,Foreign country and stateless,76823
Males,Cyprus,Total,2014,Foreign country and stateless,74569
Males,Cyprus,Total,2015,Foreign country and stateless,73151
Males,Cyprus,Total,2016,Foreign country and stateless,72863
Males,Cyprus,Total,2017,Foreign country and stateless,73837
Males,Cyprus,Total,2018,Foreign country and stateless,76233
Males,Cyprus,Total,2019,Foreign country and stateless,81281
Males,Cyprus,Total,2020,Foreign country and stateless,88356
Males,Cyprus,Total,2021,Foreign country and stateless,91846
Males,Cyprus,Total,2022,Foreign country and stateless,96236
Males,Cyprus,Total,2023,Foreign country and stateless,104852
Males,Cyprus,Total,2024,Foreign country and stateless,112908
Males,Czechia,Total,2012,Foreign country and stateless,243360
Males,Czechia,Total,2013,Foreign country and stateless,241064
Males,Czechia,Total,2014,Foreign country and stateless,247043
Males,Czechia,Total,2015,Foreign country and stateless,260796
Males,Czechia,Total,2016,Foreign country and stateless,271285
Males,Czechia,Total,2017,Foreign country and stateless,290477
Males,Czechia,Total,2018,Foreign country and stateless,291882
Males,Czechia,Total,2019,Foreign country and stateless,317770
Males,Czechia,Total,2020,Foreign country and stateless,337190
Males,Czechia,Total,2021,Foreign country and stateless,266827
Males,Czechia,Total,2022,Foreign country and stateless,297944
Males,Czechia,Total,2023,Foreign country and stateless,425531
Males,Czechia,Total,2024,Foreign country and stateless,468110
Males,Germany,Total,2012,Foreign country and stateless,3190685
Males,Germany,Total,2013,Foreign country and stateless,3363448
Males,Germany,Total,2014,Foreign country and stateless,3575058
Males,Germany,Total,2015,Foreign country and stateless,3880215
Males,Germany,Total,2016,Foreign country and stateless,4604145
Males,Germany,Total,2017,Foreign country and stateless,4909464
Males,Germany,Total,2018,Foreign country and stateless,5147120
Males,Germany,Total,2019,Foreign country and stateless,5354001
Males,Germany,Total,2020,Foreign country and stateless,5496939
Males,Germany,Total,2021,Foreign country and stateless,5576780
Males,Germany,Total,2022,Foreign country and stateless,5722000
Males,Germany,Total,2023,Foreign country and stateless,5974729
Males,Germany,Total,2024,Foreign country and stateless,6339161
Males,Denmark,Total,2012,Foreign country and stateless,176101
Males,Denmark,Total,2013,Foreign country and stateless,184349
Males,Denmark,Total,2014,Foreign country and stateless,196306
Males,Denmark,Total,2015,Foreign country and stateless,210911
Males,Denmark,Total,2016,Foreign country and stateless,233755
Males,Denmark,Total,2017,Foreign country and stateless,246145
Males,Denmark,Total,2018,Foreign country and stateless,256854
Males,Denmark,Total,2019,Foreign country and stateless,266851
Males,Denmark,Total,2020,Foreign country and stateless,271686
Males,Denmark,Total,2021,Foreign country and stateless,272331
Males,Denmark,Total,2022,Foreign country and stateless,285030
Males,Denmark,Total,2023,Foreign country and stateless,310991
Males,Denmark,Total,2024,Foreign country and stateless,326182
Males,Estonia,Total,2012,Foreign country and stateless,104368
Males,Estonia,Total,2013,Foreign country and stateless,99398
Males,Estonia,Total,2014,Foreign country and stateless,98556
Males,Estonia,Total,2015,Foreign country and stateless,100685
Males,Estonia,Total,2016,Foreign country and stateless,101107
Males,Estonia,Total,2017,Foreign country and stateless,100793
Males,Estonia,Total,2018,Foreign country and stateless,101918
Males,Estonia,Total,2019,Foreign country and stateless,103707
Males,Estonia,Total,2020,Foreign country and stateless,104551
Males,Estonia,Total,2021,Foreign country and stateless,105579
Males,Estonia,Total,2022,Foreign country and stateless,107632
Males,Estonia,Total,2023,Foreign country and stateless,120968
Males,Estonia,Total,2024,Foreign country and stateless,125362
Males,Greece,Total,2012,Foreign country and stateless,464580
Males,Greece,Total,2013,Foreign country and stateless,437034
Males,Greece,Total,2014,Foreign country and stateless,411142
Males,Greece,Total,2015,Foreign country and stateless,387771
Males,Greece,Total,2016,Foreign country and stateless,371843
Males,Greece,Total,2017,Foreign country and stateless,383839
Males,Greece,Total,2018,Foreign country and stateless,393512
Males,Greece,Total,2019,Foreign country and stateless,408762
Males,Greece,Total,2020,Foreign country and stateless,446663
