iccs,geo,TIME_PERIOD,OBS_VALUE
Intentional homicide,Cyprus,2013,1.27
Intentional homicide,Cyprus,2014,1.17
Intentional homicide,Cyprus,2015,1.42
Intentional homicide,Cyprus,2016,1.3
Intentional homicide,Cyprus,2017,0.82
Intentional homicide,Cyprus,2018,1.62
Intentional homicide,Cyprus,2019,1.48
Intentional homicide,Cyprus,2020,1.69
Intentional homicide,Cyprus,2021,1.56
Intentional homicide,Cyprus,2022,0.77
Intentional homicide,Czechia,2008,1.09
Intentional homicide,Czechia,2009,1.01
Intentional homicide,Czechia,2010,1.0
Intentional homicide,Czechia,2011,0.79
Intentional homicide,Czechia,2012,0.9
Intentional homicide,Czechia,2013,0.86
Intentional homicide,Czechia,2014,0.77
Intentional homicide,Czechia,2015,0.84
Intentional homicide,Czechia,2016,0.62
Intentional homicide,Czechia,2017,0.38
Intentional homicide,Czechia,2018,0.52
Intentional homicide,Czechia,2019,0.76
Intentional homicide,Czechia,2020,0.53
Intentional homicide,Czechia,2021,0.43
Intentional homicide,Czechia,2022,0.75
Intentional homicide,Germany,2008,0.8
Intentional homicide,Germany,2009,0.88
Intentional homicide,Germany,2010,0.85
Intentional homicide,Germany,2011,0.86
Intentional homicide,Germany,2012,0.77
Intentional homicide,Germany,2013,0.77
Intentional homicide,Germany,2014,0.8
Intentional homicide,Germany,2015,0.81
Intentional homicide,Germany,2016,0.91
Intentional homicide,Germany,2017,0.89
Intentional homicide,Germany,2018,0.76
Intentional homicide,Germany,2019,0.71
Intentional homicide,Germany,2020,0.86
Intentional homicide,Germany,2021,0.76
Intentional homicide,Germany,2022,0.74
Intentional homicide,Denmark,2008,0.96
Intentional homicide,Denmark,2009,1.01
Intentional homicide,Denmark,2010,0.89
Intentional homicide,Denmark,2011,0.88
Intentional homicide,Denmark,2012,0.77
Intentional homicide,Denmark,2013,0.73
Intentional homicide,Denmark,2014,1.1
Intentional homicide,Denmark,2015,0.92
Intentional homicide,Denmark,2016,0.93
Intentional homicide,Denmark,2017,1.06
Intentional homicide,Denmark,2018,0.93
Intentional homicide,Denmark,2019,0.93
Intentional homicide,Denmark,2020,0.88
Intentional homicide,Denmark,2021,0.72
Intentional homicide,Denmark,2022,1.0
Intentional homicide,Estonia,2008,6.28
Intentional homicide,Estonia,2009,5.24
Intentional homicide,Estonia,2010,5.25
Intentional homicide,Estonia,2011,4.89
Intentional homicide,Estonia,2012,4.75
Intentional homicide,Estonia,2013,3.94
Intentional homicide,Estonia,2014,3.12
Intentional homicide,Estonia,2015,3.8
Intentional homicide,Estonia,2016,2.51
Intentional homicide,Estonia,2017,2.2
Intentional homicide,Estonia,2018,1.9
Intentional homicide,Estonia,2019,1.74
Intentional homicide,Estonia,2020,2.78
Intentional homicide,Estonia,2021,1.43
Intentional homicide,Estonia,2022,1.35
Intentional homicide,Greece,2008,1.29
Intentional homicide,Greece,2009,1.36
Intentional homicide,Greece,2010,1.58
Intentional homicide,Greece,2011,1.65
Intentional homicide,Greece,2012,1.49
Intentional homicide,Greece,2013,1.28
Intentional homicide,Greece,2014,0.96
Intentional homicide,Greece,2015,0.79
Intentional homicide,Greece,2016,0.75
Intentional homicide,Greece,2017,0.72
Intentional homicide,Greece,2018,0.88
Intentional homicide,Greece,2019,0.71
Intentional homicide,Greece,2020,0.68
Intentional homicide,Greece,2021,0.83
Intentional homicide,Greece,2022,0.76
Intentional homicide,Spain,2008,0.89
Intentional homicide,Spain,2009,0.89
Intentional homicide,Spain,2010,0.86
Intentional homicide,Spain,2011,0.82
Intentional homicide,Spain,2012,0.78
Intentional homicide,Spain,2013,0.65
Intentional homicide,Spain,2014,0.69
Intentional homicide,Spain,2015,0.65
Intentional homicide,Spain,2016,0.63
Intentional homicide,Spain,2017,0.66
Intentional homicide,Spain,2018,0.62
Intentional homicide,Spain,2019,0.71
Intentional homicide,Spain,2020,0.63
Intentional homicide,Spain,2021,0.61
Intentional homicide,Spain,2022,0.69
Intentional homicide,Finland,2008,3.02
Intentional homicide,Finland,2009,2.59
Intentional homicide,Finland,2010,2.49
Intentional homicide,Finland,2011,2.49
Intentional homicide,Finland,2012,1.98
Intentional homicide,Finland,2013,1.97
Intentional homicide,Finland,2014,2.05
Intentional homicide,Finland,2015,2.12
Intentional homicide,Finland,2016,1.75
Intentional homicide,Finland,2017,1.34
Intentional homicide,Finland,2018,1.72
Intentional homicide,Finland,2019,1.5
Intentional homicide,Finland,2020,1.72
Intentional homicide,Finland,2021,1.7
Intentional homicide,Finland,2022,1.5
Intentional homicide,France,2008,1.52
Intentional homicide,France,2009,1.25
Intentional homicide,France,2010,1.23
Intentional homicide,France,2011,1.35
Intentional homicide,France,2012,1.25
Intentional homicide,France,2013,1.22
Intentional homicide,France,2014,1.16
Intentional homicide,France,2015,1.32
Intentional homicide,France,2016,1.17
Intentional homicide,France,2017,1.06
Intentional homicide,France,2018,1.04
Intentional homicide,France,2019,1.12
Intentional homicide,France,2020,1.03
Intentional homicide,France,2021,1.08
Intentional homicide,France,2022,1.21
Intentional homicide,Croatia,2008,1.65
Intentional homicide,Croatia,2009,1.14
Intentional homicide,Croatia,2010,1.44
Intentional homicide,Croatia,2011,1.14
Intentional homicide,Croatia,2012,1.19
Intentional homicide,Croatia,2013,1.08
Intentional homicide,Croatia,2014,0.85
Intentional homicide,Croatia,2015,0.88
Intentional homicide,Croatia,2016,1.05
Intentional homicide,Croatia,2017,1.11
Intentional homicide,Croatia,2018,0.58
Intentional homicide,Croatia,2019,0.81
Intentional homicide,Croatia,2020,0.99
Intentional homicide,Croatia,2021,0.82
Intentional homicide,Croatia,2022,0.8
Intentional homicide,Hungary,2008,1.46
Intentional homicide,Hungary,2009,1.39
Intentional homicide,Hungary,2010,1.33
Intentional homicide,Hungary,2011,1.42
Intentional homicide,Hungary,2012,1.14
Intentional homicide,Hungary,2013,1.39
Intentional homicide,Hungary,2014,1.31
Intentional homicide,Hungary,2015,2.05
Intentional homicide,Hungary,2016,0.93
Intentional homicide,Hungary,2017,0.87
Intentional homicide,Hungary,2018,0.85
Intentional homicide,Hungary,2019,0.59
Intentional homicide,Hungary,2020,0.79
Intentional homicide,Hungary,2021,0.69
Intentional homicide,Hungary,2022,0.88
Intentional homicide,Ireland,2008,1.14
Intentional homicide,Ireland,2009,1.17
Intentional homicide,Ireland,2010,1.21
Intentional homicide,Ireland,2011,0.92
Intentional homicide,Ireland,2012,1.13
Intentional homicide,Ireland,2013,1.11
Intentional homicide,Ireland,2014,1.15
Intentional homicide,Ireland,2015,0.64
Intentional homicide,Ireland,2016,0.72
Intentional homicide,Ireland,2017,0.82
Intentional homicide,Ireland,2018,0.81
Intentional homicide,Ireland,2019,0.65
Intentional homicide,Ireland,2020,0.64
Intentional homicide,Ireland,2021,0.46
Intentional homicide,Ireland,2022,0.87
Intentional homicide,Iceland,2008,0.0
Intentional homicide,Iceland,2009,0.31
Intentional homicide,Iceland,2010,0.63
Intentional homicide,Iceland,2011,0.94
Intentional homicide,Iceland,2012,0.31
Intentional homicide,Iceland,2013,0.31
Intentional homicide,Iceland,2014,0.61
Intentional homicide,Iceland,2015,0.91
Intentional homicide,Iceland,2016,0.3
Intentional homicide,Iceland,2017,0.89
Intentional homicide,Iceland,2018,0.57
Intentional homicide,Iceland,2019,0.28
Intentional homicide,Iceland,2020,0.82
Intentional homicide,Iceland,2021,0.54
Intentional homicide,Iceland,2022,1.06
Intentional homicide,Italy,2008,1.05
Intentional homicide,Italy,2009,1.0
Intentional homicide,Italy,2010,0.89
Intentional homicide,Italy,2011,0.93
Intentional homicide,Italy,2012,0.89
Intentional homicide,Italy,2013,0.85
Intentional homicide,Italy,2014,0.8
Intentional homicide,Italy,2015,0.77
Intentional homicide,Italy,2016,0.67
Intentional homicide,Italy,2017,0.62
Intentional homicide,Italy,2018,0.59
Intentional homicide,Italy,2019,0.53
Intentional homicide,Italy,2020,0.48
Intentional homicide,Italy,2021,0.51
Intentional homicide,Italy,2022,0.55
Intentional homicide,Liechtenstein,2008,2.83
Intentional homicide,Liechtenstein,2009,0.0
Intentional homicide,Liechtenstein,2010,2.79
Intentional homicide,Liechtenstein,2011,0.0
Intentional homicide,Liechtenstein,2012,0.0
Intentional homicide,Liechtenstein,2013,0.0
Intentional homicide,Liechtenstein,2014,2.69
Intentional homicide,Liechtenstein,2015,0.0
Intentional homicide,Liechtenstein,2016,0.0
Intentional homicide,Liechtenstein,2017,2.64
Intentional homicide,Liechtenstein,2018,2.62
Intentional homicide,Liechtenstein,2019,0.0
Intentional homicide,Liechtenstein,2020,2.58
Intentional homicide,Liechtenstein,2022,0.0
Intentional homicide,Lithuania,2008,8.9
Intentional homicide,Lithuania,2009,7.54
Intentional homicide,Lithuania,2010,6.33
Intentional homicide,Lithuania,2011,6.19
Intentional homicide,Lithuania,2012,6.03
Intentional homicide,Lithuania,2013,5.79
Intentional homicide,Lithuania,2014,5.27
Intentional homicide,Lithuania,2015,5.75
Intentional homicide,Lithuania,2016,4.92
Intentional homicide,Lithuania,2017,3.97
Intentional homicide,Lithuania,2018,3.45
Intentional homicide,Lithuania,2019,3.01
Intentional homicide,Lithuania,2020,3.54
Intentional homicide,Lithuania,2021,2.5
Intentional homicide,Lithuania,2022,2.21
Intentional homicide,Luxembourg,2008,1.45
Intentional homicide,Luxembourg,2009,1.01
Intentional homicide,Luxembourg,2010,1.59
Intentional homicide,Luxembourg,2011,0.78
Intentional homicide,Luxembourg,2012,0.57
Intentional homicide,Luxembourg,2013,0.37
Intentional homicide,Luxembourg,2014,0.73
Intentional homicide,Luxembourg,2015,0.89
Intentional homicide,Luxembourg,2016,0.87
Intentional homicide,Luxembourg,2017,0.34
Intentional homicide,Luxembourg,2018,0.5
Intentional homicide,Luxembourg,2019,0.65
Intentional homicide,Luxembourg,2020,0.32
Intentional homicide,Luxembourg,2021,0.47
Intentional homicide,Luxembourg,2022,1.39
Intentional homicide,Latvia,2008,4.52
Intentional homicide,Latvia,2009,4.99
Intentional homicide,Latvia,2010,3.3
Intentional homicide,Latvia,2011,3.33
Intentional homicide,Latvia,2012,4.74
Intentional homicide,Latvia,2013,3.41
Intentional homicide,Latvia,2014,3.85
Intentional homicide,Latvia,2015,4.08
Intentional homicide,Latvia,2016,5.64
Intentional homicide,Latvia,2017,5.59
Intentional homicide,Latvia,2018,5.22
Intentional homicide,Latvia,2019,4.74
Intentional homicide,Latvia,2020,4.88
Intentional homicide,Latvia,2021,5.18
Intentional homicide,Latvia,2022,4.05
Intentional homicide,Montenegro,2008,3.57
Intentional homicide,Montenegro,2009,1.62
Intentional homicide,Montenegro,2010,2.1
Intentional homicide,Montenegro,2011,3.07
Intentional homicide,Montenegro,2012,2.42
Intentional homicide,Montenegro,2013,1.45
Intentional homicide,Montenegro,2014,3.06
Intentional homicide,Montenegro,2015,2.73
Intentional homicide,Montenegro,2016,3.86
Intentional homicide,Montenegro,2017,1.77
Intentional homicide,Montenegro,2018,2.09
Intentional homicide,Montenegro,2019,3.38
Intentional homicide,Montenegro,2020,2.57
Intentional homicide,Montenegro,2021,2.26
Intentional homicide,Montenegro,2022,1.13
Intentional homicide,North Macedonia,2008,1.71
Intentional homicide,North Macedonia,2009,1.71
Intentional homicide,North Macedonia,2010,1.9
Intentional homicide,North Macedonia,2011,1.31
Intentional homicide,North Macedonia,2012,1.36
Intentional homicide,North Macedonia,2013,0.97
Intentional homicide,North Macedonia,2014,1.21
Intentional homicide,North Macedonia,2015,1.01
Intentional homicide,North Macedonia,2016,0.82
Intentional homicide,North Macedonia,2017,1.21
Intentional homicide,North Macedonia,2019,1.06
Intentional homicide,North Macedonia,2020,0.48
Intentional homicide,North Macedonia,2021,0.63
Intentional homicide,North Macedonia,2022,0.98
Intentional homicide,Malta,2008,1.47
Intentional homicide,Malta,2009,0.97
Intentional homicide,Malta,2010,0.97
Intentional homicide,Malta,2011,0.72
Intentional homicide,Malta,2012,2.39
Intentional homicide,Malta,2013,1.42
Intentional homicide,Malta,2014,1.41
Intentional homicide,Malta,2015,0.93
Intentional homicide,Malta,2016,1.11
Intentional homicide,Malta,2017,1.96
Intentional homicide,Malta,2018,1.26
Intentional homicide,Malta,2019,0.81
Intentional homicide,Malta,2020,1.17
Intentional homicide,Malta,2021,0.39
Intentional homicide,Malta,2022,1.54
Intentional homicide,Netherlands,2008,0.91
Intentional homicide,Netherlands,2009,0.93
Intentional homicide,Netherlands,2013,0.88
Intentional homicide,Netherlands,2014,0.86
Intentional homicide,Netherlands,2015,0.71
Intentional homicide,Netherlands,2016,0.64
Intentional homicide,Netherlands,2017,0.92
Intentional homicide,Netherlands,2018,0.69
Intentional homicide,Netherlands,2019,0.72
Intentional homicide,Netherlands,2020,0.7
Intentional homicide,Netherlands,2021,0.72
Intentional homicide,Netherlands,2022,0.81
Intentional homicide,Norway,2008,0.72
Intentional homicide,Norway,2009,0.6
Intentional homicide,Norway,2010,0.6
Intentional homicide,Norway,2011,2.26
Intentional homicide,Norway,2012,0.54
Intentional homicide,Norway,2013,0.93
Intentional homicide,Norway,2014,0.57
Intentional homicide,Norway,2015,0.46
Intentional homicide,Norway,2016,0.52
Intentional homicide,Norway,2017,0.53
Intentional homicide,Norway,2018,0.47
Intentional homicide,Norway,2019,0.53
Intentional homicide,Norway,2020,0.58
Intentional homicide,Norway,2021,0.54
Intentional homicide,Norway,2022,0.55
Intentional homicide,Poland,2008,1.21
Intentional homicide,Poland,2009,1.29
Intentional homicide,Poland,2010,1.15
Intentional homicide,Poland,2011,1.18
Intentional homicide,Poland,2012,0.99
Intentional homicide,Poland,2013,0.78
Intentional homicide,Poland,2014,0.74
Intentional homicide,Poland,2015,0.76
Intentional homicide,Poland,2016,0.67
Intentional homicide,Poland,2017,0.73
Intentional homicide,Poland,2018,0.7
Intentional homicide,Poland,2019,0.54
Intentional homicide,Poland,2020,0.69
Intentional homicide,Poland,2021,0.7
Intentional homicide,Poland,2022,0.69
Intentional homicide,Portugal,2008,1.17
Intentional homicide,Portugal,2009,1.23
Intentional homicide,Portugal,2010,1.17
Intentional homicide,Portugal,2011,1.08
Intentional homicide,Portugal,2012,1.16
Intentional homicide,Portugal,2013,1.37
Intentional homicide,Portugal,2014,0.88
Intentional homicide,Portugal,2015,0.96
Intentional homicide,Portugal,2016,0.64
Intentional homicide,Portugal,2017,0.74
Intentional homicide,Portugal,2018,0.79
Intentional homicide,Portugal,2019,0.71
Intentional homicide,Portugal,2020,0.79
Intentional homicide,Portugal,2021,0.8
Intentional homicide,Portugal,2022,0.72
Intentional homicide,Romania,2008,2.28
Intentional homicide,Romania,2009,1.94
Intentional homicide,Romania,2010,1.88
Intentional homicide,Romania,2011,1.56
Intentional homicide,Romania,2012,1.88
Intentional homicide,Romania,2013,1.68
Intentional homicide,Romania,2014,1.49
Intentional homicide,Romania,2015,1.46
Intentional homicide,Romania,2016,1.25
Intentional homicide,Romania,2017,1.3
Intentional homicide,Romania,2018,1.37
Intentional homicide,Romania,2019,1.31
Intentional homicide,Romania,2020,1.32
Intentional homicide,Romania,2021,0.99
Intentional homicide,Romania,2022,0.91
Intentional homicide,Serbia,2008,1.74
Intentional homicide,Serbia,2009,1.85
Intentional homicide,Serbia,2010,1.56
Intentional homicide,Serbia,2011,1.57
Intentional homicide,Serbia,2012,1.44
Intentional homicide,Serbia,2013,1.84
Intentional homicide,Serbia,2014,1.6
Intentional homicide,Serbia,2015,1.35
Intentional homicide,Serbia,2016,1.5
Intentional homicide,Serbia,2017,1.12
Intentional homicide,Serbia,2018,1.49
Intentional homicide,Serbia,2019,1.15
Intentional homicide,Serbia,2020,1.1
Intentional homicide,Serbia,2021,1.06
Intentional homicide,Serbia,2022,1.03
Intentional homicide,Sweden,2008,0.89
Intentional homicide,Sweden,2009,1.0
Intentional homicide,Sweden,2010,0.97
Intentional homicide,Sweden,2011,0.86
Intentional homicide,Sweden,2012,0.72
Intentional homicide,Sweden,2013,0.91
Intentional homicide,Sweden,2014,0.9
Intentional homicide,Sweden,2015,1.15
Intentional homicide,Sweden,2016,1.08
Intentional homicide,Sweden,2017,1.13
Intentional homicide,Sweden,2018,1.07
Intentional homicide,Sweden,2019,1.09
Intentional homicide,Sweden,2020,1.2
Intentional homicide,Sweden,2021,1.09
Intentional homicide,Sweden,2022,1.11
Intentional homicide,Slovenia,2008,0.55
Intentional homicide,Slovenia,2009,0.64
Intentional homicide,Slovenia,2010,0.54
Intentional homicide,Slovenia,2011,0.83
Intentional homicide,Slovenia,2012,0.68
Intentional homicide,Slovenia,2013,0.58
Intentional homicide,Slovenia,2014,0.82
Intentional homicide,Slovenia,2015,0.97
Intentional homicide,Slovenia,2016,0.48
Intentional homicide,Slovenia,2017,0.92
Intentional homicide,Slovenia,2018,0.44
Intentional homicide,Slovenia,2019,0.67
Intentional homicide,Slovenia,2020,0.52
Intentional homicide,Slovenia,2021,0.43
Intentional homicide,Slovenia,2022,0.62
Intentional homicide,Slovakia,2008,1.75
Intentional homicide,Slovakia,2009,1.56
Intentional homicide,Slovakia,2010,1.65
Intentional homicide,Slovakia,2011,1.78
Intentional homicide,Slovakia,2012,1.39
Intentional homicide,Slovakia,2013,1.44
Intentional homicide,Slovakia,2014,1.33
Intentional homicide,Slovakia,2015,0.89
Intentional homicide,Slovakia,2016,1.11
Intentional homicide,Slovakia,2017,1.47
Intentional homicide,Slovakia,2018,1.23
Intentional homicide,Slovakia,2019,1.39
Intentional homicide,Slovakia,2020,1.15
Intentional homicide,Slovakia,2021,1.01
Intentional homicide,Slovakia,2022,0.77
Intentional homicide,Türkiye,2009,2.92
Intentional homicide,Türkiye,2010,2.43
Intentional homicide,Türkiye,2011,2.29
Intentional homicide,Türkiye,2012,2.42
Intentional homicide,Türkiye,2018,2.43
Intentional homicide,Türkiye,2019,2.24
Intentional homicide,Türkiye,2020,2.36
Intentional homicide,Türkiye,2021,2.35
Intentional homicide,Türkiye,2022,2.46
Intentional homicide,England and Wales,2008,1.17
Intentional homicide,England and Wales,2009,1.08
Intentional homicide,England and Wales,2010,1.14
Intentional homicide,England and Wales,2011,0.94
Intentional homicide,England and Wales,2012,0.97
Intentional homicide,England and Wales,2013,0.92
Intentional homicide,England and Wales,2014,0.89
Intentional homicide,England and Wales,2015,0.95
Intentional homicide,England and Wales,2016,1.16
Intentional homicide,England and Wales,2017,1.2
Intentional homicide,England and Wales,2018,1.14
Intentional homicide,Scotland (NUTS 2021),2008,1.83
Intentional homicide,Scotland (NUTS 2021),2009,1.61
Intentional homicide,Scotland (NUTS 2021),2010,1.91
Intentional homicide,Scotland (NUTS 2021),2011,1.76
Intentional homicide,Scotland (NUTS 2021),2012,1.19
Intentional homicide,Scotland (NUTS 2021),2013,1.15
Intentional homicide,Scotland (NUTS 2021),2014,1.16
Intentional homicide,Scotland (NUTS 2021),2015,1.1
Intentional homicide,Scotland (NUTS 2021),2016,1.15
Intentional homicide,Scotland (NUTS 2021),2017,1.09
Intentional homicide,Scotland (NUTS 2021),2018,1.1
Intentional homicide,Northern Ireland (UK) (NUTS 2021),2008,1.36
Intentional homicide,Northern Ireland (UK) (NUTS 2021),2009,1.62
Intentional homicide,Northern Ireland (UK) (NUTS 2021),2010,1.28
Intentional homicide,Northern Ireland (UK) (NUTS 2021),2011,1.27
Intentional homicide,Northern Ireland (UK) (NUTS 2021),2012,1.15
Intentional homicide,Northern Ireland (UK) (NUTS 2021),2013,1.09
Intentional homicide,Northern Ireland (UK) (NUTS 2021),2014,0.93
Intentional homicide,Northern Ireland (UK) (NUTS 2021),2015,1.3
Intentional homicide,Northern Ireland (UK) (NUTS 2021),2016,0.97
Intentional homicide,Northern Ireland (UK) (NUTS 2021),2017,1.29
Intentional homicide,Northern Ireland (UK) (NUTS 2021),2018,1.23
Intentional homicide,Kosovo*,2008,5.25
Intentional homicide,Kosovo*,2009,3.35
Intentional homicide,Kosovo*,2010,4.8
Intentional homicide,Kosovo*,2011,3.46
Intentional homicide,Kosovo*,2016,1.64
Intentional homicide,Kosovo*,2017,1.85
Intentional homicide,Kosovo*,2018,2.39
Intentional homicide,Kosovo*,2019,1.28
Intentional homicide,Kosovo*,2020,1.57
Attempted intentional homicide,Albania,2008,7.63
Attempted intentional homicide,Albania,2009,7.25
Attempted intentional homicide,Albania,2011,7.56
Attempted intentional homicide,Albania,2014,6.25
Attempted intentional homicide,Albania,2015,4.78
Attempted intentional homicide,Albania,2016,4.57
Attempted intentional homicide,Albania,2017,4.48
Attempted intentional homicide,Albania,2018,3.97
Attempted intentional homicide,Albania,2019,3.25
Attempted intentional homicide,Albania,2020,4.01
Attempted intentional homicide,Albania,2021,3.57
Attempted intentional homicide,Albania,2022,3.33
Attempted intentional homicide,Austria,2008,0.7
Attempted intentional homicide,Austria,2009,1.22
Attempted intentional homicide,Austria,2010,1.34
Attempted intentional homicide,Austria,2011,1.25
Attempted intentional homicide,Austria,2012,1.3
Attempted intentional homicide,Austria,2013,1.24
Attempted intentional homicide,Austria,2014,0.82
Attempted intentional homicide,Austria,2015,1.12
Attempted intentional homicide,Austria,2016,1.14
Attempted intentional homicide,Austria,2017,1.72
Attempted intentional homicide,Austria,2018,1.48
Attempted intentional homicide,Austria,2019,1.93
Attempted intentional homicide,Austria,2020,1.49
Attempted intentional homicide,Austria,2021,1.35
Attempted intentional homicide,Austria,2022,1.49
Attempted intentional homicide,Bosnia and Herzegovina,2008,2.39
Attempted intentional homicide,Bosnia and Herzegovina,2010,1.74
Attempted intentional homicide,Bosnia and Herzegovina,2011,1.3
Attempted intentional homicide,Bosnia and Herzegovina,2012,1.22
Attempted intentional homicide,Belgium,2008,6.39
Attempted intentional homicide,Belgium,2009,6.94
Attempted intentional homicide,Belgium,2010,7.03
Attempted intentional homicide,Belgium,2011,7.8
Attempted intentional homicide,Belgium,2012,7.55
Attempted intentional homicide,Belgium,2013,7.26
Attempted intentional homicide,Belgium,2014,7.59
Attempted intentional homicide,Belgium,2015,7.83
Attempted intentional homicide,Belgium,2016,7.79
Attempted intentional homicide,Belgium,2017,8.55
Attempted intentional homicide,Belgium,2018,9.01
Attempted intentional homicide,Belgium,2019,8.95
Attempted intentional homicide,Belgium,2020,8.83
Attempted intentional homicide,Belgium,2021,9.11
Attempted intentional homicide,Belgium,2022,10.29
Attempted intentional homicide,Bulgaria,2008,0.8
Attempted intentional homicide,Bulgaria,2009,0.88
Attempted intentional homicide,Bulgaria,2010,0.84
Attempted intentional homicide,Bulgaria,2011,0.83
Attempted intentional homicide,Bulgaria,2012,0.61
Attempted intentional homicide,Bulgaria,2013,0.92
Attempted intentional homicide,Bulgaria,2014,0.63
Attempted intentional homicide,Bulgaria,2015,0.46
Attempted intentional homicide,Bulgaria,2016,1.06
Attempted intentional homicide,Bulgaria,2017,0.44
Attempted intentional homicide,Bulgaria,2018,0.65
Attempted intentional homicide,Bulgaria,2019,0.54
Attempted intentional homicide,Bulgaria,2020,0.46
Attempted intentional homicide,Bulgaria,2021,0.4
Attempted intentional homicide,Bulgaria,2022,0.67
Attempted intentional homicide,Switzerland,2008,1.46
Attempted intentional homicide,Switzerland,2009,2.4
Attempted intentional homicide,Switzerland,2010,2.4
Attempted intentional homicide,Switzerland,2011,2.34
Attempted intentional homicide,Switzerland,2012,2.31
Attempted intentional homicide,Switzerland,2013,1.89
Attempted intentional homicide,Switzerland,2014,1.62
Attempted intentional homicide,Switzerland,2015,1.71
Attempted intentional homicide,Switzerland,2016,2.25
Attempted intentional homicide,Switzerland,2017,2.27
Attempted intentional homicide,Switzerland,2018,1.76
Attempted intentional homicide,Switzerland,2019,1.88
Attempted intentional homicide,Switzerland,2020,2.39
Attempted intentional homicide,Switzerland,2021,2.12
Attempted intentional homicide,Switzerland,2022,2.23
Attempted intentional homicide,Cyprus,2008,1.67
Attempted intentional homicide,Cyprus,2009,2.38
Attempted intentional homicide,Cyprus,2010,1.34
Attempted intentional homicide,Cyprus,2011,1.55
Attempted intentional homicide,Cyprus,2012,1.39
Attempted intentional homicide,Cyprus,2013,0.92
Attempted intentional homicide,Cyprus,2014,1.17
Attempted intentional homicide,Cyprus,2015,1.3
Attempted intentional homicide,Cyprus,2016,0.83
Attempted intentional homicide,Cyprus,2017,1.17
Attempted intentional homicide,Cyprus,2018,0.93
Attempted intentional homicide,Cyprus,2019,1.71
Attempted intentional homicide,Cyprus,2020,1.8
