citizen,lev_perc,geo,TIME_PERIOD,OBS_VALUE
EU27 countries (from 2020) except reporting country,Bad,Iceland,2018,1.0
EU27 countries (from 2020) except reporting country,Bad,Iceland,2019,3.3
EU27 countries (from 2020) except reporting country,Bad,Iceland,2020,3.5
EU27 countries (from 2020) except reporting country,Bad,Italy,2015,4.3
EU27 countries (from 2020) except reporting country,Bad,Italy,2016,1.8
EU27 countries (from 2020) except reporting country,Bad,Italy,2017,1.3
EU27 countries (from 2020) except reporting country,Bad,Italy,2018,1.7
EU27 countries (from 2020) except reporting country,Bad,Italy,2019,1.0
EU27 countries (from 2020) except reporting country,Bad,Italy,2021,2.7
EU27 countries (from 2020) except reporting country,Bad,Italy,2022,2.8
EU27 countries (from 2020) except reporting country,Bad,Italy,2023,1.5
EU27 countries (from 2020) except reporting country,Bad,Italy,2024,1.5
EU27 countries (from 2020) except reporting country,Bad,Luxembourg,2015,8.0
EU27 countries (from 2020) except reporting country,Bad,Luxembourg,2016,7.6
EU27 countries (from 2020) except reporting country,Bad,Luxembourg,2017,8.0
EU27 countries (from 2020) except reporting country,Bad,Luxembourg,2018,8.6
EU27 countries (from 2020) except reporting country,Bad,Luxembourg,2019,7.6
EU27 countries (from 2020) except reporting country,Bad,Luxembourg,2020,7.1
EU27 countries (from 2020) except reporting country,Bad,Luxembourg,2021,5.6
EU27 countries (from 2020) except reporting country,Bad,Luxembourg,2022,5.3
EU27 countries (from 2020) except reporting country,Bad,Luxembourg,2023,4.4
EU27 countries (from 2020) except reporting country,Bad,Luxembourg,2024,6.5
EU27 countries (from 2020) except reporting country,Bad,Latvia,2015,9.5
EU27 countries (from 2020) except reporting country,Bad,Latvia,2016,9.7
EU27 countries (from 2020) except reporting country,Bad,Latvia,2017,14.2
EU27 countries (from 2020) except reporting country,Bad,Latvia,2018,10.1
EU27 countries (from 2020) except reporting country,Bad,Latvia,2019,13.5
EU27 countries (from 2020) except reporting country,Bad,Latvia,2020,10.1
EU27 countries (from 2020) except reporting country,Bad,Latvia,2021,11.2
EU27 countries (from 2020) except reporting country,Bad,Latvia,2022,4.9
EU27 countries (from 2020) except reporting country,Bad,Latvia,2023,9.1
EU27 countries (from 2020) except reporting country,Bad,Latvia,2024,4.2
EU27 countries (from 2020) except reporting country,Bad,Montenegro,2015,14.6
EU27 countries (from 2020) except reporting country,Bad,Montenegro,2016,4.3
EU27 countries (from 2020) except reporting country,Bad,Montenegro,2017,34.1
EU27 countries (from 2020) except reporting country,Bad,Montenegro,2018,21.9
EU27 countries (from 2020) except reporting country,Bad,Montenegro,2019,14.0
EU27 countries (from 2020) except reporting country,Bad,Montenegro,2020,15.7
EU27 countries (from 2020) except reporting country,Bad,Montenegro,2021,10.3
EU27 countries (from 2020) except reporting country,Bad,Montenegro,2022,8.9
EU27 countries (from 2020) except reporting country,Bad,North Macedonia,2018,38.9
EU27 countries (from 2020) except reporting country,Bad,North Macedonia,2019,0.0
EU27 countries (from 2020) except reporting country,Bad,Malta,2015,0.9
EU27 countries (from 2020) except reporting country,Bad,Malta,2016,0.0
EU27 countries (from 2020) except reporting country,Bad,Malta,2017,0.0
EU27 countries (from 2020) except reporting country,Bad,Malta,2018,2.5
EU27 countries (from 2020) except reporting country,Bad,Malta,2019,2.1
EU27 countries (from 2020) except reporting country,Bad,Malta,2020,0.0
EU27 countries (from 2020) except reporting country,Bad,Malta,2021,0.2
EU27 countries (from 2020) except reporting country,Bad,Malta,2022,2.2
EU27 countries (from 2020) except reporting country,Bad,Malta,2023,0.8
EU27 countries (from 2020) except reporting country,Bad,Netherlands,2015,0.9
EU27 countries (from 2020) except reporting country,Bad,Netherlands,2016,5.6
EU27 countries (from 2020) except reporting country,Bad,Netherlands,2017,4.7
EU27 countries (from 2020) except reporting country,Bad,Netherlands,2018,1.7
EU27 countries (from 2020) except reporting country,Bad,Netherlands,2019,4.2
EU27 countries (from 2020) except reporting country,Bad,Netherlands,2020,4.7
EU27 countries (from 2020) except reporting country,Bad,Netherlands,2021,3.1
EU27 countries (from 2020) except reporting country,Bad,Netherlands,2022,7.0
EU27 countries (from 2020) except reporting country,Bad,Netherlands,2023,16.6
EU27 countries (from 2020) except reporting country,Bad,Netherlands,2024,8.4
EU27 countries (from 2020) except reporting country,Bad,Norway,2015,3.0
EU27 countries (from 2020) except reporting country,Bad,Norway,2016,3.8
EU27 countries (from 2020) except reporting country,Bad,Norway,2017,3.1
EU27 countries (from 2020) except reporting country,Bad,Norway,2018,4.6
EU27 countries (from 2020) except reporting country,Bad,Norway,2019,3.2
EU27 countries (from 2020) except reporting country,Bad,Norway,2020,5.0
EU27 countries (from 2020) except reporting country,Bad,Norway,2021,5.7
EU27 countries (from 2020) except reporting country,Bad,Norway,2022,4.4
EU27 countries (from 2020) except reporting country,Bad,Norway,2023,7.6
EU27 countries (from 2020) except reporting country,Bad,Norway,2024,6.1
EU27 countries (from 2020) except reporting country,Bad,Poland,2017,6.9
EU27 countries (from 2020) except reporting country,Bad,Poland,2018,4.3
EU27 countries (from 2020) except reporting country,Bad,Poland,2019,3.0
EU27 countries (from 2020) except reporting country,Bad,Poland,2020,4.6
EU27 countries (from 2020) except reporting country,Bad,Poland,2021,2.2
EU27 countries (from 2020) except reporting country,Bad,Poland,2022,2.6
EU27 countries (from 2020) except reporting country,Bad,Poland,2023,2.3
EU27 countries (from 2020) except reporting country,Bad,Portugal,2015,2.1
EU27 countries (from 2020) except reporting country,Bad,Portugal,2016,3.9
EU27 countries (from 2020) except reporting country,Bad,Portugal,2017,0.8
EU27 countries (from 2020) except reporting country,Bad,Portugal,2018,5.0
EU27 countries (from 2020) except reporting country,Bad,Portugal,2019,6.3
EU27 countries (from 2020) except reporting country,Bad,Portugal,2020,7.0
EU27 countries (from 2020) except reporting country,Bad,Portugal,2021,9.7
EU27 countries (from 2020) except reporting country,Bad,Portugal,2022,13.8
EU27 countries (from 2020) except reporting country,Bad,Portugal,2023,13.8
EU27 countries (from 2020) except reporting country,Bad,Serbia,2015,18.4
EU27 countries (from 2020) except reporting country,Bad,Serbia,2016,13.1
EU27 countries (from 2020) except reporting country,Bad,Serbia,2017,21.4
EU27 countries (from 2020) except reporting country,Bad,Serbia,2018,10.7
EU27 countries (from 2020) except reporting country,Bad,Serbia,2019,18.2
EU27 countries (from 2020) except reporting country,Bad,Serbia,2020,31.0
EU27 countries (from 2020) except reporting country,Bad,Serbia,2021,8.7
EU27 countries (from 2020) except reporting country,Bad,Serbia,2022,16.9
EU27 countries (from 2020) except reporting country,Bad,Serbia,2023,9.6
EU27 countries (from 2020) except reporting country,Bad,Sweden,2015,2.8
EU27 countries (from 2020) except reporting country,Bad,Sweden,2016,4.2
EU27 countries (from 2020) except reporting country,Bad,Sweden,2017,4.2
EU27 countries (from 2020) except reporting country,Bad,Sweden,2018,5.6
EU27 countries (from 2020) except reporting country,Bad,Sweden,2019,4.7
EU27 countries (from 2020) except reporting country,Bad,Sweden,2020,2.4
EU27 countries (from 2020) except reporting country,Bad,Sweden,2021,4.9
EU27 countries (from 2020) except reporting country,Bad,Sweden,2022,3.8
EU27 countries (from 2020) except reporting country,Bad,Sweden,2023,2.8
EU27 countries (from 2020) except reporting country,Bad,Sweden,2024,4.7
EU27 countries (from 2020) except reporting country,Bad,Slovenia,2015,6.1
EU27 countries (from 2020) except reporting country,Bad,Slovenia,2016,0.9
EU27 countries (from 2020) except reporting country,Bad,Slovenia,2017,9.6
EU27 countries (from 2020) except reporting country,Bad,Slovenia,2018,9.7
EU27 countries (from 2020) except reporting country,Bad,Slovenia,2019,8.3
EU27 countries (from 2020) except reporting country,Bad,Slovenia,2020,4.1
EU27 countries (from 2020) except reporting country,Bad,Slovenia,2021,2.4
EU27 countries (from 2020) except reporting country,Bad,Slovenia,2022,2.5
EU27 countries (from 2020) except reporting country,Bad,Slovenia,2023,1.7
EU27 countries (from 2020) except reporting country,Bad,Slovenia,2024,2.7
EU27 countries (from 2020) except reporting country,Bad,Slovakia,2015,3.6
EU27 countries (from 2020) except reporting country,Bad,Slovakia,2016,3.0
EU27 countries (from 2020) except reporting country,Bad,Slovakia,2017,9.0
EU27 countries (from 2020) except reporting country,Bad,Slovakia,2018,9.6
EU27 countries (from 2020) except reporting country,Bad,Slovakia,2019,22.6
EU27 countries (from 2020) except reporting country,Bad,Slovakia,2020,15.5
EU27 countries (from 2020) except reporting country,Bad,Slovakia,2021,33.3
EU27 countries (from 2020) except reporting country,Bad,Slovakia,2022,12.8
EU27 countries (from 2020) except reporting country,Bad,Slovakia,2023,0.0
EU27 countries (from 2020) except reporting country,Bad,Türkiye,2015,6.9
EU27 countries (from 2020) except reporting country,Bad,Türkiye,2016,1.5
EU27 countries (from 2020) except reporting country,Bad,Türkiye,2017,2.3
EU27 countries (from 2020) except reporting country,Bad,Türkiye,2018,8.2
EU27 countries (from 2020) except reporting country,Bad,Türkiye,2019,0.0
EU27 countries (from 2020) except reporting country,Bad,Türkiye,2021,0.0
EU27 countries (from 2020) except reporting country,Bad,Türkiye,2022,10.2
EU27 countries (from 2020) except reporting country,Bad,Türkiye,2023,2.1
EU27 countries (from 2020) except reporting country,Bad,United Kingdom,2015,4.6
EU27 countries (from 2020) except reporting country,Bad,United Kingdom,2016,3.1
EU27 countries (from 2020) except reporting country,Bad,United Kingdom,2017,2.9
EU27 countries (from 2020) except reporting country,Bad,United Kingdom,2018,2.2
EU27 countries (from 2020) except reporting country,Bad,Kosovo*,2018,0.3
EU27 countries (from 2020) except reporting country,Bad or very bad,Albania,2021,0.0
EU27 countries (from 2020) except reporting country,Bad or very bad,Austria,2015,5.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Austria,2016,6.0
EU27 countries (from 2020) except reporting country,Bad or very bad,Austria,2017,5.1
EU27 countries (from 2020) except reporting country,Bad or very bad,Austria,2018,7.7
EU27 countries (from 2020) except reporting country,Bad or very bad,Austria,2019,7.5
EU27 countries (from 2020) except reporting country,Bad or very bad,Austria,2020,7.8
EU27 countries (from 2020) except reporting country,Bad or very bad,Austria,2021,4.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Austria,2022,6.3
EU27 countries (from 2020) except reporting country,Bad or very bad,Austria,2023,5.8
EU27 countries (from 2020) except reporting country,Bad or very bad,Belgium,2015,13.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Belgium,2016,12.2
EU27 countries (from 2020) except reporting country,Bad or very bad,Belgium,2017,9.1
EU27 countries (from 2020) except reporting country,Bad or very bad,Belgium,2018,9.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Belgium,2019,10.7
EU27 countries (from 2020) except reporting country,Bad or very bad,Belgium,2020,7.9
EU27 countries (from 2020) except reporting country,Bad or very bad,Belgium,2021,8.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Belgium,2022,7.0
EU27 countries (from 2020) except reporting country,Bad or very bad,Belgium,2023,7.3
EU27 countries (from 2020) except reporting country,Bad or very bad,Belgium,2024,9.0
EU27 countries (from 2020) except reporting country,Bad or very bad,Bulgaria,2015,28.9
EU27 countries (from 2020) except reporting country,Bad or very bad,Bulgaria,2016,10.8
EU27 countries (from 2020) except reporting country,Bad or very bad,Bulgaria,2017,9.9
EU27 countries (from 2020) except reporting country,Bad or very bad,Bulgaria,2018,8.2
EU27 countries (from 2020) except reporting country,Bad or very bad,Bulgaria,2021,6.9
EU27 countries (from 2020) except reporting country,Bad or very bad,Bulgaria,2022,14.0
EU27 countries (from 2020) except reporting country,Bad or very bad,Bulgaria,2024,10.5
EU27 countries (from 2020) except reporting country,Bad or very bad,Switzerland,2015,5.6
EU27 countries (from 2020) except reporting country,Bad or very bad,Switzerland,2016,5.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Switzerland,2017,4.3
EU27 countries (from 2020) except reporting country,Bad or very bad,Switzerland,2018,5.8
EU27 countries (from 2020) except reporting country,Bad or very bad,Switzerland,2019,5.6
EU27 countries (from 2020) except reporting country,Bad or very bad,Switzerland,2020,5.7
EU27 countries (from 2020) except reporting country,Bad or very bad,Switzerland,2021,5.0
EU27 countries (from 2020) except reporting country,Bad or very bad,Switzerland,2022,5.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Switzerland,2023,4.9
EU27 countries (from 2020) except reporting country,Bad or very bad,Cyprus,2015,2.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Cyprus,2016,2.2
EU27 countries (from 2020) except reporting country,Bad or very bad,Cyprus,2017,2.6
EU27 countries (from 2020) except reporting country,Bad or very bad,Cyprus,2018,3.1
EU27 countries (from 2020) except reporting country,Bad or very bad,Cyprus,2019,2.9
EU27 countries (from 2020) except reporting country,Bad or very bad,Cyprus,2020,4.0
EU27 countries (from 2020) except reporting country,Bad or very bad,Cyprus,2021,1.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Cyprus,2022,2.1
EU27 countries (from 2020) except reporting country,Bad or very bad,Cyprus,2023,2.6
EU27 countries (from 2020) except reporting country,Bad or very bad,Cyprus,2024,1.7
EU27 countries (from 2020) except reporting country,Bad or very bad,Czechia,2015,2.9
EU27 countries (from 2020) except reporting country,Bad or very bad,Czechia,2016,5.7
EU27 countries (from 2020) except reporting country,Bad or very bad,Czechia,2017,6.5
EU27 countries (from 2020) except reporting country,Bad or very bad,Czechia,2018,3.7
EU27 countries (from 2020) except reporting country,Bad or very bad,Czechia,2019,2.1
EU27 countries (from 2020) except reporting country,Bad or very bad,Czechia,2020,3.1
EU27 countries (from 2020) except reporting country,Bad or very bad,Czechia,2021,12.0
EU27 countries (from 2020) except reporting country,Bad or very bad,Czechia,2022,12.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Czechia,2023,4.3
EU27 countries (from 2020) except reporting country,Bad or very bad,Czechia,2024,4.0
EU27 countries (from 2020) except reporting country,Bad or very bad,Germany,2015,7.7
EU27 countries (from 2020) except reporting country,Bad or very bad,Germany,2016,6.6
EU27 countries (from 2020) except reporting country,Bad or very bad,Germany,2017,5.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Germany,2018,6.0
EU27 countries (from 2020) except reporting country,Bad or very bad,Germany,2019,6.8
EU27 countries (from 2020) except reporting country,Bad or very bad,Germany,2020,11.0
EU27 countries (from 2020) except reporting country,Bad or very bad,Germany,2021,8.9
EU27 countries (from 2020) except reporting country,Bad or very bad,Germany,2022,8.6
EU27 countries (from 2020) except reporting country,Bad or very bad,Germany,2023,7.0
EU27 countries (from 2020) except reporting country,Bad or very bad,Germany,2024,8.6
EU27 countries (from 2020) except reporting country,Bad or very bad,Denmark,2015,8.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Denmark,2016,11.0
EU27 countries (from 2020) except reporting country,Bad or very bad,Denmark,2017,6.6
EU27 countries (from 2020) except reporting country,Bad or very bad,Denmark,2018,14.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Denmark,2019,5.3
EU27 countries (from 2020) except reporting country,Bad or very bad,Denmark,2020,5.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Denmark,2021,4.7
EU27 countries (from 2020) except reporting country,Bad or very bad,Denmark,2022,9.2
EU27 countries (from 2020) except reporting country,Bad or very bad,Denmark,2023,6.5
EU27 countries (from 2020) except reporting country,Bad or very bad,Denmark,2024,7.8
EU27 countries (from 2020) except reporting country,Bad or very bad,Estonia,2015,20.9
EU27 countries (from 2020) except reporting country,Bad or very bad,Estonia,2016,4.8
EU27 countries (from 2020) except reporting country,Bad or very bad,Estonia,2017,21.1
EU27 countries (from 2020) except reporting country,Bad or very bad,Estonia,2018,15.2
EU27 countries (from 2020) except reporting country,Bad or very bad,Estonia,2019,5.6
EU27 countries (from 2020) except reporting country,Bad or very bad,Estonia,2020,5.1
EU27 countries (from 2020) except reporting country,Bad or very bad,Estonia,2021,8.7
EU27 countries (from 2020) except reporting country,Bad or very bad,Estonia,2022,4.1
EU27 countries (from 2020) except reporting country,Bad or very bad,Estonia,2023,9.6
EU27 countries (from 2020) except reporting country,Bad or very bad,Estonia,2024,13.6
EU27 countries (from 2020) except reporting country,Bad or very bad,Greece,2015,4.5
EU27 countries (from 2020) except reporting country,Bad or very bad,Greece,2016,4.5
EU27 countries (from 2020) except reporting country,Bad or very bad,Greece,2017,4.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Greece,2018,3.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Greece,2019,1.5
EU27 countries (from 2020) except reporting country,Bad or very bad,Greece,2020,4.2
EU27 countries (from 2020) except reporting country,Bad or very bad,Greece,2021,3.7
EU27 countries (from 2020) except reporting country,Bad or very bad,Greece,2022,4.8
EU27 countries (from 2020) except reporting country,Bad or very bad,Greece,2023,3.6
EU27 countries (from 2020) except reporting country,Bad or very bad,Spain,2015,4.9
EU27 countries (from 2020) except reporting country,Bad or very bad,Spain,2016,8.0
EU27 countries (from 2020) except reporting country,Bad or very bad,Spain,2017,5.8
EU27 countries (from 2020) except reporting country,Bad or very bad,Spain,2018,6.4
EU27 countries (from 2020) except reporting country,Bad or very bad,Spain,2019,5.2
EU27 countries (from 2020) except reporting country,Bad or very bad,Spain,2020,5.5
EU27 countries (from 2020) except reporting country,Bad or very bad,Spain,2021,4.9
EU27 countries (from 2020) except reporting country,Bad or very bad,Spain,2022,5.6
EU27 countries (from 2020) except reporting country,Bad or very bad,Spain,2023,6.7
