domain,isced11,geo,OBS_VALUE
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Italy,3.7
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Lithuania,4.8
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Luxembourg,5.1
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Latvia,4.4
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Montenegro,4.6
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),North Macedonia,4.4
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Malta,5.1
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Netherlands,6.1
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Norway,7.0
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Poland,4.1
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Portugal,3.1
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Romania,5.8
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Serbia,3.2
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Sweden,6.5
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Slovenia,2.6
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Slovakia,3.5
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Türkiye,4.9
Legal system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),United Kingdom,5.2
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Austria,6.6
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Belgium,5.5
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Bulgaria,3.6
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Switzerland,7.3
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Cyprus,3.7
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Czechia,4.4
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Germany,6.1
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Denmark,7.9
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Estonia,5.7
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Greece,4.2
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Spain,3.4
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Finland,7.6
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),France,5.2
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Croatia,3.8
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Hungary,5.5
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Ireland,5.5
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Iceland,6.2
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Italy,4.3
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Lithuania,5.2
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Luxembourg,6.1
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Latvia,4.9
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Montenegro,5.6
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),North Macedonia,5.2
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Malta,5.2
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Netherlands,6.8
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Norway,7.6
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Poland,4.6
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Portugal,3.4
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Romania,5.9
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Serbia,3.3
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Sweden,7.0
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Slovenia,3.0
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Slovakia,4.0
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Türkiye,4.5
Legal system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),United Kingdom,6.1
Legal system,All ISCED 2011 levels,Austria,6.0
Legal system,All ISCED 2011 levels,Belgium,5.0
Legal system,All ISCED 2011 levels,Bulgaria,3.0
Legal system,All ISCED 2011 levels,Switzerland,7.0
Legal system,All ISCED 2011 levels,Cyprus,3.6
Legal system,All ISCED 2011 levels,Czechia,3.8
Legal system,All ISCED 2011 levels,Germany,5.3
Legal system,All ISCED 2011 levels,Denmark,7.5
Legal system,All ISCED 2011 levels,Estonia,5.2
Legal system,All ISCED 2011 levels,Greece,4.1
Legal system,All ISCED 2011 levels,Spain,3.1
Legal system,All ISCED 2011 levels,Finland,7.2
Legal system,All ISCED 2011 levels,France,4.5
Legal system,All ISCED 2011 levels,Croatia,3.3
Legal system,All ISCED 2011 levels,Hungary,5.1
Legal system,All ISCED 2011 levels,Ireland,5.1
Legal system,All ISCED 2011 levels,Iceland,5.7
Legal system,All ISCED 2011 levels,Italy,3.6
Legal system,All ISCED 2011 levels,Lithuania,4.9
Legal system,All ISCED 2011 levels,Luxembourg,5.3
Legal system,All ISCED 2011 levels,Latvia,4.5
Legal system,All ISCED 2011 levels,Montenegro,4.8
Legal system,All ISCED 2011 levels,North Macedonia,4.4
Legal system,All ISCED 2011 levels,Malta,4.9
Legal system,All ISCED 2011 levels,Netherlands,6.2
Legal system,All ISCED 2011 levels,Norway,7.2
Legal system,All ISCED 2011 levels,Poland,4.2
Legal system,All ISCED 2011 levels,Portugal,2.9
Legal system,All ISCED 2011 levels,Romania,5.8
Legal system,All ISCED 2011 levels,Serbia,3.3
Legal system,All ISCED 2011 levels,Sweden,6.7
Legal system,All ISCED 2011 levels,Slovenia,2.7
Legal system,All ISCED 2011 levels,Slovakia,3.6
Legal system,All ISCED 2011 levels,Türkiye,5.2
Legal system,All ISCED 2011 levels,United Kingdom,5.4
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,7.1
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,5.8
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,3.2
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,7.5
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,4.8
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,4.6
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,6.1
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,7.7
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,5.8
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,5.2
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Spain,5.4
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Finland,8.0
Police,"Less than primary, primary and lower secondary education (levels 0-2)",France,5.5
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Hungary,5.4
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Ireland,7.0
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Iceland,7.5
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Italy,5.8
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Lithuania,6.0
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Luxembourg,5.8
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Latvia,5.2
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Montenegro,5.0
Police,"Less than primary, primary and lower secondary education (levels 0-2)",North Macedonia,4.8
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Malta,6.3
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Netherlands,6.4
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Norway,7.4
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Poland,5.0
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Portugal,5.3
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Romania,6.2
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Serbia,4.3
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Sweden,7.1
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Slovenia,5.4
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Slovakia,4.2
Police,"Less than primary, primary and lower secondary education (levels 0-2)",Türkiye,6.7
Police,"Less than primary, primary and lower secondary education (levels 0-2)",United Kingdom,6.2
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Austria,7.1
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Belgium,6.0
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Bulgaria,3.5
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Switzerland,7.3
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Cyprus,4.6
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Czechia,4.8
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Germany,6.2
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Denmark,7.9
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Estonia,5.9
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Greece,4.8
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Spain,5.5
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Finland,8.1
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),France,5.4
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Hungary,5.6
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Ireland,6.7
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Iceland,7.8
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Italy,5.8
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Lithuania,5.7
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Luxembourg,5.9
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Latvia,5.3
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Montenegro,5.0
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),North Macedonia,5.0
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Malta,6.3
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Netherlands,6.5
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Norway,7.4
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Poland,5.1
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Portugal,5.4
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Romania,6.4
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Serbia,4.1
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Sweden,6.9
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Slovenia,5.4
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Slovakia,4.2
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Türkiye,6.0
Police,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),United Kingdom,6.2
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Austria,7.3
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Belgium,6.4
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Bulgaria,4.1
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Switzerland,7.5
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Cyprus,4.6
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Czechia,5.4
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Germany,6.8
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Denmark,8.0
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Estonia,6.4
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Greece,4.7
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Spain,5.6
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Finland,8.4
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),France,6.0
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Hungary,5.9
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Ireland,7.0
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Iceland,7.8
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Italy,6.0
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Lithuania,6.1
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Luxembourg,6.4
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Latvia,5.7
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Montenegro,5.9
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),North Macedonia,5.9
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Malta,6.2
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Netherlands,6.9
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Norway,7.7
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Poland,5.5
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Portugal,5.6
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Romania,6.6
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Serbia,4.3
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Sweden,7.2
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Slovenia,5.7
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Slovakia,4.7
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Türkiye,5.5
Police,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),United Kingdom,6.8
Police,All ISCED 2011 levels,Austria,7.2
Police,All ISCED 2011 levels,Belgium,6.1
Police,All ISCED 2011 levels,Bulgaria,3.6
Police,All ISCED 2011 levels,Switzerland,7.4
Police,All ISCED 2011 levels,Cyprus,4.7
Police,All ISCED 2011 levels,Czechia,4.9
Police,All ISCED 2011 levels,Germany,6.3
Police,All ISCED 2011 levels,Denmark,7.9
Police,All ISCED 2011 levels,Estonia,6.0
Police,All ISCED 2011 levels,Greece,5.0
Police,All ISCED 2011 levels,Spain,5.5
Police,All ISCED 2011 levels,Finland,8.2
Police,All ISCED 2011 levels,France,5.6
Police,All ISCED 2011 levels,Hungary,5.6
Police,All ISCED 2011 levels,Ireland,6.9
Police,All ISCED 2011 levels,Iceland,7.7
Police,All ISCED 2011 levels,Italy,5.8
Police,All ISCED 2011 levels,Lithuania,5.9
Police,All ISCED 2011 levels,Luxembourg,6.0
Police,All ISCED 2011 levels,Latvia,5.4
Police,All ISCED 2011 levels,Montenegro,5.2
Police,All ISCED 2011 levels,North Macedonia,5.1
Police,All ISCED 2011 levels,Malta,6.3
Police,All ISCED 2011 levels,Netherlands,6.6
Police,All ISCED 2011 levels,Norway,7.5
Police,All ISCED 2011 levels,Poland,5.1
Police,All ISCED 2011 levels,Portugal,5.3
Police,All ISCED 2011 levels,Romania,6.4
Police,All ISCED 2011 levels,Serbia,4.2
Police,All ISCED 2011 levels,Sweden,7.0
Police,All ISCED 2011 levels,Slovenia,5.5
Police,All ISCED 2011 levels,Slovakia,4.3
Police,All ISCED 2011 levels,Türkiye,6.3
Police,All ISCED 2011 levels,United Kingdom,6.4
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,4.3
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,4.2
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2.4
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Switzerland,6.4
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2.7
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,3.5
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,4.5
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,5.3
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,4.2
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,1.9
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Spain,1.8
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Finland,5.5
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",France,2.8
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Croatia,2.7
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Hungary,4.3
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Ireland,2.8
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Iceland,3.3
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Italy,1.9
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Lithuania,4.4
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Luxembourg,4.6
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Latvia,3.4
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Montenegro,4.4
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",North Macedonia,4.1
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Malta,5.7
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Netherlands,5.0
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Norway,5.6
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Poland,3.4
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Portugal,1.5
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Romania,4.7
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Serbia,3.3
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Sweden,5.1
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Slovenia,1.6
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Slovakia,3.4
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",Türkiye,5.0
Political system,"Less than primary, primary and lower secondary education (levels 0-2)",United Kingdom,3.2
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Austria,4.3
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Belgium,4.4
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Bulgaria,2.5
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Switzerland,6.4
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Cyprus,2.5
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Czechia,3.6
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Germany,4.8
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Denmark,5.9
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Estonia,4.2
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Greece,2.0
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Spain,1.9
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Finland,5.8
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),France,2.8
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Croatia,2.8
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Hungary,4.4
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Ireland,3.1
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Iceland,3.5
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Italy,2.2
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Lithuania,4.3
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Luxembourg,4.9
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Latvia,3.4
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Montenegro,4.5
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),North Macedonia,4.4
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Malta,5.5
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Netherlands,5.4
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Norway,5.7
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Poland,3.3
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Portugal,1.8
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Romania,4.9
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Serbia,3.2
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Sweden,5.4
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Slovenia,1.7
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Slovakia,3.4
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Türkiye,4.6
Political system,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),United Kingdom,3.6
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Austria,4.9
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Belgium,5.0
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Bulgaria,3.1
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Switzerland,6.9
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Cyprus,2.6
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Czechia,4.4
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Germany,5.6
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Denmark,6.3
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Estonia,4.7
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Greece,2.1
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Spain,2.0
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),Finland,6.6
Political system,Short-cycle tertiary education and Bachelor's or equivalent level (levels 5 and 6),France,3.6
