iccs,unit,geo,TIME_PERIOD,OBS_VALUE
Intentional homicide,Number,Bosnia and Herzegovina,2020,42.0
Intentional homicide,Number,Bosnia and Herzegovina,2021,31.0
Intentional homicide,Number,Bosnia and Herzegovina,2022,34.0
Intentional homicide,Number,Belgium,2008,204.0
Intentional homicide,Number,Belgium,2009,189.0
Intentional homicide,Number,Belgium,2010,189.0
Intentional homicide,Number,Belgium,2011,214.0
Intentional homicide,Number,Belgium,2012,206.0
Intentional homicide,Number,Belgium,2013,204.0
Intentional homicide,Number,Belgium,2014,210.0
Intentional homicide,Number,Belgium,2015,231.0
Intentional homicide,Number,Belgium,2016,175.0
Intentional homicide,Number,Belgium,2017,198.0
Intentional homicide,Number,Belgium,2018,192.0
Intentional homicide,Number,Belgium,2019,147.0
Intentional homicide,Number,Belgium,2020,150.0
Intentional homicide,Number,Belgium,2021,154.0
Intentional homicide,Number,Belgium,2022,179.0
Intentional homicide,Number,Bulgaria,2008,172.0
Intentional homicide,Number,Bulgaria,2009,150.0
Intentional homicide,Number,Bulgaria,2010,148.0
Intentional homicide,Number,Bulgaria,2011,128.0
Intentional homicide,Number,Bulgaria,2012,141.0
Intentional homicide,Number,Bulgaria,2013,109.0
Intentional homicide,Number,Bulgaria,2014,112.0
Intentional homicide,Number,Bulgaria,2015,126.0
Intentional homicide,Number,Bulgaria,2016,79.0
Intentional homicide,Number,Bulgaria,2017,95.0
Intentional homicide,Number,Bulgaria,2018,92.0
Intentional homicide,Number,Bulgaria,2019,81.0
Intentional homicide,Number,Bulgaria,2020,67.0
Intentional homicide,Number,Bulgaria,2021,89.0
Intentional homicide,Number,Bulgaria,2022,76.0
Intentional homicide,Number,Switzerland,2008,54.0
Intentional homicide,Number,Switzerland,2009,51.0
Intentional homicide,Number,Switzerland,2010,53.0
Intentional homicide,Number,Switzerland,2011,46.0
Intentional homicide,Number,Switzerland,2012,45.0
Intentional homicide,Number,Switzerland,2013,57.0
Intentional homicide,Number,Switzerland,2014,41.0
Intentional homicide,Number,Switzerland,2015,57.0
Intentional homicide,Number,Switzerland,2016,45.0
Intentional homicide,Number,Switzerland,2017,45.0
Intentional homicide,Number,Switzerland,2018,50.0
Intentional homicide,Number,Switzerland,2019,46.0
Intentional homicide,Number,Switzerland,2020,47.0
Intentional homicide,Number,Switzerland,2021,42.0
Intentional homicide,Number,Switzerland,2022,42.0
Intentional homicide,Number,Cyprus,2008,9.0
Intentional homicide,Number,Cyprus,2009,19.0
Intentional homicide,Number,Cyprus,2010,7.0
Intentional homicide,Number,Cyprus,2011,8.0
Intentional homicide,Number,Cyprus,2012,19.0
Intentional homicide,Number,Cyprus,2013,11.0
Intentional homicide,Number,Cyprus,2014,10.0
Intentional homicide,Number,Cyprus,2015,12.0
Intentional homicide,Number,Cyprus,2016,11.0
Intentional homicide,Number,Cyprus,2017,7.0
Intentional homicide,Number,Cyprus,2018,14.0
Intentional homicide,Number,Cyprus,2019,13.0
Intentional homicide,Number,Cyprus,2020,15.0
Intentional homicide,Number,Cyprus,2021,14.0
Intentional homicide,Number,Cyprus,2022,7.0
Intentional homicide,Number,Czechia,2008,113.0
Intentional homicide,Number,Czechia,2009,105.0
Intentional homicide,Number,Czechia,2010,105.0
Intentional homicide,Number,Czechia,2011,83.0
Intentional homicide,Number,Czechia,2012,95.0
Intentional homicide,Number,Czechia,2013,90.0
Intentional homicide,Number,Czechia,2014,81.0
Intentional homicide,Number,Czechia,2015,88.0
Intentional homicide,Number,Czechia,2016,65.0
Intentional homicide,Number,Czechia,2017,40.0
Intentional homicide,Number,Czechia,2018,55.0
Intentional homicide,Number,Czechia,2019,81.0
Intentional homicide,Number,Czechia,2020,57.0
Intentional homicide,Number,Czechia,2021,46.0
Intentional homicide,Number,Czechia,2022,79.0
Intentional homicide,Number,Germany,2008,656.0
Intentional homicide,Number,Germany,2009,721.0
Intentional homicide,Number,Germany,2010,699.0
Intentional homicide,Number,Germany,2011,689.0
Intentional homicide,Number,Germany,2012,619.0
Intentional homicide,Number,Germany,2013,623.0
Intentional homicide,Number,Germany,2014,645.0
Intentional homicide,Number,Germany,2015,655.0
Intentional homicide,Number,Germany,2016,747.0
Intentional homicide,Number,Germany,2017,738.0
Intentional homicide,Number,Germany,2018,632.0
Intentional homicide,Number,Germany,2019,586.0
Intentional homicide,Number,Germany,2020,719.0
Intentional homicide,Number,Germany,2021,631.0
Intentional homicide,Number,Germany,2022,614.0
Intentional homicide,Number,Denmark,2008,53.0
Intentional homicide,Number,Denmark,2009,56.0
Intentional homicide,Number,Denmark,2010,49.0
Intentional homicide,Number,Denmark,2011,49.0
Intentional homicide,Number,Denmark,2012,43.0
Intentional homicide,Number,Denmark,2013,41.0
Intentional homicide,Number,Denmark,2014,62.0
Intentional homicide,Number,Denmark,2015,52.0
Intentional homicide,Number,Denmark,2016,53.0
Intentional homicide,Number,Denmark,2017,61.0
Intentional homicide,Number,Denmark,2018,54.0
Intentional homicide,Number,Denmark,2019,54.0
Intentional homicide,Number,Denmark,2020,51.0
Intentional homicide,Number,Denmark,2021,42.0
Intentional homicide,Number,Denmark,2022,59.0
Intentional homicide,Number,Estonia,2008,84.0
Intentional homicide,Number,Estonia,2009,70.0
Intentional homicide,Number,Estonia,2010,70.0
Intentional homicide,Number,Estonia,2011,65.0
Intentional homicide,Number,Estonia,2012,63.0
Intentional homicide,Number,Estonia,2013,52.0
Intentional homicide,Number,Estonia,2014,41.0
Intentional homicide,Number,Estonia,2015,50.0
Intentional homicide,Number,Estonia,2016,33.0
Intentional homicide,Number,Estonia,2017,29.0
Intentional homicide,Number,Estonia,2018,25.0
Intentional homicide,Number,Estonia,2019,23.0
Intentional homicide,Number,Estonia,2020,37.0
Intentional homicide,Number,Estonia,2021,19.0
Intentional homicide,Number,Estonia,2022,18.0
Intentional homicide,Number,Greece,2008,139.0
Intentional homicide,Number,Greece,2009,143.0
Intentional homicide,Number,Greece,2010,176.0
Intentional homicide,Number,Greece,2011,184.0
Intentional homicide,Number,Greece,2012,165.0
Intentional homicide,Number,Greece,2013,141.0
Intentional homicide,Number,Greece,2014,105.0
Intentional homicide,Number,Greece,2015,86.0
Intentional homicide,Number,Greece,2016,81.0
Intentional homicide,Number,Greece,2017,78.0
Intentional homicide,Number,Greece,2018,94.0
Intentional homicide,Number,Greece,2019,76.0
Intentional homicide,Number,Greece,2020,73.0
Intentional homicide,Number,Greece,2021,89.0
Intentional homicide,Number,Greece,2022,79.0
Intentional homicide,Number,Spain,2008,407.0
Intentional homicide,Number,Spain,2009,412.0
Intentional homicide,Number,Spain,2010,401.0
Intentional homicide,Number,Spain,2011,385.0
Intentional homicide,Number,Spain,2012,364.0
Intentional homicide,Number,Spain,2013,302.0
Intentional homicide,Number,Spain,2014,323.0
Intentional homicide,Number,Spain,2015,302.0
Intentional homicide,Number,Spain,2016,294.0
Intentional homicide,Number,Spain,2017,307.0
Intentional homicide,Number,Spain,2018,289.0
Intentional homicide,Number,Spain,2019,331.0
Intentional homicide,Number,Spain,2020,298.0
Intentional homicide,Number,Spain,2021,290.0
Intentional homicide,Number,Spain,2022,325.0
Intentional homicide,Number,Finland,2008,160.0
Intentional homicide,Number,Finland,2009,138.0
Intentional homicide,Number,Finland,2010,133.0
Intentional homicide,Number,Finland,2011,134.0
Intentional homicide,Number,Finland,2012,107.0
Intentional homicide,Number,Finland,2013,107.0
Intentional homicide,Number,Finland,2014,112.0
Intentional homicide,Number,Finland,2015,116.0
Intentional homicide,Number,Finland,2016,96.0
Intentional homicide,Number,Finland,2017,74.0
Intentional homicide,Number,Finland,2018,95.0
Intentional homicide,Number,Finland,2019,83.0
Intentional homicide,Number,Finland,2020,95.0
Intentional homicide,Number,Finland,2021,94.0
Intentional homicide,Number,Finland,2022,83.0
Intentional homicide,Number,France,2008,975.0
Intentional homicide,Number,France,2009,804.0
Intentional homicide,Number,France,2010,797.0
Intentional homicide,Number,France,2011,874.0
Intentional homicide,Number,France,2012,814.0
Intentional homicide,Number,France,2013,802.0
Intentional homicide,Number,France,2014,765.0
Intentional homicide,Number,France,2015,880.0
Intentional homicide,Number,France,2016,779.0
Intentional homicide,Number,France,2017,710.0
Intentional homicide,Number,France,2018,696.0
Intentional homicide,Number,France,2019,753.0
Intentional homicide,Number,France,2020,692.0
Intentional homicide,Number,France,2021,734.0
Intentional homicide,Number,France,2022,821.0
Intentional homicide,Number,Croatia,2008,71.0
Intentional homicide,Number,Croatia,2009,49.0
Intentional homicide,Number,Croatia,2010,62.0
Intentional homicide,Number,Croatia,2011,49.0
Intentional homicide,Number,Croatia,2012,51.0
Intentional homicide,Number,Croatia,2013,46.0
Intentional homicide,Number,Croatia,2014,36.0
Intentional homicide,Number,Croatia,2015,37.0
Intentional homicide,Number,Croatia,2016,44.0
Intentional homicide,Number,Croatia,2017,46.0
Intentional homicide,Number,Croatia,2018,24.0
Intentional homicide,Number,Croatia,2019,33.0
Intentional homicide,Number,Croatia,2020,40.0
Intentional homicide,Number,Croatia,2021,33.0
Intentional homicide,Number,Croatia,2022,31.0
Intentional homicide,Number,Hungary,2008,147.0
Intentional homicide,Number,Hungary,2009,139.0
Intentional homicide,Number,Hungary,2010,133.0
Intentional homicide,Number,Hungary,2011,142.0
Intentional homicide,Number,Hungary,2012,113.0
Intentional homicide,Number,Hungary,2013,138.0
Intentional homicide,Number,Hungary,2014,129.0
Intentional homicide,Number,Hungary,2015,202.0
Intentional homicide,Number,Hungary,2016,91.0
Intentional homicide,Number,Hungary,2017,85.0
Intentional homicide,Number,Hungary,2018,83.0
Intentional homicide,Number,Hungary,2019,58.0
Intentional homicide,Number,Hungary,2020,77.0
Intentional homicide,Number,Hungary,2021,67.0
Intentional homicide,Number,Hungary,2022,85.0
Intentional homicide,Number,Ireland,2008,51.0
Intentional homicide,Number,Ireland,2009,53.0
Intentional homicide,Number,Ireland,2010,55.0
Intentional homicide,Number,Ireland,2011,42.0
Intentional homicide,Number,Ireland,2012,52.0
Intentional homicide,Number,Ireland,2013,51.0
Intentional homicide,Number,Ireland,2014,53.0
Intentional homicide,Number,Ireland,2015,30.0
Intentional homicide,Number,Ireland,2016,34.0
Intentional homicide,Number,Ireland,2017,39.0
Intentional homicide,Number,Ireland,2018,39.0
Intentional homicide,Number,Ireland,2019,32.0
Intentional homicide,Number,Ireland,2020,32.0
Intentional homicide,Number,Ireland,2021,23.0
Intentional homicide,Number,Ireland,2022,44.0
Intentional homicide,Number,Iceland,2008,0.0
Intentional homicide,Number,Iceland,2009,1.0
Intentional homicide,Number,Iceland,2010,2.0
Intentional homicide,Number,Iceland,2011,3.0
Intentional homicide,Number,Iceland,2012,1.0
Intentional homicide,Number,Iceland,2013,1.0
Intentional homicide,Number,Iceland,2014,2.0
Intentional homicide,Number,Iceland,2015,3.0
Intentional homicide,Number,Iceland,2016,1.0
Intentional homicide,Number,Iceland,2017,3.0
Intentional homicide,Number,Iceland,2018,2.0
Intentional homicide,Number,Iceland,2019,1.0
Intentional homicide,Number,Iceland,2020,3.0
Intentional homicide,Number,Iceland,2021,2.0
Intentional homicide,Number,Iceland,2022,4.0
Intentional homicide,Number,Italy,2008,615.0
Intentional homicide,Number,Italy,2009,590.0
Intentional homicide,Number,Italy,2010,529.0
Intentional homicide,Number,Italy,2011,552.0
Intentional homicide,Number,Italy,2012,530.0
Intentional homicide,Number,Italy,2013,506.0
Intentional homicide,Number,Italy,2014,487.0
Intentional homicide,Number,Italy,2015,471.0
Intentional homicide,Number,Italy,2016,404.0
Intentional homicide,Number,Italy,2017,376.0
Intentional homicide,Number,Italy,2018,359.0
Intentional homicide,Number,Italy,2019,317.0
Intentional homicide,Number,Italy,2020,285.0
Intentional homicide,Number,Italy,2021,303.0
Intentional homicide,Number,Italy,2022,322.0
Intentional homicide,Number,Liechtenstein,2008,1.0
Intentional homicide,Number,Liechtenstein,2009,0.0
Intentional homicide,Number,Liechtenstein,2010,1.0
Intentional homicide,Number,Liechtenstein,2011,0.0
Intentional homicide,Number,Liechtenstein,2012,0.0
Intentional homicide,Number,Liechtenstein,2013,0.0
Intentional homicide,Number,Liechtenstein,2014,1.0
Intentional homicide,Number,Liechtenstein,2015,0.0
Intentional homicide,Number,Liechtenstein,2016,0.0
Intentional homicide,Number,Liechtenstein,2017,1.0
Intentional homicide,Number,Liechtenstein,2018,1.0
Intentional homicide,Number,Liechtenstein,2019,0.0
Intentional homicide,Number,Liechtenstein,2020,1.0
Intentional homicide,Number,Liechtenstein,2022,0.0
Intentional homicide,Number,Lithuania,2008,286.0
Intentional homicide,Number,Lithuania,2009,240.0
Intentional homicide,Number,Lithuania,2010,199.0
Intentional homicide,Number,Lithuania,2011,189.0
Intentional homicide,Number,Lithuania,2012,181.0
Intentional homicide,Number,Lithuania,2013,172.0
Intentional homicide,Number,Lithuania,2014,155.0
Intentional homicide,Number,Lithuania,2015,168.0
Intentional homicide,Number,Lithuania,2016,142.0
Intentional homicide,Number,Lithuania,2017,113.0
Intentional homicide,Number,Lithuania,2018,97.0
Intentional homicide,Number,Lithuania,2019,84.0
Intentional homicide,Number,Lithuania,2020,99.0
Intentional homicide,Number,Lithuania,2021,70.0
Intentional homicide,Number,Lithuania,2022,62.0
Intentional homicide,Number,Luxembourg,2008,7.0
Intentional homicide,Number,Luxembourg,2009,5.0
Intentional homicide,Number,Luxembourg,2010,8.0
Intentional homicide,Number,Luxembourg,2011,4.0
Intentional homicide,Number,Luxembourg,2012,3.0
Intentional homicide,Number,Luxembourg,2013,2.0
Intentional homicide,Number,Luxembourg,2014,4.0
Intentional homicide,Number,Luxembourg,2015,5.0
Intentional homicide,Number,Luxembourg,2016,5.0
Intentional homicide,Number,Luxembourg,2017,2.0
Intentional homicide,Number,Luxembourg,2018,3.0
Intentional homicide,Number,Luxembourg,2019,4.0
Intentional homicide,Number,Luxembourg,2020,2.0
Intentional homicide,Number,Luxembourg,2021,3.0
Intentional homicide,Number,Luxembourg,2022,9.0
Intentional homicide,Number,Latvia,2008,99.0
Intentional homicide,Number,Latvia,2009,108.0
Intentional homicide,Number,Latvia,2010,70.0
Intentional homicide,Number,Latvia,2011,69.0
Intentional homicide,Number,Latvia,2012,97.0
Intentional homicide,Number,Latvia,2013,69.0
Intentional homicide,Number,Latvia,2014,77.0
Intentional homicide,Number,Latvia,2015,81.0
Intentional homicide,Number,Latvia,2016,111.0
Intentional homicide,Number,Latvia,2017,109.0
Intentional homicide,Number,Latvia,2018,101.0
Intentional homicide,Number,Latvia,2019,91.0
Intentional homicide,Number,Latvia,2020,93.0
Intentional homicide,Number,Latvia,2021,98.0
Intentional homicide,Number,Latvia,2022,76.0
Intentional homicide,Number,Montenegro,2008,22.0
Intentional homicide,Number,Montenegro,2009,10.0
Intentional homicide,Number,Montenegro,2010,13.0
Intentional homicide,Number,Montenegro,2011,19.0
Intentional homicide,Number,Montenegro,2012,15.0
Intentional homicide,Number,Montenegro,2013,9.0
Intentional homicide,Number,Montenegro,2014,19.0
Intentional homicide,Number,Montenegro,2015,17.0
Intentional homicide,Number,Montenegro,2016,24.0
Intentional homicide,Number,Montenegro,2017,11.0
Intentional homicide,Number,Montenegro,2018,13.0
Intentional homicide,Number,Montenegro,2019,21.0
Intentional homicide,Number,Montenegro,2020,16.0
Intentional homicide,Number,Montenegro,2021,14.0
Intentional homicide,Number,Montenegro,2022,7.0
Intentional homicide,Number,North Macedonia,2008,35.0
Intentional homicide,Number,North Macedonia,2009,35.0
Intentional homicide,Number,North Macedonia,2010,39.0
Intentional homicide,Number,North Macedonia,2011,27.0
Intentional homicide,Number,North Macedonia,2012,28.0
Intentional homicide,Number,North Macedonia,2013,20.0
Intentional homicide,Number,North Macedonia,2014,25.0
Intentional homicide,Number,North Macedonia,2015,21.0
Intentional homicide,Number,North Macedonia,2016,17.0
Intentional homicide,Number,North Macedonia,2017,25.0
Intentional homicide,Number,North Macedonia,2019,22.0
Intentional homicide,Number,North Macedonia,2020,10.0
Intentional homicide,Number,North Macedonia,2021,13.0
Intentional homicide,Number,North Macedonia,2022,18.0
Intentional homicide,Number,Malta,2008,6.0
Intentional homicide,Number,Malta,2009,4.0
Intentional homicide,Number,Malta,2010,4.0
Intentional homicide,Number,Malta,2011,3.0
Intentional homicide,Number,Malta,2012,10.0
Intentional homicide,Number,Malta,2013,6.0
Intentional homicide,Number,Malta,2014,6.0
Intentional homicide,Number,Malta,2015,4.0
Intentional homicide,Number,Malta,2016,5.0
Intentional homicide,Number,Malta,2017,9.0
Intentional homicide,Number,Malta,2018,6.0
Intentional homicide,Number,Malta,2019,4.0
Intentional homicide,Number,Malta,2020,6.0
Intentional homicide,Number,Malta,2021,2.0
Intentional homicide,Number,Malta,2022,8.0
Intentional homicide,Number,Netherlands,2008,150.0
Intentional homicide,Number,Netherlands,2009,154.0
Intentional homicide,Number,Netherlands,2013,147.0
Intentional homicide,Number,Netherlands,2014,144.0
Intentional homicide,Number,Netherlands,2015,120.0
Intentional homicide,Number,Netherlands,2016,108.0
Intentional homicide,Number,Netherlands,2017,158.0
Intentional homicide,Number,Netherlands,2018,119.0
Intentional homicide,Number,Netherlands,2019,125.0
Intentional homicide,Number,Netherlands,2020,121.0
Intentional homicide,Number,Netherlands,2021,126.0
Intentional homicide,Number,Netherlands,2022,142.0
Intentional homicide,Number,Norway,2008,34.0
Intentional homicide,Number,Norway,2009,29.0
Intentional homicide,Number,Norway,2010,29.0
Intentional homicide,Number,Norway,2011,111.0
Intentional homicide,Number,Norway,2012,27.0
Intentional homicide,Number,Norway,2013,47.0
Intentional homicide,Number,Norway,2014,29.0
Intentional homicide,Number,Norway,2015,24.0
Intentional homicide,Number,Norway,2016,27.0
Intentional homicide,Number,Norway,2017,28.0
Intentional homicide,Number,Norway,2018,25.0
Intentional homicide,Number,Norway,2019,28.0
Intentional homicide,Number,Norway,2020,31.0
Intentional homicide,Number,Norway,2021,29.0
Intentional homicide,Number,Norway,2022,30.0
Intentional homicide,Number,Poland,2008,460.0
Intentional homicide,Number,Poland,2009,493.0
Intentional homicide,Number,Poland,2010,436.0
Intentional homicide,Number,Poland,2011,449.0
Intentional homicide,Number,Poland,2012,377.0
Intentional homicide,Number,Poland,2013,296.0
Intentional homicide,Number,Poland,2014,282.0
Intentional homicide,Number,Poland,2015,287.0
Intentional homicide,Number,Poland,2016,256.0
Intentional homicide,Number,Poland,2017,278.0
Intentional homicide,Number,Poland,2018,265.0
Intentional homicide,Number,Poland,2019,205.0
Intentional homicide,Number,Poland,2020,261.0
Intentional homicide,Number,Poland,2021,265.0
Intentional homicide,Number,Poland,2022,258.0
Intentional homicide,Number,Portugal,2008,124.0
Intentional homicide,Number,Portugal,2009,130.0
Intentional homicide,Number,Portugal,2010,124.0
Intentional homicide,Number,Portugal,2011,114.0
Intentional homicide,Number,Portugal,2012,122.0
Intentional homicide,Number,Portugal,2013,144.0
Intentional homicide,Number,Portugal,2014,92.0
Intentional homicide,Number,Portugal,2015,100.0
Intentional homicide,Number,Portugal,2016,66.0
Intentional homicide,Number,Portugal,2017,76.0
Intentional homicide,Number,Portugal,2018,81.0
Intentional homicide,Number,Portugal,2019,73.0
Intentional homicide,Number,Portugal,2020,81.0
Intentional homicide,Number,Portugal,2021,82.0
Intentional homicide,Number,Portugal,2022,75.0
Intentional homicide,Number,Romania,2008,470.0
Intentional homicide,Number,Romania,2009,397.0
Intentional homicide,Number,Romania,2010,404.0
Intentional homicide,Number,Romania,2011,335.0
Intentional homicide,Number,Romania,2012,378.0
Intentional homicide,Number,Romania,2013,336.0
Intentional homicide,Number,Romania,2014,298.0
Intentional homicide,Number,Romania,2015,291.0
Intentional homicide,Number,Romania,2016,247.0
Intentional homicide,Number,Romania,2017,256.0
Intentional homicide,Number,Romania,2018,267.0
Intentional homicide,Number,Romania,2019,255.0
Intentional homicide,Number,Romania,2020,256.0
Intentional homicide,Number,Romania,2021,191.0
Intentional homicide,Number,Romania,2022,174.0
Intentional homicide,Number,Serbia,2008,128.0
Intentional homicide,Number,Serbia,2009,136.0
Intentional homicide,Number,Serbia,2010,114.0
Intentional homicide,Number,Serbia,2011,114.0
Intentional homicide,Number,Serbia,2012,104.0
Intentional homicide,Number,Serbia,2013,132.0
Intentional homicide,Number,Serbia,2014,114.0
Intentional homicide,Number,Serbia,2015,96.0
Intentional homicide,Number,Serbia,2016,106.0
Intentional homicide,Number,Serbia,2017,79.0
Intentional homicide,Number,Serbia,2018,104.0
Intentional homicide,Number,Serbia,2019,80.0
Intentional homicide,Number,Serbia,2020,76.0
Intentional homicide,Number,Serbia,2021,73.0
Intentional homicide,Number,Serbia,2022,70.0
Intentional homicide,Number,Sweden,2008,82.0
Intentional homicide,Number,Sweden,2009,93.0
Intentional homicide,Number,Sweden,2010,91.0
Intentional homicide,Number,Sweden,2011,81.0
Intentional homicide,Number,Sweden,2012,68.0
Intentional homicide,Number,Sweden,2013,87.0
Intentional homicide,Number,Sweden,2014,87.0
Intentional homicide,Number,Sweden,2015,112.0
Intentional homicide,Number,Sweden,2016,106.0
Intentional homicide,Number,Sweden,2017,113.0
Intentional homicide,Number,Sweden,2018,108.0
Intentional homicide,Number,Sweden,2019,111.0
Intentional homicide,Number,Sweden,2020,124.0
Intentional homicide,Number,Sweden,2021,113.0
Intentional homicide,Number,Sweden,2022,116.0
Intentional homicide,Number,Slovenia,2008,11.0
Intentional homicide,Number,Slovenia,2009,13.0
Intentional homicide,Number,Slovenia,2010,11.0
Intentional homicide,Number,Slovenia,2011,17.0
Intentional homicide,Number,Slovenia,2012,14.0
Intentional homicide,Number,Slovenia,2013,12.0
Intentional homicide,Number,Slovenia,2014,17.0
Intentional homicide,Number,Slovenia,2015,20.0
Intentional homicide,Number,Slovenia,2016,10.0
Intentional homicide,Number,Slovenia,2017,19.0
Intentional homicide,Number,Slovenia,2018,9.0
Intentional homicide,Number,Slovenia,2019,14.0
Intentional homicide,Number,Slovenia,2020,11.0
Intentional homicide,Number,Slovenia,2021,9.0
Intentional homicide,Number,Slovenia,2022,13.0
Intentional homicide,Number,Slovakia,2008,94.0
Intentional homicide,Number,Slovakia,2009,84.0
Intentional homicide,Number,Slovakia,2010,89.0
Intentional homicide,Number,Slovakia,2011,96.0
Intentional homicide,Number,Slovakia,2012,75.0
Intentional homicide,Number,Slovakia,2013,78.0
Intentional homicide,Number,Slovakia,2014,72.0
Intentional homicide,Number,Slovakia,2015,48.0
Intentional homicide,Number,Slovakia,2016,60.0
Intentional homicide,Number,Slovakia,2017,80.0
Intentional homicide,Number,Slovakia,2018,67.0
Intentional homicide,Number,Slovakia,2019,76.0
Intentional homicide,Number,Slovakia,2020,63.0
Intentional homicide,Number,Slovakia,2021,55.0
Intentional homicide,Number,Slovakia,2022,42.0
Intentional homicide,Number,Türkiye,2009,2090.0
Intentional homicide,Number,Türkiye,2010,1766.0
Intentional homicide,Number,Türkiye,2011,1688.0
Intentional homicide,Number,Türkiye,2012,1806.0
Intentional homicide,Number,Türkiye,2018,1960.0
Intentional homicide,Number,Türkiye,2019,1839.0
Intentional homicide,Number,Türkiye,2020,1962.0
Intentional homicide,Number,Türkiye,2021,1967.0
Intentional homicide,Number,Türkiye,2022,2084.0
Intentional homicide,Number,England and Wales,2008,638.0
Intentional homicide,Number,England and Wales,2009,595.0
Intentional homicide,Number,England and Wales,2010,632.0
Intentional homicide,Number,England and Wales,2011,526.0
Intentional homicide,Number,England and Wales,2012,544.0
Intentional homicide,Number,England and Wales,2013,521.0
Intentional homicide,Number,England and Wales,2014,510.0
Intentional homicide,Number,England and Wales,2015,546.0
Intentional homicide,Number,England and Wales,2016,675.0
Intentional homicide,Number,England and Wales,2017,704.0
Intentional homicide,Number,England and Wales,2018,671.0
Intentional homicide,Number,Scotland (NUTS 2021),2008,95.0
Intentional homicide,Number,Scotland (NUTS 2021),2009,84.0
Intentional homicide,Number,Scotland (NUTS 2021),2010,100.0
Intentional homicide,Number,Scotland (NUTS 2021),2011,93.0
Intentional homicide,Number,Scotland (NUTS 2021),2012,63.0
Intentional homicide,Number,Scotland (NUTS 2021),2013,61.0
Intentional homicide,Number,Scotland (NUTS 2021),2014,62.0
Intentional homicide,Number,Scotland (NUTS 2021),2015,59.0
Intentional homicide,Number,Scotland (NUTS 2021),2016,62.0
Intentional homicide,Number,Scotland (NUTS 2021),2017,59.0
Intentional homicide,Number,Scotland (NUTS 2021),2018,60.0
Intentional homicide,Number,Northern Ireland (UK) (NUTS 2021),2008,24.0
Intentional homicide,Number,Northern Ireland (UK) (NUTS 2021),2009,29.0
Intentional homicide,Number,Northern Ireland (UK) (NUTS 2021),2010,23.0
Intentional homicide,Number,Northern Ireland (UK) (NUTS 2021),2011,23.0
Intentional homicide,Number,Northern Ireland (UK) (NUTS 2021),2012,21.0
Intentional homicide,Number,Northern Ireland (UK) (NUTS 2021),2013,20.0
Intentional homicide,Number,Northern Ireland (UK) (NUTS 2021),2014,17.0
Intentional homicide,Number,Northern Ireland (UK) (NUTS 2021),2015,24.0
Intentional homicide,Number,Northern Ireland (UK) (NUTS 2021),2016,18.0
Intentional homicide,Number,Northern Ireland (UK) (NUTS 2021),2017,24.0
Intentional homicide,Number,Northern Ireland (UK) (NUTS 2021),2018,23.0
Intentional homicide,Number,Kosovo*,2008,113.0
Intentional homicide,Number,Kosovo*,2009,73.0
Intentional homicide,Number,Kosovo*,2010,106.0
Intentional homicide,Number,Kosovo*,2011,62.0
Intentional homicide,Number,Kosovo*,2012,90.0
Intentional homicide,Number,Kosovo*,2013,41.0
Intentional homicide,Number,Kosovo*,2014,38.0
Intentional homicide,Number,Kosovo*,2015,27.0
Intentional homicide,Number,Kosovo*,2016,29.0
