citizen,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE
European Free Trade Association except reporting country,Total,Percentage,Males,Switzerland,2024,51.9
European Free Trade Association except reporting country,Total,Percentage,Males,Cyprus,2022,52.2
European Free Trade Association except reporting country,Total,Percentage,Males,Cyprus,2023,52.3
European Free Trade Association except reporting country,Total,Percentage,Males,Cyprus,2024,46.4
European Free Trade Association except reporting country,Total,Percentage,Males,Czechia,2022,68.9
European Free Trade Association except reporting country,Total,Percentage,Males,Czechia,2023,68.0
European Free Trade Association except reporting country,Total,Percentage,Males,Czechia,2024,67.6
European Free Trade Association except reporting country,Total,Percentage,Males,Germany,2022,45.5
European Free Trade Association except reporting country,Total,Percentage,Males,Germany,2023,45.6
European Free Trade Association except reporting country,Total,Percentage,Males,Germany,2024,45.4
European Free Trade Association except reporting country,Total,Percentage,Males,Denmark,2022,41.9
European Free Trade Association except reporting country,Total,Percentage,Males,Denmark,2023,41.8
European Free Trade Association except reporting country,Total,Percentage,Males,Denmark,2024,41.7
European Free Trade Association except reporting country,Total,Percentage,Males,Estonia,2022,76.7
European Free Trade Association except reporting country,Total,Percentage,Males,Estonia,2023,75.1
European Free Trade Association except reporting country,Total,Percentage,Males,Estonia,2024,73.1
European Free Trade Association except reporting country,Total,Percentage,Males,Greece,2022,37.1
European Free Trade Association except reporting country,Total,Percentage,Males,Greece,2023,37.4
European Free Trade Association except reporting country,Total,Percentage,Males,Greece,2024,37.4
European Free Trade Association except reporting country,Total,Percentage,Males,Spain,2022,48.8
European Free Trade Association except reporting country,Total,Percentage,Males,Spain,2023,48.6
European Free Trade Association except reporting country,Total,Percentage,Males,Spain,2024,48.5
European Free Trade Association except reporting country,Total,Percentage,Males,European Union - 27 countries (from 2020),2022,46.6
European Free Trade Association except reporting country,Total,Percentage,Males,Finland,2022,60.9
European Free Trade Association except reporting country,Total,Percentage,Males,Finland,2023,61.1
European Free Trade Association except reporting country,Total,Percentage,Males,Finland,2024,61.1
European Free Trade Association except reporting country,Total,Percentage,Males,France,2021,46.2
European Free Trade Association except reporting country,Total,Percentage,Males,France,2022,45.3
European Free Trade Association except reporting country,Total,Percentage,Males,France,2023,47.3
European Free Trade Association except reporting country,Total,Percentage,Males,France,2024,45.2
European Free Trade Association except reporting country,Total,Percentage,Males,Croatia,2022,54.7
European Free Trade Association except reporting country,Total,Percentage,Males,Croatia,2023,54.6
European Free Trade Association except reporting country,Total,Percentage,Males,Croatia,2024,53.8
European Free Trade Association except reporting country,Total,Percentage,Males,Hungary,2022,44.1
European Free Trade Association except reporting country,Total,Percentage,Males,Hungary,2023,43.9
European Free Trade Association except reporting country,Total,Percentage,Males,Hungary,2024,43.3
European Free Trade Association except reporting country,Total,Percentage,Males,Ireland,2022,48.7
European Free Trade Association except reporting country,Total,Percentage,Males,Ireland,2023,47.9
European Free Trade Association except reporting country,Total,Percentage,Males,Ireland,2024,48.6
European Free Trade Association except reporting country,Total,Percentage,Males,Iceland,2022,45.8
European Free Trade Association except reporting country,Total,Percentage,Males,Iceland,2023,44.7
European Free Trade Association except reporting country,Total,Percentage,Males,Iceland,2024,43.3
European Free Trade Association except reporting country,Total,Percentage,Males,Italy,2022,42.3
European Free Trade Association except reporting country,Total,Percentage,Males,Italy,2023,42.4
European Free Trade Association except reporting country,Total,Percentage,Males,Italy,2024,42.9
European Free Trade Association except reporting country,Total,Percentage,Males,Liechtenstein,2022,51.1
European Free Trade Association except reporting country,Total,Percentage,Males,Liechtenstein,2023,51.0
European Free Trade Association except reporting country,Total,Percentage,Males,Liechtenstein,2024,50.9
European Free Trade Association except reporting country,Total,Percentage,Males,Lithuania,2022,70.9
European Free Trade Association except reporting country,Total,Percentage,Males,Lithuania,2023,72.1
European Free Trade Association except reporting country,Total,Percentage,Males,Luxembourg,2022,51.1
European Free Trade Association except reporting country,Total,Percentage,Males,Luxembourg,2023,51.2
European Free Trade Association except reporting country,Total,Percentage,Males,Luxembourg,2024,51.6
European Free Trade Association except reporting country,Total,Percentage,Males,Latvia,2022,71.0
European Free Trade Association except reporting country,Total,Percentage,Males,Latvia,2023,73.8
European Free Trade Association except reporting country,Total,Percentage,Males,Latvia,2024,71.2
European Free Trade Association except reporting country,Total,Percentage,Males,Malta,2022,61.2
European Free Trade Association except reporting country,Total,Percentage,Males,Malta,2023,58.8
European Free Trade Association except reporting country,Total,Percentage,Males,Malta,2024,57.8
European Free Trade Association except reporting country,Total,Percentage,Males,Netherlands,2022,44.7
European Free Trade Association except reporting country,Total,Percentage,Males,Netherlands,2023,44.5
European Free Trade Association except reporting country,Total,Percentage,Males,Netherlands,2024,44.8
European Free Trade Association except reporting country,Total,Percentage,Males,Norway,2022,51.0
European Free Trade Association except reporting country,Total,Percentage,Males,Norway,2023,51.1
European Free Trade Association except reporting country,Total,Percentage,Males,Norway,2024,51.3
European Free Trade Association except reporting country,Total,Percentage,Males,Poland,2022,52.9
European Free Trade Association except reporting country,Total,Percentage,Males,Poland,2023,53.4
European Free Trade Association except reporting country,Total,Percentage,Males,Poland,2024,53.9
European Free Trade Association except reporting country,Total,Percentage,Males,Portugal,2022,54.0
European Free Trade Association except reporting country,Total,Percentage,Males,Portugal,2023,53.7
European Free Trade Association except reporting country,Total,Percentage,Males,Portugal,2024,54.3
European Free Trade Association except reporting country,Total,Percentage,Males,Romania,2022,65.8
European Free Trade Association except reporting country,Total,Percentage,Males,Romania,2023,29.3
European Free Trade Association except reporting country,Total,Percentage,Males,Romania,2024,45.0
European Free Trade Association except reporting country,Total,Percentage,Males,Sweden,2022,49.2
European Free Trade Association except reporting country,Total,Percentage,Males,Sweden,2023,49.3
European Free Trade Association except reporting country,Total,Percentage,Males,Sweden,2024,49.4
European Free Trade Association except reporting country,Total,Percentage,Males,Slovenia,2022,56.2
European Free Trade Association except reporting country,Total,Percentage,Males,Slovenia,2023,56.4
European Free Trade Association except reporting country,Total,Percentage,Males,Slovenia,2024,54.5
European Free Trade Association except reporting country,Total,Percentage,Males,Slovakia,2022,63.2
European Free Trade Association except reporting country,Total,Percentage,Males,Slovakia,2023,61.0
European Free Trade Association except reporting country,Total,Percentage,Males,Slovakia,2024,61.5
European Free Trade Association except reporting country,Total,Percentage,Total,Austria,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Austria,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Austria,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Belgium,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Belgium,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Belgium,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Bulgaria,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Bulgaria,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Bulgaria,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Switzerland,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Switzerland,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Switzerland,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Cyprus,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Cyprus,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Cyprus,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Czechia,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Czechia,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Czechia,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Germany,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Germany,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Germany,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Denmark,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Denmark,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Denmark,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Estonia,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Estonia,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Estonia,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Greece,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Greece,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Greece,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Spain,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Spain,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Spain,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,European Union - 27 countries (from 2020),2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Finland,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Finland,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Finland,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,France,2021,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,France,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,France,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,France,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Croatia,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Croatia,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Croatia,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Hungary,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Hungary,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Hungary,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Ireland,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Ireland,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Ireland,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Iceland,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Iceland,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Iceland,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Italy,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Italy,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Italy,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Liechtenstein,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Liechtenstein,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Liechtenstein,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Lithuania,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Lithuania,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Luxembourg,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Luxembourg,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Luxembourg,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Latvia,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Latvia,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Latvia,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Malta,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Malta,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Malta,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Netherlands,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Netherlands,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Netherlands,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Norway,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Norway,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Norway,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Poland,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Poland,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Poland,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Portugal,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Portugal,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Portugal,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Romania,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Romania,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Romania,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Sweden,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Sweden,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Sweden,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Slovenia,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Slovenia,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Slovenia,2024,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Slovakia,2022,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Slovakia,2023,100.0
European Free Trade Association except reporting country,Total,Percentage,Total,Slovakia,2024,100.0
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Austria,2022,49.9
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Austria,2023,49.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Austria,2024,49.8
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Belgium,2022,48.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Belgium,2023,48.8
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Belgium,2024,48.8
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Bulgaria,2022,36.4
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Bulgaria,2023,35.8
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Bulgaria,2024,34.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Switzerland,2022,45.3
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Switzerland,2023,45.1
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Switzerland,2024,45.1
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Cyprus,2022,52.8
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Cyprus,2023,52.4
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Cyprus,2024,49.0
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Czechia,2022,45.1
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Czechia,2023,45.2
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Czechia,2024,44.9
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Germany,2022,46.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Germany,2023,46.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Germany,2024,46.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Denmark,2022,46.3
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Denmark,2023,46.0
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Denmark,2024,46.2
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Estonia,2022,36.9
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Estonia,2023,37.2
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Estonia,2024,37.3
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Greece,2022,64.3
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Greece,2023,64.2
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Greece,2024,64.2
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Spain,2022,49.6
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Spain,2023,50.0
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Spain,2024,50.1
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,European Union - 27 countries (from 2020),2022,49.2
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,European Union - 27 countries (from 2020),2023,49.2
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,European Union - 27 countries (from 2020),2024,49.1
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Finland,2022,43.1
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Finland,2023,42.8
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Finland,2024,42.6
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,France,2021,49.6
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,France,2022,49.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,France,2023,50.0
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,France,2024,49.9
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Croatia,2022,53.5
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Croatia,2023,52.1
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Croatia,2024,50.0
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Hungary,2022,44.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Hungary,2023,44.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Hungary,2024,45.0
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Ireland,2022,50.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Ireland,2023,50.2
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Ireland,2024,50.4
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Iceland,2022,40.3
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Iceland,2023,39.3
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Iceland,2024,40.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Italy,2022,58.8
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Italy,2023,58.9
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Italy,2024,58.4
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Liechtenstein,2022,49.0
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Liechtenstein,2023,49.0
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Liechtenstein,2024,49.2
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Lithuania,2022,35.3
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Lithuania,2023,38.2
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Lithuania,2024,35.3
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Luxembourg,2022,47.6
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Luxembourg,2023,47.6
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Luxembourg,2024,47.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Latvia,2022,37.4
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Latvia,2023,37.9
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Latvia,2024,38.2
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Malta,2022,40.8
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Malta,2023,43.5
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Malta,2024,43.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Netherlands,2022,50.0
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Netherlands,2023,49.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Netherlands,2024,49.6
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Norway,2022,42.0
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Norway,2023,41.7
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Norway,2024,41.5
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Poland,2022,28.4
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Poland,2023,28.3
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Poland,2024,28.2
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Portugal,2022,47.2
EU27 countries (from 2020) except reporting country,Total,Percentage,Females,Portugal,2023,47.1
