hhtyp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE
Single person,Total,Percentage,Denmark,2017,33.1
Single person,Total,Percentage,Denmark,2018,31.2
Single person,Total,Percentage,Denmark,2019,32.8
Single person,Total,Percentage,Denmark,2020,30.3
Single person,Total,Percentage,Denmark,2021,30.5
Single person,Total,Percentage,Denmark,2022,30.1
Single person,Total,Percentage,Denmark,2023,31.6
Single person,Total,Percentage,Denmark,2024,29.1
Single person,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2015,42.1
Single person,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2016,41.9
Single person,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2017,40.6
Single person,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,39.5
Single person,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,37.9
Single person,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,39.8
Single person,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,37.3
Single person,Total,Percentage,Euro area - 17 countries (2011-2013),2015,40.5
Single person,Total,Percentage,Euro area - 18 countries (2014),2015,41.9
Single person,Total,Percentage,Euro area - 18 countries (2014),2016,41.6
Single person,Total,Percentage,Euro area - 18 countries (2014),2017,40.3
Single person,Total,Percentage,Euro area - 18 countries (2014),2018,39.3
Single person,Total,Percentage,Euro area - 18 countries (2014),2019,37.7
Single person,Total,Percentage,Euro area - 18 countries (2014),2020,39.6
Single person,Total,Percentage,Euro area - 19 countries  (2015-2022),2015,42.1
Single person,Total,Percentage,Euro area - 19 countries  (2015-2022),2016,41.9
Single person,Total,Percentage,Euro area - 19 countries  (2015-2022),2017,40.6
Single person,Total,Percentage,Euro area - 19 countries  (2015-2022),2018,39.5
Single person,Total,Percentage,Euro area - 19 countries  (2015-2022),2019,37.9
Single person,Total,Percentage,Euro area - 19 countries  (2015-2022),2020,39.8
Single person,Total,Percentage,Euro area - 19 countries  (2015-2022),2021,37.3
Single person,Total,Percentage,Euro area – 20 countries (from 2023),2015,42.3
Single person,Total,Percentage,Euro area – 20 countries (from 2023),2016,42.1
Single person,Total,Percentage,Euro area – 20 countries (from 2023),2017,40.9
Single person,Total,Percentage,Euro area – 20 countries (from 2023),2018,39.8
Single person,Total,Percentage,Euro area – 20 countries (from 2023),2019,38.1
Single person,Total,Percentage,Euro area – 20 countries (from 2023),2020,40.0
Single person,Total,Percentage,Euro area – 20 countries (from 2023),2021,37.6
Single person,Total,Percentage,Euro area – 20 countries (from 2023),2022,38.4
Single person,Total,Percentage,Euro area – 20 countries (from 2023),2023,37.8
Single person,Total,Percentage,Estonia,2015,46.9
Single person,Total,Percentage,Estonia,2016,44.1
Single person,Total,Percentage,Estonia,2017,50.4
Single person,Total,Percentage,Estonia,2018,46.1
Single person,Total,Percentage,Estonia,2019,44.2
Single person,Total,Percentage,Estonia,2020,41.8
Single person,Total,Percentage,Estonia,2021,42.0
Single person,Total,Percentage,Estonia,2022,44.1
Single person,Total,Percentage,Estonia,2023,41.9
Single person,Total,Percentage,Estonia,2024,42.3
Single person,Total,Percentage,Greece,2015,60.3
Single person,Total,Percentage,Greece,2016,60.0
Single person,Total,Percentage,Greece,2017,59.0
Single person,Total,Percentage,Greece,2018,59.1
Single person,Total,Percentage,Greece,2019,55.3
Single person,Total,Percentage,Greece,2020,64.8
Single person,Total,Percentage,Greece,2021,56.2
Single person,Total,Percentage,Greece,2022,63.2
Single person,Total,Percentage,Greece,2023,56.0
Single person,Total,Percentage,Spain,2015,43.0
Single person,Total,Percentage,Spain,2016,40.4
Single person,Total,Percentage,Spain,2017,42.5
Single person,Total,Percentage,Spain,2018,39.8
Single person,Total,Percentage,Spain,2019,38.8
Single person,Total,Percentage,Spain,2020,41.2
Single person,Total,Percentage,Spain,2021,38.8
Single person,Total,Percentage,Spain,2022,39.4
Single person,Total,Percentage,Spain,2023,39.8
Single person,Total,Percentage,Spain,2024,38.4
Single person,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2015,44.4
Single person,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2016,43.5
Single person,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,41.3
Single person,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2018,40.2
Single person,Total,Percentage,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2019,38.7
Single person,Total,Percentage,European Union - 15 countries (1995-2004),2015,40.4
Single person,Total,Percentage,European Union - 27 countries (2007-2013),2015,44.2
Single person,Total,Percentage,European Union - 27 countries (2007-2013),2016,43.4
Single person,Total,Percentage,European Union - 27 countries (2007-2013),2017,41.1
Single person,Total,Percentage,European Union - 27 countries (2007-2013),2018,40.0
Single person,Total,Percentage,European Union - 27 countries (2007-2013),2019,38.5
Single person,Total,Percentage,European Union - 27 countries (from 2020),2015,44.7
Single person,Total,Percentage,European Union - 27 countries (from 2020),2016,43.9
Single person,Total,Percentage,European Union - 27 countries (from 2020),2017,42.4
Single person,Total,Percentage,European Union - 27 countries (from 2020),2018,41.0
Single person,Total,Percentage,European Union - 27 countries (from 2020),2019,39.3
Single person,Total,Percentage,European Union - 27 countries (from 2020),2020,40.9
Single person,Total,Percentage,European Union - 27 countries (from 2020),2021,38.7
Single person,Total,Percentage,European Union - 27 countries (from 2020),2022,39.1
Single person,Total,Percentage,European Union - 27 countries (from 2020),2023,38.9
Single person,Total,Percentage,European Union - 28 countries (2013-2020),2015,44.4
Single person,Total,Percentage,European Union - 28 countries (2013-2020),2016,43.5
Single person,Total,Percentage,European Union - 28 countries (2013-2020),2017,41.3
Single person,Total,Percentage,European Union - 28 countries (2013-2020),2018,40.2
Single person,Total,Percentage,European Union - 28 countries (2013-2020),2019,38.7
Single person,Total,Percentage,Finland,2015,42.7
Single person,Total,Percentage,Finland,2016,41.6
Single person,Total,Percentage,Finland,2017,38.6
Single person,Total,Percentage,Finland,2018,38.4
Single person,Total,Percentage,Finland,2019,35.5
Single person,Total,Percentage,Finland,2020,35.4
Single person,Total,Percentage,Finland,2021,32.7
Single person,Total,Percentage,Finland,2022,32.4
Single person,Total,Percentage,Finland,2023,36.9
Single person,Total,Percentage,Finland,2024,37.2
Single person,Total,Percentage,France,2015,35.9
Single person,Total,Percentage,France,2016,34.4
Single person,Total,Percentage,France,2017,33.5
Single person,Total,Percentage,France,2018,35.0
Single person,Total,Percentage,France,2019,34.7
Single person,Total,Percentage,France,2020,32.9
Single person,Total,Percentage,France,2021,33.5
Single person,Total,Percentage,France,2022,34.6
Single person,Total,Percentage,France,2023,31.7
Single person,Total,Percentage,Croatia,2015,71.6
Single person,Total,Percentage,Croatia,2016,72.5
Single person,Total,Percentage,Croatia,2017,73.4
Single person,Total,Percentage,Croatia,2018,73.3
Single person,Total,Percentage,Croatia,2019,71.4
Single person,Total,Percentage,Croatia,2020,70.1
Single person,Total,Percentage,Croatia,2021,66.9
Single person,Total,Percentage,Croatia,2022,66.3
Single person,Total,Percentage,Croatia,2023,64.8
Single person,Total,Percentage,Hungary,2015,72.3
Single person,Total,Percentage,Hungary,2016,53.3
Single person,Total,Percentage,Hungary,2017,36.8
Single person,Total,Percentage,Hungary,2018,35.3
Single person,Total,Percentage,Hungary,2019,32.0
Single person,Total,Percentage,Hungary,2020,46.6
Single person,Total,Percentage,Hungary,2021,42.8
Single person,Total,Percentage,Hungary,2022,42.0
Single person,Total,Percentage,Hungary,2023,40.5
Single person,Total,Percentage,Hungary,2024,36.8
Single person,Total,Percentage,Ireland,2015,48.9
Single person,Total,Percentage,Ireland,2016,47.3
Single person,Total,Percentage,Ireland,2017,46.9
Single person,Total,Percentage,Ireland,2018,39.5
Single person,Total,Percentage,Ireland,2019,38.4
Single person,Total,Percentage,Ireland,2020,38.3
Single person,Total,Percentage,Ireland,2021,34.4
Single person,Total,Percentage,Ireland,2022,41.6
Single person,Total,Percentage,Ireland,2023,43.2
Single person,Total,Percentage,Iceland,2015,47.7
Single person,Total,Percentage,Iceland,2016,43.5
Single person,Total,Percentage,Iceland,2017,41.9
Single person,Total,Percentage,Iceland,2018,38.6
Single person,Total,Percentage,Iceland,2019,35.0
Single person,Total,Percentage,Iceland,2020,30.1
Single person,Total,Percentage,Italy,2015,44.0
Single person,Total,Percentage,Italy,2016,48.8
Single person,Total,Percentage,Italy,2017,45.9
Single person,Total,Percentage,Italy,2018,42.4
Single person,Total,Percentage,Italy,2019,39.3
Single person,Total,Percentage,Italy,2020,39.7
Single person,Total,Percentage,Italy,2021,39.1
Single person,Total,Percentage,Italy,2022,39.9
Single person,Total,Percentage,Italy,2023,35.9
Single person,Total,Percentage,Italy,2024,33.5
Single person,Total,Percentage,Lithuania,2015,67.6
Single person,Total,Percentage,Lithuania,2016,67.5
Single person,Total,Percentage,Lithuania,2017,70.9
Single person,Total,Percentage,Lithuania,2018,65.7
Single person,Total,Percentage,Lithuania,2019,61.9
Single person,Total,Percentage,Lithuania,2020,60.8
Single person,Total,Percentage,Lithuania,2021,51.0
Single person,Total,Percentage,Lithuania,2022,51.9
Single person,Total,Percentage,Lithuania,2023,50.9
Single person,Total,Percentage,Luxembourg,2015,28.6
Single person,Total,Percentage,Luxembourg,2016,26.3
Single person,Total,Percentage,Luxembourg,2017,25.4
Single person,Total,Percentage,Luxembourg,2018,23.5
Single person,Total,Percentage,Luxembourg,2019,21.9
Single person,Total,Percentage,Luxembourg,2020,24.0
Single person,Total,Percentage,Luxembourg,2021,19.6
Single person,Total,Percentage,Luxembourg,2022,19.7
Single person,Total,Percentage,Luxembourg,2023,22.5
Single person,Total,Percentage,Luxembourg,2024,22.2
Single person,Total,Percentage,Latvia,2015,73.9
Single person,Total,Percentage,Latvia,2016,73.8
Single person,Total,Percentage,Latvia,2017,73.5
Single person,Total,Percentage,Latvia,2018,69.0
Single person,Total,Percentage,Latvia,2019,67.5
Single person,Total,Percentage,Latvia,2020,60.1
Single person,Total,Percentage,Latvia,2021,56.2
Single person,Total,Percentage,Latvia,2022,59.6
Single person,Total,Percentage,Latvia,2023,59.4
Single person,Total,Percentage,Latvia,2024,57.7
Single person,Total,Percentage,Montenegro,2015,79.6
Single person,Total,Percentage,Montenegro,2016,75.1
Single person,Total,Percentage,Montenegro,2017,79.2
Single person,Total,Percentage,Montenegro,2018,78.2
Single person,Total,Percentage,Montenegro,2019,68.4
Single person,Total,Percentage,Montenegro,2020,66.4
Single person,Total,Percentage,Montenegro,2021,65.7
Single person,Total,Percentage,Montenegro,2022,68.4
Single person,Total,Percentage,North Macedonia,2015,77.7
Single person,Total,Percentage,North Macedonia,2016,75.8
Single person,Total,Percentage,North Macedonia,2017,75.8
Single person,Total,Percentage,North Macedonia,2018,72.5
Single person,Total,Percentage,North Macedonia,2019,74.1
Single person,Total,Percentage,North Macedonia,2020,74.0
Single person,Total,Percentage,Malta,2015,25.7
Single person,Total,Percentage,Malta,2016,24.1
Single person,Total,Percentage,Malta,2017,20.2
Single person,Total,Percentage,Malta,2018,17.9
Single person,Total,Percentage,Malta,2019,18.4
Single person,Total,Percentage,Malta,2020,22.6
Single person,Total,Percentage,Malta,2021,20.8
Single person,Total,Percentage,Malta,2022,21.9
Single person,Total,Percentage,Malta,2023,20.8
Single person,Total,Percentage,Netherlands,2015,38.7
Single person,Total,Percentage,Netherlands,2016,37.0
Single person,Total,Percentage,Netherlands,2017,36.9
Single person,Total,Percentage,Netherlands,2018,36.9
Single person,Total,Percentage,Netherlands,2019,37.1
Single person,Total,Percentage,Netherlands,2020,34.2
Single person,Total,Percentage,Netherlands,2021,31.4
Single person,Total,Percentage,Netherlands,2022,29.3
Single person,Total,Percentage,Netherlands,2023,31.3
Single person,Total,Percentage,Netherlands,2024,30.8
Single person,Total,Percentage,Norway,2015,27.7
Single person,Total,Percentage,Norway,2016,26.9
Single person,Total,Percentage,Norway,2017,25.2
Single person,Total,Percentage,Norway,2018,29.9
Single person,Total,Percentage,Norway,2019,33.8
Single person,Total,Percentage,Norway,2020,29.5
Single person,Total,Percentage,Norway,2021,29.9
Single person,Total,Percentage,Norway,2022,30.2
Single person,Total,Percentage,Norway,2023,30.8
Single person,Total,Percentage,Norway,2024,29.9
Single person,Total,Percentage,Poland,2015,58.6
Single person,Total,Percentage,Poland,2016,56.4
Single person,Total,Percentage,Poland,2017,55.5
Single person,Total,Percentage,Poland,2018,53.7
Single person,Total,Percentage,Poland,2019,51.0
Single person,Total,Percentage,Poland,2020,46.4
Single person,Total,Percentage,Poland,2021,45.9
Single person,Total,Percentage,Poland,2022,44.3
Single person,Total,Percentage,Poland,2023,43.9
Single person,Total,Percentage,Portugal,2015,48.6
Single person,Total,Percentage,Portugal,2016,47.5
Single person,Total,Percentage,Portugal,2017,46.2
Single person,Total,Percentage,Portugal,2018,45.0
Single person,Total,Percentage,Portugal,2019,44.7
Single person,Total,Percentage,Portugal,2020,40.7
Single person,Total,Percentage,Portugal,2021,38.9
Single person,Total,Percentage,Portugal,2022,38.3
Single person,Total,Percentage,Portugal,2023,37.0
Single person,Total,Percentage,Romania,2015,66.9
Single person,Total,Percentage,Romania,2016,67.5
Single person,Total,Percentage,Romania,2017,65.1
Single person,Total,Percentage,Romania,2018,60.1
Single person,Total,Percentage,Romania,2019,59.9
Single person,Total,Percentage,Romania,2020,62.6
Single person,Total,Percentage,Romania,2021,64.2
Single person,Total,Percentage,Romania,2022,60.5
Single person,Total,Percentage,Romania,2023,67.6
Single person,Total,Percentage,Romania,2024,57.5
Single person,Total,Percentage,Serbia,2015,66.7
Single person,Total,Percentage,Serbia,2016,62.7
Single person,Total,Percentage,Serbia,2017,65.1
Single person,Total,Percentage,Serbia,2018,60.2
Single person,Total,Percentage,Serbia,2019,55.0
Single person,Total,Percentage,Serbia,2020,56.9
Single person,Total,Percentage,Serbia,2021,56.2
Single person,Total,Percentage,Serbia,2022,59.2
Single person,Total,Percentage,Serbia,2023,59.9
Single person,Total,Percentage,Sweden,2015,29.6
Single person,Total,Percentage,Sweden,2016,29.1
Single person,Total,Percentage,Sweden,2017,29.5
Single person,Total,Percentage,Sweden,2018,28.5
Single person,Total,Percentage,Sweden,2019,26.8
Single person,Total,Percentage,Sweden,2020,26.8
Single person,Total,Percentage,Sweden,2021,25.3
Single person,Total,Percentage,Sweden,2022,26.5
Single person,Total,Percentage,Sweden,2023,27.1
Single person,Total,Percentage,Sweden,2024,27.8
Single person,Total,Percentage,Slovenia,2015,57.0
Single person,Total,Percentage,Slovenia,2016,56.0
Single person,Total,Percentage,Slovenia,2017,53.8
Single person,Total,Percentage,Slovenia,2018,50.8
Single person,Total,Percentage,Slovenia,2019,48.7
Single person,Total,Percentage,Slovenia,2020,47.3
Single person,Total,Percentage,Slovenia,2021,42.7
Single person,Total,Percentage,Slovenia,2022,40.7
Single person,Total,Percentage,Slovenia,2023,38.0
Single person,Total,Percentage,Slovenia,2024,38.4
Single person,Total,Percentage,Slovakia,2015,47.7
Single person,Total,Percentage,Slovakia,2016,50.2
Single person,Total,Percentage,Slovakia,2017,48.7
Single person,Total,Percentage,Slovakia,2018,47.0
Single person,Total,Percentage,Slovakia,2019,47.4
Single person,Total,Percentage,Slovakia,2020,44.0
Single person,Total,Percentage,Slovakia,2021,41.1
Single person,Total,Percentage,Slovakia,2022,40.9
Single person,Total,Percentage,Slovakia,2023,43.8
Single person,Total,Percentage,Türkiye,2015,45.3
Single person,Total,Percentage,Türkiye,2016,38.8
Single person,Total,Percentage,Türkiye,2017,35.9
Single person,Total,Percentage,Türkiye,2018,32.3
Single person,Total,Percentage,Türkiye,2019,33.6
Single person,Total,Percentage,Türkiye,2020,32.4
Single person,Total,Percentage,Türkiye,2021,35.1
Single person,Total,Percentage,Türkiye,2022,33.9
Single person,Total,Percentage,Türkiye,2023,31.8
Single person,Total,Percentage,United Kingdom,2015,42.1
Single person,Total,Percentage,United Kingdom,2016,40.8
Single person,Total,Percentage,United Kingdom,2017,32.6
Single person,Total,Percentage,United Kingdom,2018,34.4
Single person,Total,Percentage,Kosovo*,2018,63.1
Single person with dependent children,Total,Percentage,Albania,2017,64.7
Single person with dependent children,Total,Percentage,Albania,2018,64.4
Single person with dependent children,Total,Percentage,Albania,2019,50.4
Single person with dependent children,Total,Percentage,Albania,2020,51.8
Single person with dependent children,Total,Percentage,Albania,2021,39.3
Single person with dependent children,Total,Percentage,Austria,2015,55.7
Single person with dependent children,Total,Percentage,Austria,2016,50.2
Single person with dependent children,Total,Percentage,Austria,2017,54.3
Single person with dependent children,Total,Percentage,Austria,2018,53.5
Single person with dependent children,Total,Percentage,Austria,2019,43.6
Single person with dependent children,Total,Percentage,Austria,2020,46.1
Single person with dependent children,Total,Percentage,Austria,2021,47.8
Single person with dependent children,Total,Percentage,Austria,2022,44.2
Single person with dependent children,Total,Percentage,Austria,2023,53.4
Single person with dependent children,Total,Percentage,Belgium,2015,60.0
Single person with dependent children,Total,Percentage,Belgium,2016,58.8
Single person with dependent children,Total,Percentage,Belgium,2017,54.1
Single person with dependent children,Total,Percentage,Belgium,2018,56.0
Single person with dependent children,Total,Percentage,Belgium,2019,53.3
Single person with dependent children,Total,Percentage,Belgium,2020,53.8
Single person with dependent children,Total,Percentage,Belgium,2021,50.3
Single person with dependent children,Total,Percentage,Belgium,2022,54.8
Single person with dependent children,Total,Percentage,Belgium,2023,49.8
Single person with dependent children,Total,Percentage,Belgium,2024,48.3
Single person with dependent children,Total,Percentage,Bulgaria,2015,72.4
Single person with dependent children,Total,Percentage,Bulgaria,2016,77.1
Single person with dependent children,Total,Percentage,Bulgaria,2017,77.3
Single person with dependent children,Total,Percentage,Bulgaria,2018,50.0
Single person with dependent children,Total,Percentage,Bulgaria,2019,52.8
Single person with dependent children,Total,Percentage,Bulgaria,2020,61.1
Single person with dependent children,Total,Percentage,Bulgaria,2021,54.3
Single person with dependent children,Total,Percentage,Bulgaria,2022,60.5
Single person with dependent children,Total,Percentage,Bulgaria,2023,55.7
Single person with dependent children,Total,Percentage,Bulgaria,2024,63.3
Single person with dependent children,Total,Percentage,Switzerland,2015,52.4
Single person with dependent children,Total,Percentage,Switzerland,2016,42.3
Single person with dependent children,Total,Percentage,Switzerland,2017,51.2
Single person with dependent children,Total,Percentage,Switzerland,2018,50.8
Single person with dependent children,Total,Percentage,Switzerland,2019,49.8
Single person with dependent children,Total,Percentage,Switzerland,2020,49.6
Single person with dependent children,Total,Percentage,Switzerland,2021,39.8
Single person with dependent children,Total,Percentage,Switzerland,2022,36.5
Single person with dependent children,Total,Percentage,Switzerland,2023,42.0
Single person with dependent children,Total,Percentage,Cyprus,2015,81.8
Single person with dependent children,Total,Percentage,Cyprus,2016,74.5
Single person with dependent children,Total,Percentage,Cyprus,2017,70.9
Single person with dependent children,Total,Percentage,Cyprus,2018,70.9
Single person with dependent children,Total,Percentage,Cyprus,2019,73.9
Single person with dependent children,Total,Percentage,Cyprus,2020,74.0
Single person with dependent children,Total,Percentage,Cyprus,2021,76.1
Single person with dependent children,Total,Percentage,Cyprus,2022,67.4
Single person with dependent children,Total,Percentage,Cyprus,2023,72.7
Single person with dependent children,Total,Percentage,Cyprus,2024,57.5
Single person with dependent children,Total,Percentage,Czechia,2015,64.6
Single person with dependent children,Total,Percentage,Czechia,2016,67.7
Single person with dependent children,Total,Percentage,Czechia,2017,61.2
Single person with dependent children,Total,Percentage,Czechia,2018,52.0
Single person with dependent children,Total,Percentage,Czechia,2019,50.5
Single person with dependent children,Total,Percentage,Czechia,2020,45.6
Single person with dependent children,Total,Percentage,Czechia,2021,50.4
Single person with dependent children,Total,Percentage,Czechia,2022,46.5
Single person with dependent children,Total,Percentage,Czechia,2023,54.1
Single person with dependent children,Total,Percentage,Czechia,2024,51.2
Single person with dependent children,Total,Percentage,Germany,2015,59.6
Single person with dependent children,Total,Percentage,Germany,2016,62.3
Single person with dependent children,Total,Percentage,Germany,2017,59.3
Single person with dependent children,Total,Percentage,Germany,2018,60.8
Single person with dependent children,Total,Percentage,Germany,2019,57.0
Single person with dependent children,Total,Percentage,Germany,2020,66.5
Single person with dependent children,Total,Percentage,Germany,2021,65.2
Single person with dependent children,Total,Percentage,Germany,2022,65.3
Single person with dependent children,Total,Percentage,Germany,2023,63.6
Single person with dependent children,Total,Percentage,Germany,2024,57.5
Single person with dependent children,Total,Percentage,Denmark,2015,60.9
Single person with dependent children,Total,Percentage,Denmark,2016,59.4
Single person with dependent children,Total,Percentage,Denmark,2017,51.5
Single person with dependent children,Total,Percentage,Denmark,2018,56.0
Single person with dependent children,Total,Percentage,Denmark,2019,52.8
Single person with dependent children,Total,Percentage,Denmark,2020,56.1
Single person with dependent children,Total,Percentage,Denmark,2021,40.0
Single person with dependent children,Total,Percentage,Denmark,2022,45.3
Single person with dependent children,Total,Percentage,Denmark,2023,49.3
Single person with dependent children,Total,Percentage,Denmark,2024,43.1
Single person with dependent children,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2015,60.6
Single person with dependent children,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2016,60.2
Single person with dependent children,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2017,57.5
Single person with dependent children,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,56.8
Single person with dependent children,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,56.3
Single person with dependent children,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,57.2
Single person with dependent children,Total,Percentage,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,55.1
Single person with dependent children,Total,Percentage,Euro area - 17 countries (2011-2013),2015,60.1
Single person with dependent children,Total,Percentage,Euro area - 18 countries (2014),2015,60.6
Single person with dependent children,Total,Percentage,Euro area - 18 countries (2014),2016,60.1
Single person with dependent children,Total,Percentage,Euro area - 18 countries (2014),2017,57.4
Single person with dependent children,Total,Percentage,Euro area - 18 countries (2014),2018,56.7
Single person with dependent children,Total,Percentage,Euro area - 18 countries (2014),2019,56.3
Single person with dependent children,Total,Percentage,Euro area - 18 countries (2014),2020,57.1
Single person with dependent children,Total,Percentage,Euro area - 19 countries  (2015-2022),2015,60.6
Single person with dependent children,Total,Percentage,Euro area - 19 countries  (2015-2022),2016,60.2
Single person with dependent children,Total,Percentage,Euro area - 19 countries  (2015-2022),2017,57.5
