citizen,unit,geo,TIME_PERIOD,OBS_VALUE
Foreign country,Number,Czechia,2020,1534.0
Foreign country,Number,Czechia,2021,1396.0
Foreign country,Number,Czechia,2022,1459.0
Foreign country,Number,Denmark,2013,1098.0
Foreign country,Number,Denmark,2014,1002.0
Foreign country,Number,Denmark,2015,865.0
Foreign country,Number,Denmark,2016,954.0
Foreign country,Number,Denmark,2017,968.0
Foreign country,Number,Denmark,2018,1039.0
Foreign country,Number,Denmark,2019,1137.0
Foreign country,Number,Denmark,2020,1171.0
Foreign country,Number,Denmark,2021,1074.0
Foreign country,Number,Denmark,2022,1145.0
Foreign country,Number,Estonia,2013,1192.0
Foreign country,Number,Estonia,2014,1226.0
Foreign country,Number,Estonia,2015,1096.0
Foreign country,Number,Estonia,2016,1060.0
Foreign country,Number,Estonia,2017,996.0
Foreign country,Number,Estonia,2018,916.0
Foreign country,Number,Estonia,2019,837.0
Foreign country,Number,Estonia,2020,799.0
Foreign country,Number,Estonia,2021,725.0
Foreign country,Number,Estonia,2022,686.0
Foreign country,Number,Greece,2013,7623.0
Foreign country,Number,Greece,2014,6882.0
Foreign country,Number,Greece,2015,5289.0
Foreign country,Number,Greece,2016,5195.0
Foreign country,Number,Greece,2017,5291.0
Foreign country,Number,Greece,2018,5822.0
Foreign country,Number,Greece,2019,6314.0
Foreign country,Number,Greece,2020,6799.0
Foreign country,Number,Greece,2021,6499.0
Foreign country,Number,Greece,2022,6022.0
Foreign country,Number,Spain,2013,21116.0
Foreign country,Number,Spain,2014,19697.0
Foreign country,Number,Spain,2015,17870.0
Foreign country,Number,Spain,2016,17130.0
Foreign country,Number,Spain,2017,16549.0
Foreign country,Number,Spain,2018,16536.0
Foreign country,Number,Spain,2019,16470.0
Foreign country,Number,Spain,2020,15918.0
Foreign country,Number,Spain,2021,16272.0
Foreign country,Number,Spain,2022,16758.0
Foreign country,Number,Finland,2013,458.0
Foreign country,Number,Finland,2014,483.0
Foreign country,Number,Finland,2015,489.0
Foreign country,Number,Finland,2016,531.0
Foreign country,Number,Finland,2017,555.0
Foreign country,Number,Finland,2018,503.0
Foreign country,Number,Finland,2019,502.0
Foreign country,Number,Finland,2020,474.0
Foreign country,Number,Finland,2021,421.0
Foreign country,Number,Finland,2022,461.0
Foreign country,Number,France,2013,13843.0
Foreign country,Number,France,2014,13814.0
Foreign country,Number,France,2015,14071.0
Foreign country,Number,France,2016,14964.0
Foreign country,Number,France,2017,15418.0
Foreign country,Number,France,2018,16151.0
Foreign country,Number,France,2019,16414.0
Foreign country,Number,France,2020,15357.0
Foreign country,Number,France,2021,17447.0
Foreign country,Number,France,2022,18068.0
Foreign country,Number,Croatia,2013,275.0
Foreign country,Number,Croatia,2014,231.0
Foreign country,Number,Croatia,2015,197.0
Foreign country,Number,Croatia,2016,197.0
Foreign country,Number,Croatia,2017,225.0
Foreign country,Number,Croatia,2018,313.0
Foreign country,Number,Croatia,2019,481.0
Foreign country,Number,Croatia,2020,381.0
Foreign country,Number,Croatia,2021,467.0
Foreign country,Number,Croatia,2022,423.0
Foreign country,Number,Hungary,2013,653.0
Foreign country,Number,Hungary,2014,700.0
Foreign country,Number,Hungary,2015,906.0
Foreign country,Number,Hungary,2016,878.0
Foreign country,Number,Hungary,2017,861.0
Foreign country,Number,Hungary,2018,753.0
Foreign country,Number,Hungary,2019,805.0
Foreign country,Number,Hungary,2020,998.0
Foreign country,Number,Hungary,2021,1879.0
Foreign country,Number,Hungary,2022,2893.0
Foreign country,Number,Ireland,2013,420.0
Foreign country,Number,Ireland,2014,371.0
Foreign country,Number,Ireland,2015,342.0
Foreign country,Number,Ireland,2018,520.0
Foreign country,Number,Ireland,2019,615.0
Foreign country,Number,Ireland,2020,592.0
Foreign country,Number,Ireland,2021,575.0
Foreign country,Number,Ireland,2022,651.0
Foreign country,Number,Iceland,2013,25.0
Foreign country,Number,Iceland,2014,22.0
Foreign country,Number,Iceland,2015,29.0
Foreign country,Number,Iceland,2016,26.0
Foreign country,Number,Iceland,2017,31.0
Foreign country,Number,Iceland,2018,31.0
Foreign country,Number,Iceland,2019,32.0
Foreign country,Number,Iceland,2020,34.0
Foreign country,Number,Iceland,2021,32.0
Foreign country,Number,Iceland,2022,39.0
Foreign country,Number,Italy,2013,22344.0
Foreign country,Number,Italy,2014,17856.0
Foreign country,Number,Italy,2015,17799.0
Foreign country,Number,Italy,2016,19149.0
Foreign country,Number,Italy,2017,20307.0
Foreign country,Number,Italy,2018,20774.0
Foreign country,Number,Italy,2019,20352.0
Foreign country,Number,Italy,2020,17741.0
Foreign country,Number,Italy,2021,17429.0
Foreign country,Number,Italy,2022,18138.0
Foreign country,Number,Liechtenstein,2013,51.0
Foreign country,Number,Liechtenstein,2014,41.0
Foreign country,Number,Liechtenstein,2015,42.0
Foreign country,Number,Liechtenstein,2016,62.0
Foreign country,Number,Liechtenstein,2017,61.0
Foreign country,Number,Liechtenstein,2018,54.0
Foreign country,Number,Liechtenstein,2019,36.0
Foreign country,Number,Liechtenstein,2020,38.0
Foreign country,Number,Liechtenstein,2022,53.0
Foreign country,Number,Lithuania,2013,149.0
Foreign country,Number,Lithuania,2014,159.0
Foreign country,Number,Lithuania,2015,128.0
Foreign country,Number,Lithuania,2016,111.0
Foreign country,Number,Lithuania,2017,114.0
Foreign country,Number,Lithuania,2018,125.0
Foreign country,Number,Lithuania,2019,128.0
Foreign country,Number,Lithuania,2020,102.0
Foreign country,Number,Lithuania,2021,167.0
Foreign country,Number,Lithuania,2022,166.0
Foreign country,Number,Luxembourg,2013,454.0
Foreign country,Number,Luxembourg,2014,465.0
Foreign country,Number,Luxembourg,2015,516.0
Foreign country,Number,Luxembourg,2016,543.0
Foreign country,Number,Luxembourg,2017,493.0
Foreign country,Number,Luxembourg,2018,491.0
Foreign country,Number,Luxembourg,2019,439.0
Foreign country,Number,Luxembourg,2020,407.0
Foreign country,Number,Luxembourg,2021,447.0
Foreign country,Number,Luxembourg,2022,549.0
Foreign country,Number,Latvia,2013,68.0
Foreign country,Number,Latvia,2014,87.0
Foreign country,Number,Latvia,2015,106.0
Foreign country,Number,Latvia,2016,142.0
Foreign country,Number,Latvia,2017,94.0
Foreign country,Number,Latvia,2018,84.0
Foreign country,Number,Latvia,2019,65.0
Foreign country,Number,Latvia,2020,45.0
Foreign country,Number,Latvia,2021,58.0
Foreign country,Number,Latvia,2022,79.0
Foreign country,Number,Montenegro,2013,234.0
Foreign country,Number,Montenegro,2014,374.0
Foreign country,Number,Montenegro,2015,171.0
Foreign country,Number,Montenegro,2016,284.0
Foreign country,Number,Montenegro,2017,187.0
Foreign country,Number,Montenegro,2018,174.0
Foreign country,Number,Montenegro,2019,192.0
Foreign country,Number,Montenegro,2020,132.0
Foreign country,Number,Montenegro,2021,153.0
Foreign country,Number,Montenegro,2022,144.0
Foreign country,Number,North Macedonia,2016,303.0
Foreign country,Number,North Macedonia,2017,133.0
Foreign country,Number,Malta,2016,237.0
Foreign country,Number,Malta,2017,249.0
Foreign country,Number,Malta,2018,257.0
Foreign country,Number,Malta,2019,390.0
Foreign country,Number,Malta,2020,528.0
Foreign country,Number,Malta,2021,311.0
Foreign country,Number,Malta,2022,264.0
Foreign country,Number,Netherlands,2013,2409.0
Foreign country,Number,Netherlands,2014,2170.0
Foreign country,Number,Netherlands,2015,1893.0
Foreign country,Number,Netherlands,2016,1832.0
Foreign country,Number,Netherlands,2017,2057.0
Foreign country,Number,Netherlands,2018,2185.0
Foreign country,Number,Netherlands,2019,2295.0
Foreign country,Number,Netherlands,2020,2301.0
Foreign country,Number,Netherlands,2021,2279.0
Foreign country,Number,Netherlands,2022,2456.0
Foreign country,Number,Norway,2013,1212.0
Foreign country,Number,Norway,2014,1276.0
Foreign country,Number,Norway,2015,1361.0
Foreign country,Number,Norway,2016,1327.0
Foreign country,Number,Norway,2017,1328.0
Foreign country,Number,Norway,2018,1196.0
Foreign country,Number,Norway,2019,1063.0
Foreign country,Number,Norway,2020,992.0
Foreign country,Number,Norway,2021,900.0
Foreign country,Number,Norway,2022,875.0
Foreign country,Number,Poland,2013,521.0
Foreign country,Number,Poland,2014,543.0
Foreign country,Number,Poland,2015,521.0
Foreign country,Number,Poland,2016,665.0
Foreign country,Number,Poland,2017,844.0
Foreign country,Number,Poland,2018,1041.0
Foreign country,Number,Poland,2019,1310.0
Foreign country,Number,Poland,2020,1268.0
Foreign country,Number,Poland,2021,1741.0
Foreign country,Number,Poland,2022,1829.0
Foreign country,Number,Portugal,2013,2647.0
Foreign country,Number,Portugal,2014,2492.0
Foreign country,Number,Portugal,2015,2502.0
Foreign country,Number,Portugal,2016,2307.0
Foreign country,Number,Portugal,2017,2164.0
Foreign country,Number,Portugal,2018,1968.0
Foreign country,Number,Portugal,2019,1985.0
Foreign country,Number,Portugal,2020,1769.0
Foreign country,Number,Portugal,2021,1672.0
Foreign country,Number,Portugal,2022,1914.0
Foreign country,Number,Romania,2013,195.0
Foreign country,Number,Romania,2014,253.0
Foreign country,Number,Romania,2015,269.0
Foreign country,Number,Romania,2016,302.0
Foreign country,Number,Romania,2017,286.0
Foreign country,Number,Romania,2018,253.0
Foreign country,Number,Romania,2019,235.0
Foreign country,Number,Romania,2020,226.0
Foreign country,Number,Romania,2021,225.0
Foreign country,Number,Romania,2022,248.0
Foreign country,Number,Serbia,2013,352.0
Foreign country,Number,Serbia,2014,302.0
Foreign country,Number,Serbia,2015,353.0
Foreign country,Number,Serbia,2016,358.0
Foreign country,Number,Serbia,2017,350.0
Foreign country,Number,Serbia,2018,317.0
Foreign country,Number,Serbia,2019,348.0
Foreign country,Number,Serbia,2020,386.0
Foreign country,Number,Serbia,2021,423.0
Foreign country,Number,Serbia,2022,394.0
Foreign country,Number,Sweden,2013,1853.0
Foreign country,Number,Sweden,2014,1324.0
Foreign country,Number,Sweden,2015,1325.0
Foreign country,Number,Sweden,2016,1274.0
Foreign country,Number,Sweden,2017,1240.0
Foreign country,Number,Sweden,2018,1319.0
Foreign country,Number,Sweden,2019,1414.0
Foreign country,Number,Sweden,2020,1466.0
Foreign country,Number,Sweden,2021,1429.0
Foreign country,Number,Sweden,2022,1486.0
Foreign country,Number,Slovenia,2013,145.0
Foreign country,Number,Slovenia,2014,150.0
Foreign country,Number,Slovenia,2015,131.0
Foreign country,Number,Slovenia,2016,118.0
Foreign country,Number,Slovenia,2018,189.0
Foreign country,Number,Slovenia,2019,281.0
Foreign country,Number,Slovenia,2020,416.0
Foreign country,Number,Slovenia,2021,359.0
Foreign country,Number,Slovenia,2022,404.0
Foreign country,Number,Slovakia,2013,188.0
Foreign country,Number,Slovakia,2014,177.0
Foreign country,Number,Slovakia,2015,181.0
Foreign country,Number,Slovakia,2016,211.0
Foreign country,Number,Slovakia,2017,219.0
Foreign country,Number,Slovakia,2018,209.0
Foreign country,Number,Slovakia,2019,256.0
Foreign country,Number,Slovakia,2020,219.0
Foreign country,Number,Slovakia,2021,261.0
Foreign country,Number,Slovakia,2022,407.0
Foreign country,Number,Türkiye,2013,2465.0
Foreign country,Number,Türkiye,2014,2943.0
Foreign country,Number,Türkiye,2015,3807.0
Foreign country,Number,Türkiye,2016,4441.0
Foreign country,Number,Türkiye,2017,6488.0
Foreign country,Number,Türkiye,2018,8578.0
Foreign country,Number,Türkiye,2019,10002.0
Foreign country,Number,Türkiye,2020,10299.0
Foreign country,Number,Türkiye,2021,12045.0
Foreign country,Number,Türkiye,2022,15028.0
Foreign country,Number,England and Wales,2013,8925.0
Foreign country,Number,England and Wales,2014,9089.0
Foreign country,Number,England and Wales,2015,8843.0
Foreign country,Number,England and Wales,2016,8436.0
Foreign country,Number,England and Wales,2017,8425.0
Foreign country,Number,England and Wales,2018,8259.0
Foreign country,Number,Scotland (NUTS 2021),2013,268.0
Foreign country,Number,Scotland (NUTS 2021),2014,288.0
Foreign country,Number,Scotland (NUTS 2021),2015,295.0
Foreign country,Number,Northern Ireland (UK) (NUTS 2021),2013,144.0
Foreign country,Number,Northern Ireland (UK) (NUTS 2021),2014,133.0
Foreign country,Number,Northern Ireland (UK) (NUTS 2021),2015,122.0
Foreign country,Number,Northern Ireland (UK) (NUTS 2021),2016,198.0
Foreign country,Number,Northern Ireland (UK) (NUTS 2021),2017,125.0
Foreign country,Number,Northern Ireland (UK) (NUTS 2021),2018,141.0
Foreign country,Number,Kosovo*,2013,125.0
Foreign country,Number,Kosovo*,2014,127.0
Foreign country,Number,Kosovo*,2015,89.0
Foreign country,Number,Kosovo*,2016,90.0
Foreign country,Number,Kosovo*,2017,115.0
Foreign country,Number,Kosovo*,2018,82.0
Foreign country,Number,Kosovo*,2019,101.0
Foreign country,Number,Kosovo*,2020,102.0
Foreign country,Per hundred thousand inhabitants,Albania,2014,3.42
Foreign country,Per hundred thousand inhabitants,Albania,2015,3.08
Foreign country,Per hundred thousand inhabitants,Albania,2016,3.08
Foreign country,Per hundred thousand inhabitants,Albania,2017,3.51
Foreign country,Per hundred thousand inhabitants,Albania,2018,3.14
Foreign country,Per hundred thousand inhabitants,Albania,2019,3.95
Foreign country,Per hundred thousand inhabitants,Albania,2020,3.83
Foreign country,Per hundred thousand inhabitants,Albania,2021,4.03
Foreign country,Per hundred thousand inhabitants,Albania,2022,4.4
Foreign country,Per hundred thousand inhabitants,Austria,2013,51.74
Foreign country,Per hundred thousand inhabitants,Austria,2014,52.3
Foreign country,Per hundred thousand inhabitants,Austria,2015,54.83
Foreign country,Per hundred thousand inhabitants,Austria,2016,53.92
Foreign country,Per hundred thousand inhabitants,Austria,2017,55.07
Foreign country,Per hundred thousand inhabitants,Austria,2018,57.0
Foreign country,Per hundred thousand inhabitants,Austria,2019,54.12
Foreign country,Per hundred thousand inhabitants,Austria,2020,48.29
Foreign country,Per hundred thousand inhabitants,Austria,2021,46.53
Foreign country,Per hundred thousand inhabitants,Austria,2022,51.72
Foreign country,Per hundred thousand inhabitants,Belgium,2013,47.22
Foreign country,Per hundred thousand inhabitants,Belgium,2015,42.82
Foreign country,Per hundred thousand inhabitants,Belgium,2017,40.76
Foreign country,Per hundred thousand inhabitants,Belgium,2018,39.96
Foreign country,Per hundred thousand inhabitants,Belgium,2019,41.65
Foreign country,Per hundred thousand inhabitants,Belgium,2020,39.86
Foreign country,Per hundred thousand inhabitants,Belgium,2021,40.73
Foreign country,Per hundred thousand inhabitants,Belgium,2022,40.71
Foreign country,Per hundred thousand inhabitants,Bulgaria,2013,3.47
Foreign country,Per hundred thousand inhabitants,Bulgaria,2014,3.2
Foreign country,Per hundred thousand inhabitants,Bulgaria,2015,3.36
Foreign country,Per hundred thousand inhabitants,Bulgaria,2016,3.01
Foreign country,Per hundred thousand inhabitants,Bulgaria,2017,2.62
Foreign country,Per hundred thousand inhabitants,Bulgaria,2018,2.28
Foreign country,Per hundred thousand inhabitants,Bulgaria,2019,1.96
Foreign country,Per hundred thousand inhabitants,Bulgaria,2020,2.22
Foreign country,Per hundred thousand inhabitants,Bulgaria,2021,2.3
Foreign country,Per hundred thousand inhabitants,Bulgaria,2022,1.96
Foreign country,Per hundred thousand inhabitants,Switzerland,2013,60.42
Foreign country,Per hundred thousand inhabitants,Switzerland,2014,57.41
Foreign country,Per hundred thousand inhabitants,Switzerland,2015,54.8
Foreign country,Per hundred thousand inhabitants,Switzerland,2016,55.23
Foreign country,Per hundred thousand inhabitants,Switzerland,2017,54.81
Foreign country,Per hundred thousand inhabitants,Switzerland,2018,55.15
Foreign country,Per hundred thousand inhabitants,Switzerland,2019,52.41
Foreign country,Per hundred thousand inhabitants,Switzerland,2020,50.43
Foreign country,Per hundred thousand inhabitants,Switzerland,2021,48.79
Foreign country,Per hundred thousand inhabitants,Switzerland,2022,50.3
Foreign country,Per hundred thousand inhabitants,Cyprus,2013,35.34
Foreign country,Per hundred thousand inhabitants,Cyprus,2014,27.86
Foreign country,Per hundred thousand inhabitants,Cyprus,2015,25.27
Foreign country,Per hundred thousand inhabitants,Cyprus,2016,27.94
Foreign country,Per hundred thousand inhabitants,Cyprus,2017,17.66
Foreign country,Per hundred thousand inhabitants,Cyprus,2018,31.94
Foreign country,Per hundred thousand inhabitants,Cyprus,2019,42.47
Foreign country,Per hundred thousand inhabitants,Cyprus,2020,29.28
Foreign country,Per hundred thousand inhabitants,Cyprus,2021,46.54
Foreign country,Per hundred thousand inhabitants,Cyprus,2022,58.69
Foreign country,Per hundred thousand inhabitants,Czechia,2013,14.48
Foreign country,Per hundred thousand inhabitants,Czechia,2014,14.73
Foreign country,Per hundred thousand inhabitants,Czechia,2015,15.85
Foreign country,Per hundred thousand inhabitants,Czechia,2016,17.12
Foreign country,Per hundred thousand inhabitants,Czechia,2017,17.15
Foreign country,Per hundred thousand inhabitants,Czechia,2018,16.66
Foreign country,Per hundred thousand inhabitants,Czechia,2019,16.85
Foreign country,Per hundred thousand inhabitants,Czechia,2020,14.34
Foreign country,Per hundred thousand inhabitants,Czechia,2021,13.04
Foreign country,Per hundred thousand inhabitants,Czechia,2022,13.87
Foreign country,Per hundred thousand inhabitants,Denmark,2013,19.6
Foreign country,Per hundred thousand inhabitants,Denmark,2014,17.81
Foreign country,Per hundred thousand inhabitants,Denmark,2015,15.28
Foreign country,Per hundred thousand inhabitants,Denmark,2016,16.72
Foreign country,Per hundred thousand inhabitants,Denmark,2017,16.84
Foreign country,Per hundred thousand inhabitants,Denmark,2018,17.97
Foreign country,Per hundred thousand inhabitants,Denmark,2019,19.58
Foreign country,Per hundred thousand inhabitants,Denmark,2020,20.11
Foreign country,Per hundred thousand inhabitants,Denmark,2021,18.39
Foreign country,Per hundred thousand inhabitants,Denmark,2022,19.49
Foreign country,Per hundred thousand inhabitants,Estonia,2013,90.29
Foreign country,Per hundred thousand inhabitants,Estonia,2014,93.17
Foreign country,Per hundred thousand inhabitants,Estonia,2015,83.35
Foreign country,Per hundred thousand inhabitants,Estonia,2016,80.55
Foreign country,Per hundred thousand inhabitants,Estonia,2017,75.7
Foreign country,Per hundred thousand inhabitants,Estonia,2018,69.44
Foreign country,Per hundred thousand inhabitants,Estonia,2019,63.18
Foreign country,Per hundred thousand inhabitants,Estonia,2020,60.12
Foreign country,Per hundred thousand inhabitants,Estonia,2021,54.51
Foreign country,Per hundred thousand inhabitants,Estonia,2022,51.51
Foreign country,Per hundred thousand inhabitants,Greece,2013,69.28
Foreign country,Per hundred thousand inhabitants,Greece,2014,62.98
Foreign country,Per hundred thousand inhabitants,Greece,2015,48.71
Foreign country,Per hundred thousand inhabitants,Greece,2016,48.17
Foreign country,Per hundred thousand inhabitants,Greece,2017,49.14
Foreign country,Per hundred thousand inhabitants,Greece,2018,54.2
Foreign country,Per hundred thousand inhabitants,Greece,2019,58.87
Foreign country,Per hundred thousand inhabitants,Greece,2020,63.43
Foreign country,Per hundred thousand inhabitants,Greece,2021,60.86
Foreign country,Per hundred thousand inhabitants,Greece,2022,57.57
Foreign country,Per hundred thousand inhabitants,Spain,2013,45.19
Foreign country,Per hundred thousand inhabitants,Spain,2014,42.35
Foreign country,Per hundred thousand inhabitants,Spain,2015,38.47
Foreign country,Per hundred thousand inhabitants,Spain,2016,36.89
Foreign country,Per hundred thousand inhabitants,Spain,2017,35.57
Foreign country,Per hundred thousand inhabitants,Spain,2018,35.44
Foreign country,Per hundred thousand inhabitants,Spain,2019,35.09
Foreign country,Per hundred thousand inhabitants,Spain,2020,33.63
Foreign country,Per hundred thousand inhabitants,Spain,2021,34.33
Foreign country,Per hundred thousand inhabitants,Spain,2022,35.33
Foreign country,Per hundred thousand inhabitants,Finland,2013,8.44
Foreign country,Per hundred thousand inhabitants,Finland,2014,8.86
Foreign country,Per hundred thousand inhabitants,Finland,2015,8.94
Foreign country,Per hundred thousand inhabitants,Finland,2016,9.68
Foreign country,Per hundred thousand inhabitants,Finland,2017,10.08
Foreign country,Per hundred thousand inhabitants,Finland,2018,9.12
Foreign country,Per hundred thousand inhabitants,Finland,2019,9.1
Foreign country,Per hundred thousand inhabitants,Finland,2020,8.58
Foreign country,Per hundred thousand inhabitants,Finland,2021,7.61
Foreign country,Per hundred thousand inhabitants,Finland,2022,8.31
Foreign country,Per hundred thousand inhabitants,France,2013,21.1
Foreign country,Per hundred thousand inhabitants,France,2014,20.95
Foreign country,Per hundred thousand inhabitants,France,2015,21.16
Foreign country,Per hundred thousand inhabitants,France,2016,22.41
Foreign country,Per hundred thousand inhabitants,France,2017,23.08
Foreign country,Per hundred thousand inhabitants,France,2018,24.14
Foreign country,Per hundred thousand inhabitants,France,2019,24.43
Foreign country,Per hundred thousand inhabitants,France,2020,22.81
Foreign country,Per hundred thousand inhabitants,France,2021,25.79
Foreign country,Per hundred thousand inhabitants,France,2022,26.62
Foreign country,Per hundred thousand inhabitants,Croatia,2013,6.45
Foreign country,Per hundred thousand inhabitants,Croatia,2014,5.44
Foreign country,Per hundred thousand inhabitants,Croatia,2015,4.66
Foreign country,Per hundred thousand inhabitants,Croatia,2016,4.7
Foreign country,Per hundred thousand inhabitants,Croatia,2017,5.42
Foreign country,Per hundred thousand inhabitants,Croatia,2018,7.62
Foreign country,Per hundred thousand inhabitants,Croatia,2019,11.8
Foreign country,Per hundred thousand inhabitants,Croatia,2020,9.39
Foreign country,Per hundred thousand inhabitants,Croatia,2021,11.57
Foreign country,Per hundred thousand inhabitants,Croatia,2022,10.95
Foreign country,Per hundred thousand inhabitants,Hungary,2013,6.59
Foreign country,Per hundred thousand inhabitants,Hungary,2014,7.09
Foreign country,Per hundred thousand inhabitants,Hungary,2015,9.19
Foreign country,Per hundred thousand inhabitants,Hungary,2016,8.93
Foreign country,Per hundred thousand inhabitants,Hungary,2017,8.79
Foreign country,Per hundred thousand inhabitants,Hungary,2018,7.7
Foreign country,Per hundred thousand inhabitants,Hungary,2019,8.24
Foreign country,Per hundred thousand inhabitants,Hungary,2020,10.22
Foreign country,Per hundred thousand inhabitants,Hungary,2021,19.31
Foreign country,Per hundred thousand inhabitants,Hungary,2022,29.86
Foreign country,Per hundred thousand inhabitants,Ireland,2013,9.15
Foreign country,Per hundred thousand inhabitants,Ireland,2014,8.06
Foreign country,Per hundred thousand inhabitants,Ireland,2015,7.39
Foreign country,Per hundred thousand inhabitants,Ireland,2018,10.77
Foreign country,Per hundred thousand inhabitants,Ireland,2019,12.54
Foreign country,Per hundred thousand inhabitants,Ireland,2020,11.92
Foreign country,Per hundred thousand inhabitants,Ireland,2021,11.49
Foreign country,Per hundred thousand inhabitants,Ireland,2022,12.87
Foreign country,Per hundred thousand inhabitants,Iceland,2013,7.77
Foreign country,Per hundred thousand inhabitants,Iceland,2014,6.76
Foreign country,Per hundred thousand inhabitants,Iceland,2015,8.81
Foreign country,Per hundred thousand inhabitants,Iceland,2016,7.82
Foreign country,Per hundred thousand inhabitants,Iceland,2017,9.16
Foreign country,Per hundred thousand inhabitants,Iceland,2018,8.9
Foreign country,Per hundred thousand inhabitants,Iceland,2019,8.96
Foreign country,Per hundred thousand inhabitants,Iceland,2020,9.34
Foreign country,Per hundred thousand inhabitants,Iceland,2021,8.68
Foreign country,Per hundred thousand inhabitants,Iceland,2022,10.37
Foreign country,Per hundred thousand inhabitants,Italy,2013,37.44
Foreign country,Per hundred thousand inhabitants,Italy,2014,29.38
Foreign country,Per hundred thousand inhabitants,Italy,2015,29.28
Foreign country,Per hundred thousand inhabitants,Italy,2016,31.56
Foreign country,Per hundred thousand inhabitants,Italy,2017,33.52
Foreign country,Per hundred thousand inhabitants,Italy,2018,34.35
Foreign country,Per hundred thousand inhabitants,Italy,2019,34.02
Foreign country,Per hundred thousand inhabitants,Italy,2020,29.75
Foreign country,Per hundred thousand inhabitants,Italy,2021,29.42
Foreign country,Per hundred thousand inhabitants,Italy,2022,30.73
Foreign country,Per hundred thousand inhabitants,Liechtenstein,2013,138.44
Foreign country,Per hundred thousand inhabitants,Liechtenstein,2014,110.43
Foreign country,Per hundred thousand inhabitants,Liechtenstein,2015,112.4
Foreign country,Per hundred thousand inhabitants,Liechtenstein,2016,164.8
Foreign country,Per hundred thousand inhabitants,Liechtenstein,2017,161.33
Foreign country,Per hundred thousand inhabitants,Liechtenstein,2018,141.68
Foreign country,Per hundred thousand inhabitants,Liechtenstein,2019,93.8
Foreign country,Per hundred thousand inhabitants,Liechtenstein,2020,98.07
Foreign country,Per hundred thousand inhabitants,Liechtenstein,2022,134.83
