unit,indic_il,citizen,sex,age,geo,TIME_PERIOD,OBS_VALUE
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,France,2015,20120.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,France,2016,19762.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,France,2017,21157.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,France,2018,19371.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,France,2019,19100.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,France,2020,20043.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,France,2021,21151.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,France,2022,20228.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,France,2023,21790.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Croatia,2015,8486.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Croatia,2016,10018.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Croatia,2017,10299.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Croatia,2018,8004.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Croatia,2019,8531.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Croatia,2020,9954.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Croatia,2021,10327.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Croatia,2022,10970.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Croatia,2023,10605.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Hungary,2015,3934.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Hungary,2016,6221.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Hungary,2017,3763.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Hungary,2018,5182.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Hungary,2019,8574.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Hungary,2020,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Hungary,2021,6937.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Hungary,2022,10324.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Hungary,2023,9413.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Hungary,2024,10612.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Ireland,2015,20412.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Ireland,2016,21365.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Ireland,2017,22000.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Ireland,2018,24656.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Ireland,2019,25078.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Ireland,2020,24243.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Ireland,2021,27337.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Ireland,2022,25872.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Ireland,2023,27358.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Iceland,2015,22351.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Iceland,2016,24039.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Iceland,2017,28420.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Iceland,2018,36551.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Iceland,2019,35819.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Iceland,2020,35372.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Italy,2015,11947.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Italy,2016,11430.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Italy,2017,13480.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Italy,2018,12393.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Italy,2019,13337.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Italy,2020,14580.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Italy,2021,13000.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Italy,2022,15725.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Italy,2023,15896.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Italy,2024,15600.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Lithuania,2015,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Lithuania,2016,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Lithuania,2017,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Lithuania,2018,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Lithuania,2019,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Lithuania,2020,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Lithuania,2021,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Lithuania,2022,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Lithuania,2023,
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Luxembourg,2015,30471.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Luxembourg,2016,29394.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Luxembourg,2017,32523.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Luxembourg,2018,30601.0
Euro,Median equivalised net income,EU27 countries (from 2020) except reporting country,Total,18 years or over,Luxembourg,2019,33452.0
