unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Cyprus,2023,26.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Czechia,2014,19.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Czechia,2015,19.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Czechia,2016,20.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Czechia,2017,27.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Czechia,2018,23.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Czechia,2019,27.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Czechia,2020,30.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Czechia,2021,29.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Czechia,2022,28.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Czechia,2023,31.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2014,753.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2015,826.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2016,936.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2017,976.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2018,1056.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2019,1109.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2020,1061.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2021,1054.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2022,1195.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Germany,2023,1200.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Denmark,2014,30.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Denmark,2015,30.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Denmark,2016,30.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Denmark,2017,29.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Denmark,2018,33.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Denmark,2019,35.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Denmark,2020,35.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Denmark,2021,35.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Denmark,2022,35.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Denmark,2023,38.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2014,2324.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2015,2415.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2016,2619.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2017,2732.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2018,2828.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2019,2955.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2020,2822.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2021,2815.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2022,3089.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Euro area – 20 countries (from 2023),2023,3171.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Estonia,2014,1.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Estonia,2015,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Estonia,2016,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Estonia,2017,2.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Estonia,2018,2.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Estonia,2019,2.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Estonia,2020,2.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Estonia,2021,1.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Estonia,2022,1.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Estonia,2023,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Greece,2014,26.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Greece,2015,23.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Greece,2016,20.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Greece,2017,18.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Greece,2018,17.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Greece,2019,16.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Greece,2020,18.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Greece,2021,12.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Greece,2022,10.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Greece,2023,8.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2014,325.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2015,325.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2016,341.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2017,355.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2018,372.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2019,409.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2020,374.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2021,334.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2022,360.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Spain,2023,399.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2014,2445.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2015,2534.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2016,2738.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2017,2859.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2018,2958.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2019,3091.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2020,2973.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2021,2966.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2022,3232.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,European Union - 27 countries (from 2020),2023,3320.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Finland,2014,15.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Finland,2015,16.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Finland,2016,16.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Finland,2017,16.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Finland,2018,15.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Finland,2019,16.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Finland,2020,17.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Finland,2021,21.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Finland,2022,25.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Finland,2023,28.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2014,265.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2015,243.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2016,277.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2017,285.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2018,293.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2019,282.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2020,268.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2021,277.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2022,300.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,France,2023,304.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Croatia,2014,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Croatia,2015,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Croatia,2016,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Croatia,2017,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Croatia,2018,2.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Croatia,2019,2.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Croatia,2020,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Croatia,2021,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Croatia,2022,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Croatia,2023,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Hungary,2014,6.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Hungary,2015,6.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Hungary,2016,6.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Hungary,2017,3.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Hungary,2018,6.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Hungary,2019,8.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Hungary,2020,8.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Hungary,2021,9.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Hungary,2022,8.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Hungary,2023,7.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Ireland,2014,82.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Ireland,2015,84.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Ireland,2016,90.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Ireland,2017,96.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Ireland,2018,102.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Ireland,2019,104.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Ireland,2020,101.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Ireland,2021,101.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Ireland,2022,110.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Ireland,2023,117.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Iceland,2014,3.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Iceland,2015,3.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Iceland,2016,3.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Iceland,2017,3.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Iceland,2018,3.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Iceland,2019,3.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Iceland,2020,4.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Iceland,2021,5.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Iceland,2022,7.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Iceland,2023,8.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2014,396.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2015,412.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2016,427.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2017,422.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2018,393.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2019,394.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2020,350.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2021,361.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2022,366.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Italy,2023,361.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Lithuania,2014,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Lithuania,2015,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Lithuania,2016,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Lithuania,2017,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Lithuania,2018,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Lithuania,2019,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Lithuania,2020,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Lithuania,2021,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Lithuania,2022,1.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Lithuania,2023,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Luxembourg,2014,49.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Luxembourg,2015,52.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Luxembourg,2016,53.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Luxembourg,2017,58.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Luxembourg,2018,62.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Luxembourg,2019,60.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Luxembourg,2020,59.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Luxembourg,2021,61.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Luxembourg,2022,63.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Luxembourg,2023,64.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Latvia,2014,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Latvia,2015,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Latvia,2016,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Latvia,2017,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Latvia,2018,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Latvia,2019,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Latvia,2020,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Latvia,2021,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Latvia,2022,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Latvia,2023,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Montenegro,2014,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Montenegro,2015,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Montenegro,2016,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Montenegro,2017,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Montenegro,2018,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Montenegro,2019,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Montenegro,2020,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,North Macedonia,2014,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,North Macedonia,2015,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,North Macedonia,2017,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,North Macedonia,2018,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,North Macedonia,2019,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Malta,2014,1.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Malta,2015,1.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Malta,2016,1.6
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Malta,2017,5.3
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Malta,2018,6.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Malta,2019,10.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Malta,2020,10.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Malta,2021,11.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Malta,2022,13.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Malta,2023,13.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Netherlands,2014,83.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Netherlands,2015,86.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Netherlands,2016,93.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Netherlands,2017,107.9
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Netherlands,2018,104.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Netherlands,2019,116.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Netherlands,2020,117.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Netherlands,2021,136.1
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Netherlands,2022,155.5
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Netherlands,2023,175.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Norway,2014,54.0
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Norway,2015,63.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Norway,2016,62.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Norway,2017,60.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Norway,2018,85.4
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Norway,2019,91.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Norway,2020,94.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Norway,2021,87.8
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Norway,2022,87.2
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Norway,2023,84.7
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Poland,2014,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Poland,2015,
Thousand persons,Females,From 15 to 64 years,EU27 countries (from 2020) except reporting country,Poland,2016,
